case,label,dataset,eval_split,revised_category,peak,delta_max_3,delta_median_3,ratio_3,delta_max_5,delta_median_5,ratio_5,delta_max_7,delta_median_7,ratio_7,delta_max_10,delta_median_10,ratio_10
Cosmos2.5_0016,1,Cosmos2.5,DEV_POS,,0.2882633435319935,0.2882633435319935,0.2882633435319935,5.76526687063987,0.2882633435319935,0.2882633435319935,5.76526687063987,0.2882633435319935,0.2882633435319935,5.76526687063987,0.2063197038756348,0.2882633435319935,2.1847460346157077
Cosmos2.5_0058,1,Cosmos2.5,DEV_POS,,0.2794025495910669,0.2794025495910669,0.2794025495910669,5.588050991821338,0.2794025495910669,0.2794025495910669,5.588050991821338,0.17760421262791642,0.2794025495910669,1.8406166706483271,0.04673254450121303,0.24551760935704006,0.9884407420668906
Cosmos2.5_0064,1,Cosmos2.5,HELDOUT_POS,,0.1210820137811921,0.03303033532051759,0.0387655473819869,0.8770774476000566,0.024969044691401904,0.03303033532051759,0.8286876554180762,0.0041039361991592055,0.031832448400640895,0.7251371888726351,0.0041039361991592055,0.030176649477294495,0.7251371888726351
Cosmos3_seed101_0003,1,Cosmos3_seed101,DEV_POS,,0.3008777787454349,0.216854984992352,0.23699289633904552,2.244974681693008,0.216854984992352,0.29293689341368884,2.244974681693008,0.216854984992352,0.2916724367432344,2.244974681693008,0.216854984992352,0.2818594229601907,2.244974681693008
Cosmos3_seed101_0010,1,Cosmos3_seed101,DEV_POS,,0.3487907686714135,0.1502492813565105,0.15075492502530552,1.4033502914927611,0.1449082430885614,0.15075492502530552,1.3738273946608783,0.1449082430885614,0.15075492502530552,1.3738273946608783,0.1449082430885614,0.1514111285257097,1.3738273946608783
Cosmos3_seed101_0012,1,Cosmos3_seed101,HELDOUT_POS,,0.2137041429546163,0.02065488005220939,0.022868328641918678,0.879262666352649,0.015048949237248088,0.02065488005220939,0.8594396914046415,0.015048949237248088,0.022868328641918678,0.8594396914046415,0.0,0.017992183587218047,0.7960994463060076
Cosmos3_seed101_0017,1,Cosmos3_seed101,HELDOUT_POS,,0.1131024366237426,0.07106862277358761,0.0729012470103298,1.2289226306310692,0.07106862277358761,0.0729931816019984,1.2289226306310692,0.07106862277358761,0.0737579341336928,1.2289226306310692,0.0517888581620377,0.07580840125625415,1.0160704398040095
Cosmos3_seed101_0020,1,Cosmos3_seed101,DEV_POS,,0.4754055045441931,0.4754055045441931,0.4754055045441931,9.508110090883862,0.4754055045441931,0.4754055045441931,9.508110090883862,0.4754055045441931,0.4754055045441931,9.508110090883862,0.4754055045441931,0.4754055045441931,9.508110090883862
Cosmos3_seed101_0027,1,Cosmos3_seed101,HELDOUT_POS,,0.1604663641202341,0.1194634537778913,0.12456692831738131,1.7633102448765376,0.1149883114164292,0.1224741289333601,1.680662304854897,0.1149883114164292,0.1245498701112901,1.680662304854897,0.1149883114164292,0.1245583992143357,1.680662304854897
Cosmos3_seed101_0036,1,Cosmos3_seed101,DEV_POS,,0.6433435177251511,0.6152638880961644,0.6247669164519294,8.239582087954894,0.5804528733460175,0.6152638880961644,5.698820493614482,0.5804528733460175,0.6247669164519294,5.698820493614482,0.5684700694020115,0.6166424060830344,5.151964059327868
Cosmos3_seed101_0054,1,Cosmos3_seed101,HELDOUT_POS,,0.3432124597482518,0.292105232473768,0.2968933387853816,3.3945393321538306,0.292105232473768,0.33036887476249954,3.3945393321538306,0.19626878477757473,0.2968933387853816,1.7426934873605493,0.15228951288629322,0.28652462526125655,1.42457355855315
Cosmos3_seed101_0055,1,Cosmos3_seed101,HELDOUT_POS,,0.3666784335845693,0.2510900831638929,0.3116225169707655,2.2143975264746856,0.2510900831638929,0.3190409847846984,2.2143975264746856,0.23809801805672762,0.3116225169707655,2.0532958919417568,0.19483810592468162,0.25531315211388417,1.652893490793697
Cosmos3_seed101_0065,1,Cosmos3_seed101,HELDOUT_POS,,0.4910087985251806,0.4910087985251806,0.4910087985251806,9.82017597050361,0.4910087985251806,0.4910087985251806,9.82017597050361,0.4910087985251806,0.4910087985251806,9.82017597050361,0.4910087985251806,0.4910087985251806,9.82017597050361
LVP_0004,1,LVP,DEV_POS,,0.124362670388183,0.1143717542159072,0.1147252994623387,2.0730250231726908,0.0175548669045872,0.1147252994623387,0.7930898056434609,0.0175548669045872,0.1143717542159072,0.7930898056434609,0.00928781049622239,0.03156266641355174,0.7533713520615846
