case,label,dataset,eval_split,revised_category,base_peak,base_mean3,size_peak,size_mean3,strict_size_peak,strict_size_mean3,base_spatial_peak,base_spatial_mean3,size_spatial_peak,size_spatial_mean3,strict_size_spatial_peak,strict_size_spatial_mean3
Cosmos2.5_0016,1,Cosmos2.5,DEV_POS,,0.3308717129227664,0.3137616596363174,0.2882633435319935,0.27391735337944206,0.2646105831116239,0.25807632025529553,0.3308717129227664,0.3137616596363174,0.2882633435319935,0.27391735337944206,0.2646105831116239,0.25807632025529553
Cosmos2.5_0058,1,Cosmos2.5,DEV_POS,,0.3451754734633067,0.32494404470733224,0.2794025495910669,0.2719764180270988,0.265276867295732,0.2580217499765021,0.3451754734633067,0.32494404470733224,0.2794025495910669,0.2719764180270988,0.265276867295732,0.2580217499765021
Cosmos2.5_0064,1,Cosmos2.5,HELDOUT_POS,,0.1607753473932183,0.15120697397253832,0.1210820137811921,0.10985788382161234,0.0960962353791264,0.0875263901535052,0.1607753473932183,0.15120697397253832,0.1210820137811921,0.10985788382161234,0.0960962353791264,0.0875263901535052
Cosmos3_seed101_0003,1,Cosmos3_seed101,DEV_POS,,0.3898701545286615,0.32790629527503773,0.3008777787454349,0.23399982300939048,0.2695891308802641,0.20821608242089354,0.3898701545286615,0.32790629527503773,0.3008777787454349,0.23399982300939048,0.2695891308802641,0.20821608242089354
Cosmos3_seed101_0010,1,Cosmos3_seed101,DEV_POS,,0.4230250909055598,0.4127942592527641,0.3487907686714135,0.3234396232194178,0.3430023080434132,0.31868983259986794,0.4230250909055598,0.4127942592527641,0.3487907686714135,0.3234396232194178,0.3430023080434132,0.31868983259986794
Cosmos3_seed101_0012,1,Cosmos3_seed101,HELDOUT_POS,,0.3948528426911195,0.377164405779516,0.2513443210420001,0.2474955716711722,0.2332696046540896,0.22895180495093,0.3948528426911195,0.377164405779516,0.2137041429546163,0.20376263752246201,0.1953349912196219,0.18669589225380276
Cosmos3_seed101_0017,1,Cosmos3_seed101,HELDOUT_POS,,0.1464214429633675,0.1347822944339914,0.1131024366237426,0.08824891855988766,0.1080460080898576,0.08451377164480052,0.1464214429633675,0.13251341974138464,0.1131024366237426,0.08824891855988766,0.1080460080898576,0.08451377164480052
Cosmos3_seed101_0020,1,Cosmos3_seed101,DEV_POS,,0.6429967508173098,0.6133310682641621,0.4754055045441931,0.4411710007086458,0.470996286247772,0.39950803978146904,0.6429967508173098,0.6133310682641621,0.4754055045441931,0.44117100070864573,0.470996286247772,0.39950803978146904
Cosmos3_seed101_0027,1,Cosmos3_seed101,HELDOUT_POS,,0.1717924423520381,0.15776739661783765,0.1604663641202341,0.14587350936284385,0.1594601602696938,0.14495244683527234,0.1717924423520381,0.15606362671849125,0.1604663641202341,0.14587350936284385,0.1594601602696938,0.14495244683527234
Cosmos3_seed101_0036,1,Cosmos3_seed101,DEV_POS,,0.6874325815720541,0.5684085107620005,0.6433435177251511,0.45941709633390754,0.6200054595672255,0.4424126606096274,0.6874325815720541,0.5684085107620005,0.6433435177251511,0.45941709633390754,0.6200054595672255,0.4424126606096274
