case,frame,evidence
Cosmos2.5_0016,0,0.0
Cosmos2.5_0016,3,0.0
Cosmos2.5_0016,6,0.0
Cosmos2.5_0016,9,0.0
Cosmos2.5_0016,12,0.0
Cosmos2.5_0016,15,0.0
Cosmos2.5_0016,18,0.0
Cosmos2.5_0016,21,0.0
Cosmos2.5_0016,24,0.0
Cosmos2.5_0016,27,0.11203266982801802
Cosmos2.5_0016,30,0.2106405842731959
Cosmos2.5_0016,33,0.2611479544333696
Cosmos2.5_0016,36,0.25491180011328557
Cosmos2.5_0016,39,0.24123419358900977
Cosmos2.5_0016,42,0.29230758041935834
Cosmos2.5_0016,45,0.2615459306479633
Cosmos2.5_0016,48,0.24928298642297764
Cosmos2.5_0016,51,0.2669652529528027
Cosmos2.5_0016,54,0.2945864785124946
Cosmos2.5_0016,57,0.27811479467298683
Cosmos2.5_0016,60,0.29607467307685853
Cosmos2.5_0016,63,0.2968844723190827
Cosmos2.5_0016,66,0.29684324499948817
Cosmos2.5_0016,69,0.28007674653745307
Cosmos2.5_0016,72,0.29537265472459945
Cosmos2.5_0016,75,0.3051590744463748
Cosmos2.5_0016,78,0.29426399454084473
Cosmos2.5_0016,81,0.29653915844272627
Cosmos2.5_0016,84,0.2658529978592612
Cosmos2.5_0016,87,0.2845929871463946
Cosmos2.5_0016,90,0.3258202788397912
Cosmos2.5_0016,92,0.3308717129227664
Cosmos2.5_0036,0,0.14270065470154372
Cosmos2.5_0036,3,0.08747666472171149
Cosmos2.5_0036,6,0.06997295559659802
Cosmos2.5_0036,9,0.05110371215387782
Cosmos2.5_0036,12,0.039582011822147656
Cosmos2.5_0036,15,0.07028995661817437
Cosmos2.5_0036,18,0.016426153909919753
Cosmos2.5_0036,21,0.00943053010371421
Cosmos2.5_0036,24,0.04999659699301286
Cosmos2.5_0036,27,0.008584927608391333
Cosmos2.5_0036,30,0.10906190048661489
Cosmos2.5_0036,33,0.023483818506379758
Cosmos2.5_0036,36,0.06866801330434248
Cosmos2.5_0036,39,0.11329209704886105
Cosmos2.5_0036,42,0.025495706911641148
Cosmos2.5_0036,45,0.13503439530228462
Cosmos2.5_0036,48,0.033689128953046085
Cosmos2.5_0036,51,0.0
Cosmos2.5_0036,54,0.0
Cosmos2.5_0036,57,0.07712219845279711
Cosmos2.5_0036,60,0.0
Cosmos2.5_0036,63,0.044127441517315416
Cosmos2.5_0036,66,0.0
Cosmos2.5_0036,69,0.04357297737369601
Cosmos2.5_0036,72,0.03019991489627524
Cosmos2.5_0036,75,0.03824731546899395
Cosmos2.5_0036,78,0.047549815957751686
Cosmos2.5_0036,81,0.03789620520452204
Cosmos2.5_0036,84,0.0
Cosmos2.5_0036,87,0.04111814411049052
Cosmos2.5_0036,90,0.06520695072989019
Cosmos2.5_0036,92,0.04143242209263962
Cosmos2.5_0057,0,0.1623734308494294
Cosmos2.5_0057,3,0.1249030653083274
Cosmos2.5_0057,6,0.11531399409144083
Cosmos2.5_0057,9,0.11096656699977878
Cosmos2.5_0057,12,0.11099553199808855
Cosmos2.5_0057,15,0.11509589810656917
Cosmos2.5_0057,18,0.16407024776187776
Cosmos2.5_0057,21,0.1354116101719333
Cosmos2.5_0057,24,0.1429798685571414
Cosmos2.5_0057,27,0.13280575361554667
Cosmos2.5_0057,30,0.11117348639697132
Cosmos2.5_0057,33,0.21305598916579704
Cosmos2.5_0057,36,0.08061959494422868
