case,split,frames_with_2plus_SAM,max_SAM_candidates,max_nonnested_DINO,DINO_peak_frame,DINO_peak_min_GDINO,DINO_peak_min_SigLIP,persistent_raw_peak
Cosmos2.5_0016,DEV_POS,23,3,0.6478808522224426,72,0.2364072799682617,0.8792035579681396,0.3308717129227664
Cosmos2.5_0058,DEV_POS,27,3,0.6373960375785828,87,0.3055306673049927,0.8503103256225586,0.3451754734633067
Cosmos2.5_0064,HELDOUT_POS,32,3,0.4114145338535309,57,0.215409442782402,0.706331729888916,0.0
Cosmos3_seed101_0003,DEV_POS,64,3,0.9604619145393372,45,0.2542711496353149,0.648011326789856,0.3898701545286615
Cosmos3_seed101_0010,DEV_POS,64,3,0.717988133430481,90,0.4124017655849457,0.7326157689094543,0.3946532245231858
Cosmos3_seed101_0012,HELDOUT_POS,64,3,0.637798011302948,27,0.4113885760307312,0.8415544033050537,0.2944650285634522
Cosmos3_seed101_0017,HELDOUT_POS,64,3,0.4486835598945617,114,0.1367553770542144,0.7051353454589844,0.1417781319182255
Cosmos3_seed101_0020,DEV_POS,42,3,0.8188588619232178,186,0.67230623960495,0.9171329736709596,0.6429967508173098
Cosmos3_seed101_0027,HELDOUT_POS,64,3,0.6077308058738708,57,0.1182362735271453,0.6148827075958252,0.1717924423520381
Cosmos3_seed101_0036,DEV_POS,64,3,0.9157558679580688,132,0.5872340798377991,0.9595984816551208,0.6874325815720541
Cosmos3_seed101_0054,HELDOUT_POS,63,3,0.8047794699668884,168,0.3484319746494293,0.8356293439865112,0.2845200880226945
Cosmos3_seed101_0055,HELDOUT_POS,64,3,0.96953684091568,129,0.196753591299057,0.7032421827316284,0.4646017669977897
Cosmos3_seed101_0065,HELDOUT_POS,19,3,0.8852362632751465,183,0.3469598591327667,0.8958855867385864,0.5079523440489291
LVP_0004,DEV_POS,17,3,0.5422234535217285,30,0.1404322534799575,0.764245331287384,0.1776348315153656
LVP_0030,DEV_POS,17,3,0.7866881489753723,48,0.6082414388656616,0.8630735874176025,0.5699864391988918
LVP_0053,HELDOUT_POS,17,3,0.9409313797950744,3,0.1039171516895294,0.6925477981567383,0.1891629195147006
LVP_0054,HELDOUT_POS,17,3,0.5913423895835876,12,0.2149778604507446,0.7544164061546326,0.2179535327594159
LVP_0055,HELDOUT_POS,17,3,0.9860073328018188,9,0.1026219576597213,0.7486012578010559,0.2875011375946284
LVP_0056,HELDOUT_POS,17,3,0.7351043224334717,18,0.1161584481596946,0.6999025344848633,0.0
Cosmos3_seed102_0006,HELDOUT_POS,51,3,0.6723676919937134,27,0.452481061220169,0.7388291358947754,0.0
Cosmos3_seed102_0008,HELDOUT_POS,31,3,0.568832516670227,9,0.516031801700592,0.7898187637329102,0.0
Cosmos3_seed102_0010,HELDOUT_POS,64,2,0.700767457485199,12,0.3834244906902313,0.824357271194458,0.0
Cosmos3_seed102_0062,HELDOUT_POS,7,2,0.0,-1,0.0,0.0,0.0
Cosmos3_seed102_0064,HELDOUT_POS,64,3,0.3843088150024414,126,0.2226988971233368,0.6714344024658203,0.1610638839434632
Cosmos3_seed103_0006,HELDOUT_POS,46,3,0.671724796295166,0,0.4751449525356293,0.7579264640808105,0.148638891818095
Cosmos3_seed103_0010,HELDOUT_POS,42,3,0.6926050186157227,12,0.4001502692699432,0.8522219657897949,0.2463535761994011
Cosmos3_seed103_0012,HELDOUT_POS,32,2,0.6396276950836182,12,0.4544073045253753,0.852003812789917,0.0
Cosmos3_seed103_0013,HELDOUT_POS,5,2,0.1604519933462143,186,0.1063366830348968,0.7320148944854736,0.0447658288919634
Cosmos3_seed103_0017,HELDOUT_POS,64,3,0.5704044103622437,42,0.1271565407514572,0.7044135332107544,0.1715136842702131
Cosmos3_seed103_0056,HELDOUT_POS,64,3,0.6894502639770508,141,0.1395556628704071,0.7534905672073364,0.2842751991639407
Cosmos3_seed103_0058,HELDOUT_POS,1,2,0.0,-1,0.0,0.0,0.0
Cosmos3_seed103_0062,HELDOUT_POS,4,2,0.0,-1,0.0,0.0,0.0
Cosmos3_seed103_0064,HELDOUT_POS,64,3,0.4291127026081085,69,0.1432893127202987,0.7007032632827759,0.1607888866659449
