case,label,eval_split,dataset,pretrack_score,pretrack_peak_frame,persistent_score
Cosmos2.5_0016,1,DEV_POS,Cosmos2.5,0.3308717129227664,92,0.3308717129227664
Cosmos2.5_0058,1,DEV_POS,Cosmos2.5,0.34517547346330674,54,0.3451754734633067
Cosmos2.5_0064,1,HELDOUT_POS,Cosmos2.5,0.1607753473932183,78,0.0
Cosmos3_seed101_0003,1,DEV_POS,Cosmos3_seed101,0.3898701545286615,45,0.3898701545286615
Cosmos3_seed101_0010,1,DEV_POS,Cosmos3_seed101,0.42302509090555984,72,0.3946532245231858
Cosmos3_seed101_0012,1,HELDOUT_POS,Cosmos3_seed101,0.3948528426911195,24,0.2944650285634522
Cosmos3_seed101_0017,1,HELDOUT_POS,Cosmos3_seed101,0.14642144296336757,120,0.1417781319182255
Cosmos3_seed101_0020,1,DEV_POS,Cosmos3_seed101,0.6429967508173098,186,0.6429967508173098
Cosmos3_seed101_0027,1,HELDOUT_POS,Cosmos3_seed101,0.17179244235203817,72,0.1717924423520381
Cosmos3_seed101_0036,1,DEV_POS,Cosmos3_seed101,0.6874325815720541,132,0.6874325815720541
Cosmos3_seed101_0054,1,HELDOUT_POS,Cosmos3_seed101,0.4342529037633879,168,0.2845200880226945
Cosmos3_seed101_0055,1,HELDOUT_POS,Cosmos3_seed101,0.4646017669977897,186,0.4646017669977897
Cosmos3_seed101_0065,1,HELDOUT_POS,Cosmos3_seed101,0.5079523440489291,177,0.5079523440489291
LVP_0004,1,DEV_POS,LVP,0.17763483151536563,30,0.1776348315153656
LVP_0030,1,DEV_POS,LVP,0.5699864391988918,48,0.5699864391988918
LVP_0053,1,HELDOUT_POS,LVP,0.2524215597757836,3,0.1891629195147006
LVP_0054,1,HELDOUT_POS,LVP,0.23814498606563053,12,0.2179535327594159
LVP_0055,1,HELDOUT_POS,LVP,0.2875011375946284,12,0.2875011375946284
LVP_0056,1,HELDOUT_POS,LVP,0.21917053802831432,21,0.0
Cosmos3_seed102_0006,1,HELDOUT_POS,Cosmos3_seed102,0.4077306072038625,24,0.0
Cosmos3_seed102_0008,1,HELDOUT_POS,Cosmos3_seed102,0.36315026997591954,9,0.0
Cosmos3_seed102_0010,1,HELDOUT_POS,Cosmos3_seed102,0.44362121477194133,177,0.0
Cosmos3_seed102_0062,1,HELDOUT_POS,Cosmos3_seed102,0.0,-1,0.0
Cosmos3_seed102_0064,1,HELDOUT_POS,Cosmos3_seed102,0.16106388394346322,96,0.1610638839434632
Cosmos3_seed103_0006,1,HELDOUT_POS,Cosmos3_seed103,0.4031048059874701,0,0.148638891818095
Cosmos3_seed103_0010,1,HELDOUT_POS,Cosmos3_seed103,0.41368709604238213,42,0.2463535761994011
Cosmos3_seed103_0012,1,HELDOUT_POS,Cosmos3_seed103,0.397988644640135,12,0.0
Cosmos3_seed103_0013,1,HELDOUT_POS,Cosmos3_seed103,0.04476582889196346,186,0.0447658288919634
Cosmos3_seed103_0017,1,HELDOUT_POS,Cosmos3_seed103,0.1715136842702131,48,0.1715136842702131
Cosmos3_seed103_0056,1,HELDOUT_POS,Cosmos3_seed103,0.2842751991639407,135,0.2842751991639407
Cosmos3_seed103_0058,1,HELDOUT_POS,Cosmos3_seed103,0.0,-1,0.0
Cosmos3_seed103_0062,1,HELDOUT_POS,Cosmos3_seed103,0.0,-1,0.0
Cosmos3_seed103_0064,1,HELDOUT_POS,Cosmos3_seed103,0.16078888666594493,174,0.1607888866659449
Cosmos2.5_0036,0,DEV_NEG,Cosmos2.5,0.14270065470154372,0,0.1350343953022846
Cosmos2.5_0057,0,DEV_NEG,Cosmos2.5,0.2294352083235063,75,0.213055989165797
Cosmos3_seed101_0039,0,DEV_NEG,Cosmos3_seed101,0.6373723310922651,177,0.6373723310922651
Cosmos3_seed101_0049,0,DEV_NEG,Cosmos3_seed101,0.1905284135639587,147,0.1658523010243475
LVP_0062,0,DEV_NEG,LVP,0.0,-1,0.0
LVP_0043,0,DEV_NEG,LVP,0.08554720114112035,42,0.0855472011411203
Cosmos3_seed102_0000,0,HELDOUT_NEG,Cosmos3_seed102,0.19250851398958652,18,0.1587765484208322
Cosmos3_seed102_0001,0,HELDOUT_NEG,Cosmos3_seed102,0.2211945813738803,42,0.1463343522007744
Cosmos3_seed102_0002,0,HELDOUT_NEG,Cosmos3_seed102,0.18015967932333277,126,0.1801596793233327
Cosmos3_seed102_0003,0,HELDOUT_NEG,Cosmos3_seed102,0.260892752487129,171,0.260892752487129
Cosmos3_seed102_0004,0,HELDOUT_NEG,Cosmos3_seed102,0.26805635386238297,39,0.2680563538623829
Cosmos3_seed102_0007,0,HELDOUT_NEG,Cosmos3_seed102,0.23423115692988544,39,0.2342311569298854
Cosmos3_seed102_0009,0,HELDOUT_NEG,Cosmos3_seed102,0.3997162286188232,111,0.0
Cosmos3_seed102_0011,0,HELDOUT_NEG,Cosmos3_seed102,0.3422165728516944,108,0.0
Cosmos3_seed103_0000,0,HELDOUT_NEG,Cosmos3_seed103,0.25372626991266833,30,0.2537262699126683
Cosmos3_seed103_0001,0,HELDOUT_NEG,Cosmos3_seed103,0.18580720545242804,3,0.1461525840382708
Cosmos3_seed103_0002,0,HELDOUT_NEG,Cosmos3_seed103,0.21759519397497423,66,0.2175951939749742
Cosmos3_seed103_0003,0,HELDOUT_NEG,Cosmos3_seed103,0.1980076353869481,120,0.1980076353869481
Cosmos3_seed103_0004,0,HELDOUT_NEG,Cosmos3_seed103,0.2728578802700648,3,0.2728578802700648
Cosmos3_seed103_0007,0,HELDOUT_NEG,Cosmos3_seed103,0.19975074828195566,87,0.1997507482819556
Cosmos3_seed103_0008,0,HELDOUT_NEG,Cosmos3_seed103,0.37169806029517477,9,0.2235884111833939
Cosmos3_seed103_0009,0,HELDOUT_NEG,Cosmos3_seed103,0.3196663233564736,15,0.125395102000083
Cosmos3_seed103_0011,0,HELDOUT_NEG,Cosmos3_seed103,0.31777196061223056,63,0.0
