case,label,original_label,eval_split,dataset,object_prompt,revised_category,revised_confidence,annotation_source,identity_dup_score,pretrack_score,persistent_score,peak,mean2,mean3,mean5,mean7,floor2,floor3,floor5,floor7,base_peak,size_score_peak,strict_size_score_peak,mask_size_score_peak,base_mean3,size_score_mean3,strict_size_score_mean3,mask_size_score_mean3
Cosmos2.5_0016,1,1,DEV_POS,Cosmos2.5,white cup,,,ORIGINAL,0.3308717129227664,0.3308717129227664,0.3308717129227664,0.3308717129227664,0.3283459958812788,0.3137616596363173,0.3007354270421879,0.3004428863140228,0.3258202788397912,0.2960746730768585,0.280076746537453,0.280076746537453,0.3308717129227664,0.2882633435319935,0.2646105831116239,0.281660873084219,0.3137616596363173,0.2739173533794421,0.2580763202552955,0.2772080197320799
Cosmos2.5_0058,1,1,DEV_POS,Cosmos2.5,white cup,,,ORIGINAL,0.3451754734633067,0.3451754734633067,0.3451754734633067,0.3451754734633067,0.3321279901599335,0.3249440447073322,0.317278826807691,0.3157388567071921,0.3227181946959643,0.3177457158265753,0.2971752494855063,0.2791122101382189,0.3451754734633067,0.2794025495910669,0.265276867295732,0.2614103631448303,0.3249440447073322,0.2719764180270987,0.2580217499765022,0.2418601207661045
Cosmos2.5_0064,1,1,HELDOUT_POS,Cosmos2.5,white cube,,,ORIGINAL,0.0,0.1607753473932183,0.0,0.1607753473932183,0.1531202232672325,0.1512069739725383,0.1486882048562835,0.1471697323162049,0.1457621312444044,0.1457621312444044,0.1332953739945593,0.1332953739945593,0.1607753473932183,0.1210820137811921,0.0960962353791264,0.1481357569337132,0.1512069739725383,0.1098578838216123,0.0875263901535052,0.1322546981660606
Cosmos3_seed101_0003,1,1,DEV_POS,Cosmos3_seed101,yellow cube,,,ORIGINAL,0.3898701545286615,0.3898701545286615,0.3898701545286615,0.3898701545286615,0.3432618298877636,0.3279062952750377,0.3078576774790394,0.2967502930345581,0.3423979810098522,0.2971952260495859,0.2520075509686718,0.2520075509686718,0.3898701545286615,0.3008777787454349,0.2695891308802641,0.3724415567557573,0.3279062952750377,0.2339998230093904,0.2082160824208936,0.2094455806638881
Cosmos3_seed101_0010,1,1,DEV_POS,Cosmos3_seed101,white cup,,,ORIGINAL,0.3946532245231858,0.4230250909055598,0.3946532245231858,0.4230250909055598,0.4186866630900476,0.4127942592527642,0.4090913738341611,0.405156668231093,0.4143482352745354,0.4028601638713853,0.4018201080657945,0.3964815107223046,0.4230250909055598,0.3487907686714135,0.3430023080434132,0.3090632813787385,0.4127942592527642,0.3234396232194179,0.3186898325998679,0.2858514520397474
Cosmos3_seed101_0012,1,1,HELDOUT_POS,Cosmos3_seed101,white cup,,,ORIGINAL,0.2831281616679351,0.3948528426911195,0.2944650285634522,0.3948528426911195,0.3850642407251967,0.377164405779516,0.3720718365830054,0.3710564574837658,0.3773785394475212,0.3760981663882465,0.3613479787725249,0.3586686542017973,0.3948528426911195,0.2513443210420001,0.2332696046540896,0.1929646555685191,0.377164405779516,0.2474955716711722,0.22895180495093,0.1889759497335731
Cosmos3_seed101_0017,1,1,HELDOUT_POS,Cosmos3_seed101,white cube,,,ORIGINAL,0.1417781319182255,0.1464214429633675,0.1417781319182255,0.1464214429633675,0.1379635678648393,0.1347822944339914,0.1276393742210753,0.1274296418406078,0.1347393347144944,0.1284197475722956,0.1163095701754301,0.1163095701754301,0.1464214429633675,0.1131024366237426,0.1080460080898576,0.1004059327701861,0.1347822944339914,0.0882489185598877,0.0845137716448005,0.0613727219903735
Cosmos3_seed101_0020,1,1,DEV_POS,Cosmos3_seed101,banana,,,ORIGINAL,0.6429967508173098,0.6429967508173098,0.6429967508173098,0.6429967508173098,0.6363378429995377,0.6133310682641621,0.6110153636596105,0.5861735673765551,0.6296789351817654,0.5694300279739486,0.5673175187934107,0.478708125363884,0.6429967508173098,0.4754055045441931,0.470996286247772,0.4358099030335763,0.6133310682641621,0.4411710007086457,0.399508039781469,0.3947464964896264
Cosmos3_seed101_0027,1,1,HELDOUT_POS,Cosmos3_seed101,white tape roll,,,ORIGINAL,0.1717924423520381,0.1717924423520381,0.1717924423520381,0.1717924423520381,0.1657583990387409,0.1577673966178377,0.1449191095098065,0.1443164446129071,0.1597243557254437,0.1499115416279414,0.1077649164150442,0.1077649164150442,0.1717924423520381,0.1604663641202341,0.1594601602696938,0.1552758989330291,0.1577673966178377,0.1458735093628438,0.1449524468352723,0.1388600550748463
Cosmos3_seed101_0036,1,1,DEV_POS,Cosmos3_seed101,white tape roll,,,ORIGINAL,0.6874325815720541,0.6874325815720541,0.6874325815720541,0.6874325815720541,0.5688674930419582,0.5684085107620005,0.552425254040328,0.5245645048944328,0.5679659029523143,0.5674905462020854,0.5167209779006101,0.4076881066115582,0.6874325815720541,0.6433435177251511,0.6200054595672255,0.5822685420964643,0.5684085107620005,0.4594170963339076,0.4424126606096274,0.4057455886585124
