score,AUROC,AP,evaluation
identity_dup_score,0.7277777777777777,0.777876108451556,ALL_REAUDITED
pretrack_score,0.7222222222222222,0.7124673500954992,ALL_REAUDITED
persistent_score,0.6833333333333333,0.706198764785287,ALL_REAUDITED
peak,0.7222222222222222,0.7124673500954992,ALL_REAUDITED
mean2,0.7319444444444445,0.7013891602794351,ALL_REAUDITED
mean3,0.7305555555555555,0.699086385679061,ALL_REAUDITED
mean5,0.7166666666666667,0.680802970767289,ALL_REAUDITED
size_score_peak,0.7972222222222223,0.7935299295752373,ALL_REAUDITED
strict_size_score_peak,0.8041666666666666,0.8041108635363111,ALL_REAUDITED
size_score_mean3,0.7916666666666667,0.7508981172477014,ALL_REAUDITED
strict_size_score_mean3,0.7930555555555555,0.7473670587486809,ALL_REAUDITED
identity_dup_score,0.33749999999999997,0.15554911619820344,SEED102_103_REAUDITED
pretrack_score,0.7666666666666668,0.6384615384615384,SEED102_103_REAUDITED
persistent_score,0.3125,0.16450090744101634,SEED102_103_REAUDITED
peak,0.7666666666666668,0.6384615384615384,SEED102_103_REAUDITED
mean2,0.7666666666666668,0.6384615384615384,SEED102_103_REAUDITED
mean3,0.7583333333333334,0.6273504273504273,SEED102_103_REAUDITED
mean5,0.7583333333333333,0.6384615384615384,SEED102_103_REAUDITED
size_score_peak,0.8,0.7217948717948717,SEED102_103_REAUDITED
strict_size_score_peak,0.7833333333333334,0.636080586080586,SEED102_103_REAUDITED
size_score_mean3,0.7916666666666666,0.6917948717948718,SEED102_103_REAUDITED
strict_size_score_mean3,0.775,0.5917948717948718,SEED102_103_REAUDITED
identity_dup_score,0.9583333333333334,0.975,ORIGINAL_DEV
pretrack_score,0.8333333333333334,0.8553436147186148,ORIGINAL_DEV
persistent_score,0.8541666666666667,0.8644345238095239,ORIGINAL_DEV
peak,0.8333333333333334,0.8553436147186148,ORIGINAL_DEV
mean2,0.8333333333333334,0.8227678571428573,ORIGINAL_DEV
mean3,0.8333333333333334,0.8227678571428573,ORIGINAL_DEV
mean5,0.8333333333333334,0.8227678571428573,ORIGINAL_DEV
size_score_peak,0.8333333333333334,0.8553436147186148,ORIGINAL_DEV
strict_size_score_peak,0.8333333333333334,0.8553436147186148,ORIGINAL_DEV
size_score_mean3,0.8125,0.7602678571428573,ORIGINAL_DEV
strict_size_score_mean3,0.8125,0.7602678571428573,ORIGINAL_DEV
