case,label,eval_split,dataset,base_peak,base_mean3,size_score_peak,size_score_mean3,strict_size_score_peak,strict_size_score_mean3,mask_size_score_peak,mask_size_score_mean3
Cosmos2.5_0016,1,DEV_POS,Cosmos2.5,0.3308717129227664,0.31376165963631736,0.28826334353199357,0.2739173533794421,0.26461058311162394,0.25807632025529553,0.281660873084219,0.2772080197320799
Cosmos2.5_0058,1,DEV_POS,Cosmos2.5,0.34517547346330674,0.32494404470733224,0.2794025495910669,0.27197641802709877,0.265276867295732,0.2580217499765022,0.2614103631448303,0.24186012076610455
Cosmos2.5_0064,1,HELDOUT_POS,Cosmos2.5,0.1607753473932183,0.15120697397253838,0.1210820137811921,0.10985788382161239,0.09609623537912643,0.08752639015350523,0.14813575693371325,0.1322546981660606
Cosmos3_seed101_0003,1,DEV_POS,Cosmos3_seed101,0.3898701545286615,0.32790629527503773,0.3008777787454349,0.23399982300939048,0.2695891308802641,0.20821608242089362,0.3724415567557573,0.2094455806638881
Cosmos3_seed101_0010,1,DEV_POS,Cosmos3_seed101,0.42302509090555984,0.4127942592527642,0.34879076867141356,0.3234396232194179,0.34300230804341325,0.31868983259986794,0.30906328137873856,0.28585145203974743
Cosmos3_seed101_0012,1,HELDOUT_POS,Cosmos3_seed101,0.3948528426911195,0.37716440577951604,0.2513443210420001,0.24749557167117223,0.23326960465408966,0.22895180495093004,0.19296465556851916,0.18897594973357315
Cosmos3_seed101_0017,1,HELDOUT_POS,Cosmos3_seed101,0.14642144296336757,0.13478229443399142,0.1131024366237426,0.08824891855988772,0.10804600808985763,0.08451377164480056,0.10040593277018617,0.061372721990373504
Cosmos3_seed101_0020,1,DEV_POS,Cosmos3_seed101,0.6429967508173098,0.6133310682641621,0.47540550454419317,0.44117100070864573,0.470996286247772,0.39950803978146904,0.4358099030335763,0.3947464964896264
Cosmos3_seed101_0027,1,HELDOUT_POS,Cosmos3_seed101,0.17179244235203817,0.1577673966178377,0.1604663641202341,0.14587350936284385,0.15946016026969384,0.14495244683527236,0.15527589893302915,0.13886005507484633
Cosmos3_seed101_0036,1,DEV_POS,Cosmos3_seed101,0.6874325815720541,0.5684085107620005,0.6433435177251511,0.45941709633390765,0.6200054595672255,0.4424126606096274,0.5822685420964643,0.4057455886585124
Cosmos3_seed101_0054,1,HELDOUT_POS,Cosmos3_seed101,0.4342529037633879,0.4135092812904875,0.3432124597482518,0.3337678933507115,0.3305742197035565,0.3229898768272265,0.30033315943539696,0.29345184827322845
Cosmos3_seed101_0055,1,HELDOUT_POS,Cosmos3_seed101,0.4646017669977897,0.4568852709702713,0.3666784335845693,0.3599376202255713,0.3493647084153684,0.34251399975163,0.3428310691646476,0.3192000837465658
Cosmos3_seed101_0065,1,HELDOUT_POS,Cosmos3_seed101,0.5079523440489291,0.493687784475721,0.49100879852518065,0.4767334326845809,0.4842964822350464,0.46968227696630943,0.4767101863115885,0.4629445204678256
LVP_0004,1,DEV_POS,LVP,0.17763483151536563,0.1529214345915064,0.12436267038818309,0.10675656161416425,0.12220406182640171,0.10467222406653502,0.14711456123569858,0.12877039748200514
LVP_0030,1,DEV_POS,LVP,0.5699864391988918,0.40077270046723307,0.5473584055420595,0.37740721042666836,0.5292057435649038,0.36267042016953094,0.5009857148952405,0.3484258710732105
LVP_0053,1,HELDOUT_POS,LVP,0.2524215597757836,0.19634423069840667,0.22907909294629117,0.15298138383975823,0.22415238914243057,0.12738342754641493,0.22892024214148654,0.16480121925074617
LVP_0054,1,HELDOUT_POS,LVP,0.23814498606563053,0.2037612779583232,0.18460854937725069,0.16387530006114767,0.16474939595700316,0.1426374945518273,0.1864420470154134,0.158475046881263
LVP_0055,1,HELDOUT_POS,LVP,0.2875011375946284,0.2417221177175974,0.2521673169378085,0.1989845728518894,0.23882535346869757,0.17509408907799773,0.2748692774191175,0.217244275088174
LVP_0056,1,HELDOUT_POS,LVP,0.21917053802831432,0.1970700981493356,0.1449701366501965,0.12925744882585657,0.13304435584124624,0.11252438661226592,0.14262376499615265,0.1304815162026929
Cosmos3_seed102_0006,1,HELDOUT_POS,Cosmos3_seed102,0.4077306072038625,0.38985587157897267,0.1850270582362813,0.1771048035821811,0.18044188791056298,0.17283426606519425,0.0707137287011522,0.06756571356172268
Cosmos3_seed102_0008,1,HELDOUT_POS,Cosmos3_seed102,0.36315026997591954,0.3330964326872832,0.20782162141431992,0.1893457269666178,0.19454279152061188,0.17611219591191932,0.10963693598624438,0.09997905871237496
Cosmos3_seed102_0010,1,HELDOUT_POS,Cosmos3_seed102,0.44362121477194133,0.44054187202939216,0.21656536473765572,0.21514046437478052,0.19864892407909862,0.19749350307276847,0.10264606401421886,0.10179943992771852
Cosmos3_seed102_0062,1,HELDOUT_POS,Cosmos3_seed102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cosmos3_seed102_0064,1,HELDOUT_POS,Cosmos3_seed102,0.16106388394346322,0.1479328412298669,0.13191457493136666,0.12080993603016958,0.111279978534631,0.10167573273281871,0.15476124066683927,0.14100516060689802
Cosmos3_seed103_0006,1,HELDOUT_POS,Cosmos3_seed103,0.4031048059874701,0.38808479362172515,0.18263440211997267,0.17462146481412533,0.17707562653118153,0.16955123711135622,0.06960805368156474,0.0671133350888446
Cosmos3_seed103_0010,1,HELDOUT_POS,Cosmos3_seed103,0.41368709604238213,0.4038555235404065,0.20251816911247372,0.19725519133611477,0.18603390787626056,0.18100107432850418,0.13227131025427058,0.10251459646433199
Cosmos3_seed103_0012,1,HELDOUT_POS,Cosmos3_seed103,0.397988644640135,0.3699143713330071,0.21579693825881555,0.20035823393859595,0.19767052146719188,0.18320028721244944,0.10741879434607987,0.10002712375231815
Cosmos3_seed103_0013,1,HELDOUT_POS,Cosmos3_seed103,0.04476582889196346,0.04145630176824749,0.03251655456838843,0.03011080440705699,0.030327272343641493,0.028111567811132877,0.0427130113160649,0.03961392230168282
Cosmos3_seed103_0017,1,HELDOUT_POS,Cosmos3_seed103,0.1715136842702131,0.16550881637369505,0.12005942521232658,0.09642633360929413,0.1154048516502224,0.08363408865090106,0.09437301963736122,0.059909412712754996
Cosmos3_seed103_0056,1,HELDOUT_POS,Cosmos3_seed103,0.2842751991639407,0.23818983840643582,0.18572779984578827,0.16653192558919713,0.18338935833723108,0.163894300413274,0.1900624103163024,0.17886511208379516
Cosmos3_seed103_0058,1,HELDOUT_POS,Cosmos3_seed103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cosmos3_seed103_0062,1,HELDOUT_POS,Cosmos3_seed103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cosmos3_seed103_0064,1,HELDOUT_POS,Cosmos3_seed103,0.16078888666594493,0.14945933146110005,0.1226898150925912,0.11461432284212791,0.10451098666771536,0.09751526876801171,0.13503368250191086,0.12781167013681996
Cosmos2.5_0036,0,DEV_NEG,Cosmos2.5,0.14270065470154372,0.10005009167328442,0.10231484673072536,0.0703296822539442,0.0978097476456797,0.068116654247537,0.08593963971171745,0.06357408991384293
Cosmos2.5_0057,0,DEV_NEG,Cosmos2.5,0.2294352083235063,0.21609662485137496,0.16555476764595153,0.14720747987197927,0.13774234361105286,0.1312197058234432,0.19187932718252806,0.1791816461841347
Cosmos3_seed101_0039,0,DEV_NEG,Cosmos3_seed101,0.6373723310922651,0.609876232471177,0.5019599373810278,0.4832443607106629,0.47996448623954835,0.4703762299707972,0.48197125174235717,0.47111591374435635
Cosmos3_seed101_0049,0,DEV_NEG,Cosmos3_seed101,0.1905284135639587,0.14613737020431408,0.15123027001904502,0.09693673263732538,0.13965782348367287,0.07807345305106918,0.15212007603385658,0.07621731112002467
LVP_0062,0,DEV_NEG,LVP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LVP_0043,0,DEV_NEG,LVP,0.08554720114112035,0.07916736572160049,0.012011961207816514,0.0111572315628131,0.01193777091100136,0.01111256023449006,0.0008211314041267954,0.0007643371388090188
Cosmos3_seed102_0000,0,HELDOUT_NEG,Cosmos3_seed102,0.19250851398958652,0.15523133246940513,0.1696948732525647,0.12028754573481486,0.15679628209773602,0.10301671940372666,0.1422995816692197,0.09029771594675357
Cosmos3_seed102_0001,0,HELDOUT_NEG,Cosmos3_seed102,0.2211945813738803,0.21103610922101854,0.1711200068233787,0.16298211360306686,0.13349726054847005,0.12684885771859208,0.09941316156241453,0.09526515258039236
Cosmos3_seed102_0002,0,HELDOUT_NEG,Cosmos3_seed102,0.18015967932333277,0.16172736991065836,0.13284530180188509,0.12849332235701041,0.11679009940657646,0.1130855204048094,0.11057044097361284,0.09854586413150157
Cosmos3_seed102_0003,0,HELDOUT_NEG,Cosmos3_seed102,0.260892752487129,0.23672300129016843,0.13792956073723564,0.1243270092057671,0.13653651686529292,0.12324046979875079,0.11908510034485688,0.09314776127325415
Cosmos3_seed102_0004,0,HELDOUT_NEG,Cosmos3_seed102,0.26805635386238297,0.21639697292565518,0.20169204515637112,0.15145533113213044,0.170596150141763,0.13634468156082982,0.26136948169444935,0.1672901565187989
Cosmos3_seed102_0007,0,HELDOUT_NEG,Cosmos3_seed102,0.23423115692988544,0.15255582612677693,0.13159339760216532,0.12737181983594206,0.12169105246282401,0.11067155016218276,0.15591283388278238,0.14515405099244408
Cosmos3_seed102_0009,0,HELDOUT_NEG,Cosmos3_seed102,0.3997162286188232,0.3727349550784483,0.2048823568959919,0.19741203181121972,0.19832829227961435,0.19009482372581968,0.0986179175167545,0.09514407737725228
Cosmos3_seed102_0011,0,HELDOUT_NEG,Cosmos3_seed102,0.3422165728516944,0.3358352687910988,0.14914020886932083,0.14488345997754706,0.12706118131463773,0.12329407704815125,0.05988314420056188,0.058303185806262287
Cosmos3_seed103_0000,0,HELDOUT_NEG,Cosmos3_seed103,0.25372626991266833,0.19617651294047592,0.16288831515681054,0.13871178662075492,0.16148147221986456,0.12064120013564827,0.1677924879464005,0.09810964801666133
Cosmos3_seed103_0001,0,HELDOUT_NEG,Cosmos3_seed103,0.18580720545242804,0.17571374670133233,0.13920713647671945,0.13088477315676675,0.11941350439492318,0.1125575944437357,0.09724389374042645,0.09510359394778693
Cosmos3_seed103_0002,0,HELDOUT_NEG,Cosmos3_seed103,0.21759519397497423,0.1811445778258025,0.18932389297072275,0.14465624107147343,0.1868825715592171,0.12641541880831186,0.20203708301590056,0.11108547380160988
Cosmos3_seed103_0003,0,HELDOUT_NEG,Cosmos3_seed103,0.1980076353869481,0.1844531170887629,0.11864232771341474,0.11154186168138257,0.11049168212832292,0.10576172380777783,0.13313804423543646,0.110194608121897
Cosmos3_seed103_0004,0,HELDOUT_NEG,Cosmos3_seed103,0.2728578802700648,0.1749333716159175,0.18958782385438183,0.1126194461021145,0.17979009617124708,0.10922418735472171,0.25598922606681784,0.15922204652069769
Cosmos3_seed103_0007,0,HELDOUT_NEG,Cosmos3_seed103,0.19975074828195566,0.18556512818439205,0.1725703476938746,0.15636245625616066,0.1549836601823345,0.14044445934479155,0.18920774106219285,0.16148643098418466
Cosmos3_seed103_0008,0,HELDOUT_NEG,Cosmos3_seed103,0.37169806029517477,0.3538596572202746,0.21013419454846066,0.2000278796385275,0.19421205958726095,0.18472769211959036,0.11123317427607037,0.10594785074821646
