case,label,eval_split,dataset,n_frames,peak,mean2,floor2,mean3,floor3,mean5,floor5,mean7,floor7
Cosmos2.5_0016,1,DEV_POS,Cosmos2.5,32,0.3308717129227664,0.3283459958812788,0.3258202788397912,0.31376165963631736,0.29607467307685853,0.3007354270421879,0.28007674653745307,0.3004428863140228,0.28007674653745307
Cosmos2.5_0058,1,DEV_POS,Cosmos2.5,32,0.34517547346330674,0.33212799015993355,0.3227181946959643,0.32494404470733224,0.3177457158265753,0.31727882680769104,0.2971752494855063,0.3157388567071921,0.2791122101382189
Cosmos2.5_0064,1,HELDOUT_POS,Cosmos2.5,32,0.1607753473932183,0.15312022326723257,0.14576213124440449,0.15120697397253838,0.14576213124440449,0.14868820485628353,0.13329537399455932,0.1471697323162049,0.13329537399455932
Cosmos3_seed101_0003,1,DEV_POS,Cosmos3_seed101,64,0.3898701545286615,0.3432618298877636,0.3423979810098522,0.32790629527503773,0.2971952260495859,0.3078576774790394,0.25200755096867183,0.29675029303455813,0.25200755096867183
Cosmos3_seed101_0010,1,DEV_POS,Cosmos3_seed101,64,0.42302509090555984,0.41868666309004765,0.41434823527453546,0.4127942592527642,0.4028601638713853,0.40909137383416116,0.4018201080657945,0.40515666823109303,0.39648151072230464
Cosmos3_seed101_0012,1,HELDOUT_POS,Cosmos3_seed101,64,0.3948528426911195,0.38506424072519674,0.37737853944752126,0.37716440577951604,0.3760981663882465,0.37207183658300547,0.3613479787725249,0.3710564574837658,0.3586686542017973
Cosmos3_seed101_0017,1,HELDOUT_POS,Cosmos3_seed101,64,0.14642144296336757,0.13796356786483932,0.13473933471449442,0.13478229443399142,0.1284197475722956,0.1276393742210753,0.11630957017543014,0.12742964184060787,0.11630957017543014
Cosmos3_seed101_0020,1,DEV_POS,Cosmos3_seed101,64,0.6429967508173098,0.6363378429995377,0.6296789351817654,0.6133310682641621,0.5694300279739486,0.6110153636596105,0.5673175187934107,0.5861735673765551,0.478708125363884
Cosmos3_seed101_0027,1,HELDOUT_POS,Cosmos3_seed101,64,0.17179244235203817,0.16575839903874093,0.1597243557254437,0.1577673966178377,0.1499115416279414,0.14491910950980652,0.10776491641504422,0.14431644461290719,0.10776491641504422
Cosmos3_seed101_0036,1,DEV_POS,Cosmos3_seed101,64,0.6874325815720541,0.5688674930419582,0.5679659029523143,0.5684085107620005,0.5674905462020854,0.552425254040328,0.5167209779006101,0.5245645048944328,0.4076881066115582
Cosmos3_seed101_0054,1,HELDOUT_POS,Cosmos3_seed101,64,0.4342529037633879,0.41379420211422846,0.3983685522514372,0.4135092812904875,0.3983685522514372,0.39367890584831783,0.3611872178326138,0.38689082620620724,0.316178927454865
Cosmos3_seed101_0055,1,HELDOUT_POS,Cosmos3_seed101,64,0.4646017669977897,0.46180374150860304,0.4590057160194164,0.4568852709702713,0.44704832989360777,0.4335384287608691,0.3882259340489017,0.37098133566368435,0.2123684249974682
Cosmos3_seed101_0065,1,HELDOUT_POS,Cosmos3_seed101,64,0.5079523440489291,0.4944978768231452,0.49354310326541123,0.493687784475721,0.4824419985956493,0.4917916004807383,0.4795679061128227,0.4510643601533356,0.30499772834647315
LVP_0004,1,DEV_POS,LVP,17,0.17763483151536563,0.15776239632750133,0.15190575679198984,0.1529214345915064,0.14323951111951655,0.15429596564825893,0.14211839618287964,0.15338103461044783,0.13508069295140976
LVP_0030,1,DEV_POS,LVP,17,0.5699864391988918,0.5532430786978697,0.5364997181968477,0.40077270046723307,0.09583194400595971,0.2699994501918507,0.0,0.1928567501370362,0.0
LVP_0053,1,HELDOUT_POS,LVP,17,0.2524215597757836,0.20013171119076636,0.18880785241424125,0.19634423069840667,0.1887692697136873,0.17992835163858154,0.12873516829124199,0.176221684976332,0.08148847686563274
LVP_0054,1,HELDOUT_POS,LVP,17,0.23814498606563053,0.2146668947910718,0.19118880351651302,0.2037612779583232,0.18195004429282594,0.18293846270062603,0.14882749233710346,0.18368177109972827,0.12560495259519114
LVP_0055,1,HELDOUT_POS,LVP,17,0.2875011375946284,0.2803961439332696,0.27329115027191075,0.2417221177175974,0.164374065286253,0.20191267897552345,0.12169113951001338,0.17877395074231872,0.10917455918286528
LVP_0056,1,HELDOUT_POS,LVP,17,0.21917053802831432,0.21438572313295928,0.20960090823760424,0.1970700981493356,0.16243884818208823,0.17923661099068314,0.14389567857218805,0.16562301568070298,0.11966513848939828
Cosmos3_seed102_0006,1,HELDOUT_POS,Cosmos3_seed102,64,0.4077306072038625,0.40074088025230004,0.3983769545171299,0.38985587157897267,0.3730792691606223,0.38108207363539554,0.3592030388116078,0.3718885305300184,0.34868156977268455
Cosmos3_seed102_0008,1,HELDOUT_POS,Cosmos3_seed102,64,0.36315026997591954,0.3448356553371772,0.3265210406984349,0.3330964326872832,0.3096179873874951,0.302286642181434,0.23430398985368545,0.27969385662097107,0.21116960216314626
Cosmos3_seed102_0010,1,HELDOUT_POS,Cosmos3_seed102,64,0.44362121477194133,0.4407244751859782,0.43782773560001503,0.44054187202939216,0.43782773560001503,0.42679884121323275,0.4012502995462025,0.4215068999166781,0.3998635677383441
Cosmos3_seed102_0062,1,HELDOUT_POS,Cosmos3_seed102,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cosmos3_seed102_0064,1,HELDOUT_POS,Cosmos3_seed102,64,0.16106388394346322,0.15815796299316956,0.15525204204287585,0.1479328412298669,0.12748259770326162,0.1417041057884538,0.12335776236455835,0.13560097197709867,0.11843800687462824
Cosmos3_seed103_0006,1,HELDOUT_POS,Cosmos3_seed103,64,0.4031048059874701,0.39336861558831404,0.39075013157639055,0.38808479362172515,0.3775171496885476,0.3823542146406305,0.36874580303554527,0.37946390931025914,0.3665446026273547
Cosmos3_seed103_0010,1,HELDOUT_POS,Cosmos3_seed103,64,0.41368709604238213,0.404837595189977,0.40428807685091966,0.4038555235404065,0.4018913802412657,0.4019600820243564,0.3937757251495171,0.3928661997870765,0.3683314742665468
Cosmos3_seed103_0012,1,HELDOUT_POS,Cosmos3_seed103,64,0.397988644640135,0.376899164262,0.35655793827053217,0.3699143713330071,0.35655793827053217,0.36463946872882447,0.33963646763598915,0.3595915678780412,0.33813394761830123
Cosmos3_seed103_0013,1,HELDOUT_POS,Cosmos3_seed103,64,0.04476582889196346,0.04386366312765497,0.04296149736334648,0.04145630176824749,0.03664157904943252,0.02487378106094849,0.0,0.017766986472106065,0.0
Cosmos3_seed103_0017,1,HELDOUT_POS,Cosmos3_seed103,64,0.1715136842702131,0.1629068271130388,0.16026653914761246,0.16550881637369505,0.16006320275462493,0.15988934741028568,0.1584917579057457,0.15632259669125664,0.1392917337982878
Cosmos3_seed103_0056,1,HELDOUT_POS,Cosmos3_seed103,64,0.2842751991639407,0.25567084857543354,0.23526222139922573,0.23818983840643582,0.21072913211983585,0.22594237708129744,0.19108363147340665,0.21628827603764503,0.16896105684433482
Cosmos3_seed103_0058,1,HELDOUT_POS,Cosmos3_seed103,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cosmos3_seed103_0062,1,HELDOUT_POS,Cosmos3_seed103,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cosmos3_seed103_0064,1,HELDOUT_POS,Cosmos3_seed103,64,0.16078888666594493,0.15261764861598603,0.14719988925766195,0.14945933146110005,0.1411689734394699,0.14605916393297594,0.1296082059442627,0.1402047747971325,0.12276454084819668
Cosmos2.5_0036,0,DEV_NEG,Cosmos2.5,32,0.14270065470154372,0.1150886597116276,0.08747666472171149,0.10005009167328442,0.06997295559659802,0.07816719979917575,0.039582011822147656,0.07267500864473857,0.023483818506379758
Cosmos2.5_0057,0,DEV_NEG,Cosmos2.5,32,0.2294352083235063,0.22018073591365073,0.21092626350379512,0.21609662485137496,0.20792840272682353,0.206831403347163,0.19271152364992372,0.20386585331496307,0.1863210593121178
Cosmos3_seed101_0039,0,DEV_NEG,Cosmos3_seed101,64,0.6373723310922651,0.6245823732746038,0.6117924154569425,0.609876232471177,0.5804639508643231,0.6032835015947251,0.570003996712784,0.5265110159580045,0.22198180839039158
Cosmos3_seed101_0049,0,DEV_NEG,Cosmos3_seed101,64,0.1905284135639587,0.15274153246291716,0.13963076390148682,0.14613737020431408,0.13292904568710787,0.14224602034671005,0.13258856676419842,0.11300663770580652,0.0384508174705983
LVP_0062,0,DEV_NEG,LVP,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LVP_0043,0,DEV_NEG,LVP,17,0.08554720114112035,0.0810236914823081,0.07650018182349586,0.07916736572160049,0.07545471420018526,0.07510869361617359,0.06750123040404359,0.07392452013840338,0.06750123040404359
Cosmos3_seed102_0000,0,HELDOUT_NEG,Cosmos3_seed102,64,0.19250851398958652,0.15978589164292695,0.15666558018304333,0.15523133246940513,0.14324967794552876,0.1446338223146759,0.12911019338030114,0.14635986258652184,0.12289235794020842
Cosmos3_seed102_0001,0,HELDOUT_NEG,Cosmos3_seed102,64,0.2211945813738803,0.2143013653625057,0.2074081493511311,0.21103610922101854,0.2045055969380442,0.20639274102616922,0.17981367018483824,0.20414161216448684,0.17981367018483824
Cosmos3_seed102_0002,0,HELDOUT_NEG,Cosmos3_seed102,64,0.18015967932333277,0.16499955256606647,0.16112813018270342,0.16172736991065836,0.15518300459984216,0.15630330401293593,0.14803743654621476,0.15365202422808144,0.144134548447301
Cosmos3_seed102_0003,0,HELDOUT_NEG,Cosmos3_seed102,64,0.260892752487129,0.25178988368687816,0.2426870148866273,0.23672300129016843,0.206589236496749,0.22643645995369427,0.20314127378170918,0.2071070947021536,0.16846247514947546
Cosmos3_seed102_0004,0,HELDOUT_NEG,Cosmos3_seed102,64,0.26805635386238297,0.2377420774291184,0.23673762558411182,0.21639697292565518,0.1959058434401185,0.2128896840482645,0.17370676391872883,0.2095034255056418,0.16036002380826345
Cosmos3_seed102_0007,0,HELDOUT_NEG,Cosmos3_seed102,64,0.23423115692988544,0.1578622662156043,0.15038729778116625,0.15255582612677693,0.14945331067828724,0.14202598429619157,0.12536763426564823,0.14051797226407248,0.12536763426564823
Cosmos3_seed102_0009,0,HELDOUT_NEG,Cosmos3_seed102,64,0.3997162286188232,0.3873524025186399,0.3808197516296238,0.3727349550784483,0.3435000601980652,0.36374601915748234,0.3404885954262594,0.3579804475139756,0.31840100159331136
Cosmos3_seed102_0011,0,HELDOUT_NEG,Cosmos3_seed102,64,0.3422165728516944,0.3397429484004105,0.3392433430290952,0.3358352687910988,0.32461258110712704,0.3340832345689849,0.31593611568608254,0.3338921895433923,0.31593611568608254
Cosmos3_seed103_0000,0,HELDOUT_NEG,Cosmos3_seed103,64,0.25372626991266833,0.21354583607421274,0.17336540223575714,0.19617651294047592,0.1614378666730023,0.17905599061336894,0.1456344803123201,0.17143276673557045,0.1456344803123201
Cosmos3_seed103_0001,0,HELDOUT_NEG,Cosmos3_seed103,64,0.18580720545242804,0.1827824563604153,0.18146921358042475,0.17571374670133233,0.16771820535536747,0.17459396564837204,0.16771820535536747,0.16937634610628532,0.15317796033001702
Cosmos3_seed103_0002,0,HELDOUT_NEG,Cosmos3_seed103,64,0.21759519397497423,0.18746973090077668,0.1780728982396858,0.1811445778258025,0.16955490897755754,0.17406271836744866,0.15928796681750515,0.16735106376939357,0.1435202154925057
Cosmos3_seed103_0003,0,HELDOUT_NEG,Cosmos3_seed103,64,0.1980076353869481,0.18828920588451745,0.1785707763820868,0.1844531170887629,0.17678093949725388,0.17110857247797928,0.14057546050675623,0.16337398294167396,0.1337770381543912
Cosmos3_seed103_0004,0,HELDOUT_NEG,Cosmos3_seed103,64,0.2728578802700648,0.191132538746925,0.16329585588639928,0.1749333716159175,0.16329585588639928,0.16048899056396757,0.1345234504021898,0.14995695255713856,0.12372310065485627
Cosmos3_seed103_0007,0,HELDOUT_NEG,Cosmos3_seed103,64,0.19975074828195566,0.19063873595447844,0.1902485931882081,0.18556512818439205,0.16847132803567821,0.17694362734572938,0.15306467844672367,0.1774769649695714,0.14441287325961105
Cosmos3_seed103_0008,0,HELDOUT_NEG,Cosmos3_seed103,64,0.37169806029517477,0.35889539784857766,0.35102046027959144,0.3538596572202746,0.3437881759636686,0.34538876489790316,0.32515911857790764,0.34210219471805303,0.32054289003343894
Cosmos3_seed103_0009,0,HELDOUT_NEG,Cosmos3_seed103,64,0.3196663233564736,0.3190769497181444,0.3184875760798152,0.31778308981445186,0.31519537000706693,0.31349079263510204,0.305488370198294,0.3031661562990786,0.27498288511217345
Cosmos3_seed103_0011,0,HELDOUT_NEG,Cosmos3_seed103,64,0.31777196061223056,0.30424941433664615,0.30045090388866086,0.3014776443863282,0.2959341044856922,0.30071996986526006,0.2959341044856922,0.29623686386344444,0.28283494338282644
