case,start,end,frames,pred,pA,pB,pC_dup,pD_disappear,violation_score
Cosmos2.5_0016,0,5,"0,1,2,3,4,5",A,0.9999487400054932,3.53556897607632e-05,1.3006630979361944e-05,2.902171900132089e-06,0.003358664775987563
Cosmos2.5_0016,4,9,"4,5,6,7,8,9",A,0.9998409748077393,9.609637345420197e-05,3.535188079695217e-05,2.753207263594959e-05,0.011093214016000275
Cosmos2.5_0016,8,13,"8,9,10,11,12,13",A,0.9989640712738037,0.00020325758669059724,0.00012328196316957474,0.0007094386965036392,0.09343494530185126
Cosmos2.5_0016,12,17,"12,13,14,15,16,17",A,0.9983072280883789,9.5948955276981e-05,9.5948955276981e-05,0.0015008941991254687,0.16448176320409402
Cosmos2.5_0016,16,21,"16,17,18,19,20,21",A,0.9927756786346436,0.00020199845312163234,0.0003330391482450068,0.006689270026981831,0.7123308401787654
Cosmos2.5_0016,20,25,"20,21,22,23,24,25",A,0.9961695075035095,0.0011663945624604821,0.0014976802049204707,0.0011663945624604821,0.3247272048611194
Cosmos2.5_0016,24,29,"24,25,26,27,28,29",A,0.9982131719589233,0.0005520961130969226,0.001168787362985313,6.593847501790151e-05,0.15107738945516758
Cosmos2.5_0016,28,33,"28,29,30,31,32,33",A,0.9753410816192627,0.0014663658803328872,0.022937823086977005,0.00025481617194600403,2.3925822199089453
Cosmos2.5_0016,32,37,"32,33,34,35,36,37",C,0.029266150668263435,0.0006882738671265543,0.9691618084907532,0.0008837611530907452,97.03897065774072
Cosmos2.5_0016,36,41,"36,37,38,39,40,41",C,0.006685975007712841,0.00022878147137816995,0.9922866821289062,0.0007985258707776666,99.3199598735373
Cosmos2.5_0016,40,45,"40,41,42,43,44,45",C,0.02926919050514698,0.000688345346134156,0.9692624807357788,0.0007799974991939962,97.03866509080399
Cosmos2.5_0016,44,49,"44,45,46,47,48,49",C,0.022947397083044052,0.0006929513183422387,0.9757481217384338,0.000611527357250452,97.67061247548554
Cosmos2.5_0016,48,53,"48,49,50,51,52,53",C,0.017962627112865448,0.000614647229667753,0.9807261824607849,0.000696486618835479,98.17299926944543
Cosmos2.5_0016,52,57,"52,53,54,55,56,57",C,0.1817554086446762,0.002592601580545306,0.8145712018013,0.0010807571234181523,81.69482597149909
Cosmos2.5_0016,56,61,"56,57,58,59,60,61",C,0.0756182074546814,0.0017783698858693242,0.9212183952331543,0.0013849957613274455,92.34925759374164
Cosmos2.5_0016,60,65,"60,61,62,63,64,65",C,0.37531039118766785,0.004169322084635496,0.6187822222709656,0.0017380320932716131,62.260491540655494
Cosmos2.5_0016,64,69,"64,65,66,67,68,69",C,0.0599752776324749,0.001098485547117889,0.9381712079048157,0.0007549773436039686,93.94754280219786
Cosmos2.5_0016,68,73,"68,69,70,71,72,73",C,0.07563401758670807,0.00156973407138139,0.9214109182357788,0.001385285286232829,92.35810705577023
Cosmos2.5_0016,72,77,"72,73,74,75,76,77",C,0.22170230746269226,0.003162413602694869,0.7738170623779297,0.0013182902475818992,77.6716559426859
Cosmos2.5_0016,76,81,"76,77,78,79,80,81",C,0.4361192584037781,0.002938548568636179,0.5599882006645203,0.0009540071478113532,56.24114820966497
Cosmos2.5_0016,80,85,"80,81,82,83,84,85",C,0.4365966022014618,0.002291048876941204,0.5606011748313904,0.0005112020880915225,56.22579013579525
Cosmos2.5_0016,84,89,"84,85,86,87,88,89",A,0.5610527396202087,0.0017857078928500414,0.436948299407959,0.00021327240392565727,43.805442575830966
Cosmos2.5_0016,88,92,"88,89,90,91,92",A,0.5608472228050232,0.0017850537551566958,0.43678826093673706,0.0005795221077278256,43.82603099220432
Cosmos3_seed101_0003,0,5,"0,1,2,3,4,5",A,0.9999759197235107,2.1444891899591312e-05,1.7603039168534451e-06,8.315087143273558e-07,0.0013314258580976457
Cosmos3_seed101_0003,4,9,"4,5,6,7,8,9",A,0.9997774958610535,0.00020342310017440468,1.3004403626837302e-05,6.142845450085588e-06,0.012085879916412523
Cosmos3_seed101_0003,8,13,"8,9,10,11,12,13",A,0.9999127388000488,7.484530215151608e-05,1.0129208931175526e-05,2.2601323053095257e-06,0.004981199231224309
Cosmos3_seed101_0003,12,17,"12,13,14,15,16,17",A,0.999818742275238,0.0001584325946168974,1.6698671970516443e-05,6.1430987443600316e-06,0.010205806802332518
Cosmos3_seed101_0003,16,21,"16,17,18,19,20,21",A,0.9994757771492004,0.0004305167240090668,7.481259672204033e-05,1.8915585314971395e-05,0.030898654404154513
Cosmos3_seed101_0003,20,25,"20,21,22,23,24,25",A,0.9994028806686401,0.0005527540924958885,3.5336390283191577e-05,8.934438483265694e-06,0.03206478750144015
Cosmos3_seed101_0003,24,29,"24,25,26,27,28,29",A,0.999414324760437,0.000552760437130928,2.7520323783392087e-05,5.419072294898797e-06,0.03093196146437549
Cosmos3_seed101_0003,28,33,"28,29,30,31,32,33",A,0.9990366697311401,0.0009110035025514662,4.5356195187196136e-05,6.9555976551782805e-06,0.05078135441181075
Cosmos3_seed101_0003,32,37,"32,33,34,35,36,37",A,0.9973594546318054,0.0024722071830183268,0.00012308394070714712,4.5280052290763706e-05,0.14044675845070742
Cosmos3_seed101_0003,36,41,"36,37,38,39,40,41",A,0.9987157583236694,0.001169375842437148,9.598822362022474e-05,1.8901200746768154e-05,0.0699577345585567
Cosmos3_seed101_0003,40,45,"40,41,42,43,44,45",A,0.9987232089042664,0.001169384690001607,9.598894394002855e-05,1.1464244380476885e-05,0.06921455333213089
Cosmos3_seed101_0003,44,49,"44,45,46,47,48,49",A,0.9990053772926331,0.0009109749807976186,7.477738836314529e-05,8.930884177971166e-06,0.05391957629399258
Cosmos3_seed101_0003,48,53,"48,49,50,51,52,53",A,0.9987180233001709,0.0011693785199895501,9.598843462299556e-05,1.668028926360421e-05,0.06973579838813748
Cosmos3_seed101_0003,52,57,"52,53,54,55,56,57",A,0.9983568787574768,0.0015009688213467598,0.00012320702080614865,1.8894410459324718e-05,0.08925858419388533
Cosmos3_seed101_0003,56,61,"56,57,58,59,60,61",A,0.9983841180801392,0.0015010097995400429,9.5956347649917e-05,1.889492523332592e-05,0.08653561726532644
Cosmos3_seed101_0003,60,65,"60,61,62,63,64,65",A,0.9973299503326416,0.002472133841365576,0.00015803822316229343,3.995831866632216e-05,0.14340634625114035
Cosmos3_seed101_0003,64,69,"64,65,66,67,68,69",A,0.9978253841400146,0.0019262561108916998,0.0002030259056482464,4.530120349954814e-05,0.12114551645936444
Cosmos3_seed101_0003,68,73,"68,69,70,71,72,73",A,0.9978880286216736,0.001926377066411078,0.00015812665515113622,2.7478294214233756e-05,0.1148793482570909
Cosmos3_seed101_0003,72,77,"72,73,74,75,76,77",A,0.9987428784370422,0.0011694076238200068,7.475773600162938e-05,1.2990945833735168e-05,0.0672452493745368
Cosmos3_seed101_0003,76,81,"76,77,78,79,80,81",A,0.9982662796974182,0.0015008326154202223,0.00015818659448996186,7.472206198144704e-05,0.098332496418152
Cosmos3_seed101_0003,80,85,"80,81,82,83,84,85",A,0.9993025064468384,0.0005526986205950379,0.00012332372716628015,2.143045094271656e-05,0.04211034884065157
Cosmos3_seed101_0003,84,89,"84,85,86,87,88,89",A,0.9980415105819702,0.0015004947781562805,0.0003348056343384087,0.000123168108984828,0.1208221132401377
Cosmos3_seed101_0003,88,93,"88,89,90,91,92,93",A,0.9981426000595093,0.0015006467001512647,0.00026077328948304057,9.593313734512776e-05,0.11070297769038007
Cosmos3_seed101_0003,92,97,"92,93,94,95,96,97",A,0.99891197681427,0.0009108898229897022,0.0001582889090059325,1.8904915123130195e-05,0.06326387356239138
Cosmos3_seed101_0003,96,101,"96,97,98,99,100,101",A,0.9966637492179871,0.0024704826064407825,0.0007078050985001028,0.00015793266356922686,0.2100979065289721
Cosmos3_seed101_0003,100,105,"100,101,102,103,104,105",A,0.9977731108665466,0.0019261552952229977,0.0002606767520774156,3.9976072002900764e-05,0.12637304716918152
Cosmos3_seed101_0003,104,109,"104,105,106,107,108,109",A,0.9981293082237244,0.0015006266767159104,0.0003348350874148309,3.5291359381517395e-05,0.11204397851543035
Cosmos3_seed101_0003,108,113,"108,109,110,111,112,113",A,0.9961826205253601,0.0031706311274319887,0.0005509730544872582,9.574476280249655e-05,0.2232033381005749
Cosmos3_seed101_0003,112,117,"112,113,114,115,116,117",A,0.9978306889533997,0.0019262664718553424,0.0002030269824899733,3.997837848146446e-05,0.1206138596899109
Cosmos3_seed101_0003,116,121,"116,117,118,119,120,121",A,0.9986535310745239,0.0011693030828610063,0.00015824795991647989,1.890002386062406e-05,0.07617995252076071
Cosmos3_seed101_0003,120,125,"120,121,122,123,124,125",A,0.9982506632804871,0.001500809215940535,0.0002031124458881095,4.532051389105618e-05,0.09988375677494332
Cosmos3_seed101_0003,124,129,"124,125,126,127,128,129",A,0.9989510774612427,0.0009109255042858422,0.00012328036245889962,1.4723738786415197e-05,0.05934668533882359
Cosmos3_seed101_0003,128,133,"128,129,130,131,132,133",A,0.9986557960510254,0.0011693057604134083,0.0001582483237143606,1.6679250620654784e-05,0.07595804545417195
Cosmos3_seed101_0003,132,137,"132,133,134,135,136,137",A,0.9992380142211914,0.000709633226506412,4.536533742793836e-05,6.9569996412610635e-06,0.040713895032240544
Cosmos3_seed101_0003,136,141,"136,137,138,139,140,141",A,0.9995573163032532,0.0004305518523324281,1.0125609151145909e-05,1.9938509012717986e-06,0.022739538621863176
Cosmos3_seed101_0003,140,145,"140,141,142,143,144,145",A,0.9987789988517761,0.00116944988258183,4.5344499085331336e-05,6.1367104535747785e-06,0.06362061508298211
Cosmos3_seed101_0003,144,149,"144,145,146,147,148,149",A,0.9981245398521423,0.001500619575381279,0.0003348334867041558,3.9990154618863016e-05,0.11251334290136583
Cosmos3_seed101_0003,148,153,"148,149,150,151,152,153",A,0.9993433356285095,0.0005527212051674724,9.604854130884632e-05,7.884143997216597e-06,0.03802932878897991
Cosmos3_seed101_0003,152,157,"152,153,154,155,156,157",A,0.9993109703063965,0.000552703277207911,0.0001233247749041766,1.2998335478187073e-05,0.04126747489863192
Cosmos3_seed101_0003,156,161,"156,157,158,159,160,161",A,0.9993109703063965,0.000552703277207911,0.0001233247749041766,1.2998335478187073e-05,0.04126747489863192
Cosmos3_seed101_0003,160,165,"160,161,162,163,164,165",A,0.9982378482818604,0.0015007898909971118,0.0002031098265433684,5.8191941207041964e-05,0.10116967132489663
Cosmos3_seed101_0003,164,169,"164,165,166,167,168,169",A,0.9968197345733643,0.0024708693381398916,0.0005513254436664283,0.00015795737272128463,0.19447174854576588
Cosmos3_seed101_0003,168,173,"168,169,170,171,172,173",A,0.998430073261261,0.0011690413812175393,0.0003349359903950244,6.595280137844384e-05,0.09854094823822379
Cosmos3_seed101_0003,172,177,"172,173,174,175,176,177",A,0.9982001781463623,0.001500733313150704,0.00020310217223595828,9.593867434887215e-05,0.10494075031601824
Cosmos3_seed101_0003,176,181,"176,177,178,179,180,181",A,0.999380350112915,0.000552741636056453,4.537179847829975e-05,2.1432120774989016e-05,0.034317473728151526
Cosmos3_seed101_0003,180,185,"180,181,182,183,184,185",A,0.9983929991722107,0.001501023187302053,7.473154983017594e-05,3.1152743758866563e-05,0.0856395887240069
Cosmos3_seed101_0003,184,188,"184,185,186,187,188",A,0.9992522597312927,0.000709643354639411,1.6689213225618005e-05,2.1429374100989662e-05,0.039294026464631315
LVP_0004,0,5,"0,1,2,3,4,5",A,0.9997785687446594,0.0002034233184531331,1.669800258241594e-05,1.3706555819226196e-06,0.011978031739090511
LVP_0004,4,9,"4,5,6,7,8,9",A,0.9997089505195618,0.0002611825184430927,2.75284364761319e-05,2.2596716462430777e-06,0.016037936734392133
LVP_0004,8,13,"8,9,10,11,12,13",A,0.9997010827064514,0.0002611804520711303,3.534693314577453e-05,2.259653911096393e-06,0.016819681309243606
LVP_0004,12,17,"12,13,14,15,16,17",A,0.9992417097091675,0.0007096358458511531,4.536550477496348e-05,3.286266064606025e-06,0.04034696937651461
LVP_0004,16,21,"16,17,18,19,20,21",A,0.999417781829834,0.0005527623579837382,2.752041837084107e-05,1.9935723685193807e-06,0.030589516973122954
LVP_0004,20,25,"20,21,22,23,24,25",A,0.9994174242019653,0.0005527621251530945,2.7520409275894053e-05,2.2590124899579678e-06,0.03061604843423993
LVP_0004,24,29,"24,25,26,27,28,29",A,0.999259889125824,0.0007096487679518759,2.7516070986166596e-05,2.9001726034039166e-06,0.03852406275655085
LVP_0004,28,33,"28,29,30,31,32,33",A,0.9995211362838745,0.00043053628178313375,4.537819040706381e-05,2.9009306672378443e-06,0.026354726196586853
LVP_0004,32,37,"32,33,34,35,36,37",A,0.999828577041626,0.0001233886432601139,4.539214933174662e-05,2.5608496798668057e-06,0.010964732064167038
