case,start,end,frames,pred,pA,pB,pC_dup,pD_disappear,violation_score
Cosmos2.5_0016,0,5,"0,1,2,3,4,5",A,0.9999487400054932,3.53556897607632e-05,1.3006630979361944e-05,2.902171900132089e-06,0.003358664775987563
Cosmos2.5_0016,4,9,"4,5,6,7,8,9",A,0.9998409748077393,9.609637345420197e-05,3.535188079695217e-05,2.753207263594959e-05,0.011093214016000275
Cosmos2.5_0016,8,13,"8,9,10,11,12,13",A,0.9989640712738037,0.00020325758669059724,0.00012328196316957474,0.0007094386965036392,0.09343494530185126
Cosmos2.5_0016,12,17,"12,13,14,15,16,17",A,0.9983072280883789,9.5948955276981e-05,9.5948955276981e-05,0.0015008941991254687,0.16448176320409402
Cosmos2.5_0016,16,21,"16,17,18,19,20,21",A,0.9927756786346436,0.00020199845312163234,0.0003330391482450068,0.006689270026981831,0.7123308401787654
Cosmos2.5_0016,20,25,"20,21,22,23,24,25",A,0.9961695075035095,0.0011663945624604821,0.0014976802049204707,0.0011663945624604821,0.3247272048611194
Cosmos2.5_0016,24,29,"24,25,26,27,28,29",A,0.9982131719589233,0.0005520961130969226,0.001168787362985313,6.593847501790151e-05,0.15107738945516758
Cosmos2.5_0016,28,33,"28,29,30,31,32,33",A,0.9753410816192627,0.0014663658803328872,0.022937823086977005,0.00025481617194600403,2.3925822199089453
Cosmos2.5_0016,32,37,"32,33,34,35,36,37",C,0.029266150668263435,0.0006882738671265543,0.9691618084907532,0.0008837611530907452,97.03897065774072
Cosmos2.5_0016,36,41,"36,37,38,39,40,41",C,0.006685975007712841,0.00022878147137816995,0.9922866821289062,0.0007985258707776666,99.3199598735373
Cosmos2.5_0016,40,45,"40,41,42,43,44,45",C,0.02926919050514698,0.000688345346134156,0.9692624807357788,0.0007799974991939962,97.03866509080399
Cosmos2.5_0016,44,49,"44,45,46,47,48,49",C,0.022947397083044052,0.0006929513183422387,0.9757481217384338,0.000611527357250452,97.67061247548554
Cosmos2.5_0016,48,53,"48,49,50,51,52,53",C,0.017962627112865448,0.000614647229667753,0.9807261824607849,0.000696486618835479,98.17299926944543
Cosmos2.5_0016,52,57,"52,53,54,55,56,57",C,0.1817554086446762,0.002592601580545306,0.8145712018013,0.0010807571234181523,81.69482597149909
Cosmos2.5_0016,56,61,"56,57,58,59,60,61",C,0.0756182074546814,0.0017783698858693242,0.9212183952331543,0.0013849957613274455,92.34925759374164
Cosmos2.5_0016,60,65,"60,61,62,63,64,65",C,0.37531039118766785,0.004169322084635496,0.6187822222709656,0.0017380320932716131,62.260491540655494
Cosmos2.5_0016,64,69,"64,65,66,67,68,69",C,0.0599752776324749,0.001098485547117889,0.9381712079048157,0.0007549773436039686,93.94754280219786
Cosmos2.5_0016,68,73,"68,69,70,71,72,73",C,0.07563401758670807,0.00156973407138139,0.9214109182357788,0.001385285286232829,92.35810705577023
Cosmos2.5_0016,72,77,"72,73,74,75,76,77",C,0.22170230746269226,0.003162413602694869,0.7738170623779297,0.0013182902475818992,77.6716559426859
Cosmos2.5_0016,76,81,"76,77,78,79,80,81",C,0.4361192584037781,0.002938548568636179,0.5599882006645203,0.0009540071478113532,56.24114820966497
Cosmos2.5_0016,80,85,"80,81,82,83,84,85",C,0.4365966022014618,0.002291048876941204,0.5606011748313904,0.0005112020880915225,56.22579013579525
Cosmos2.5_0016,84,89,"84,85,86,87,88,89",A,0.5610527396202087,0.0017857078928500414,0.436948299407959,0.00021327240392565727,43.805442575830966
Cosmos2.5_0016,88,92,"88,89,90,91,92",A,0.5608472228050232,0.0017850537551566958,0.43678826093673706,0.0005795221077278256,43.82603099220432
Cosmos2.5_0058,0,5,"0,1,2,3,4,5",A,0.9995125532150269,0.00043053258559666574,4.537780114333145e-05,1.1473304766695946e-05,0.027211739870836027
Cosmos2.5_0058,4,9,"4,5,6,7,8,9",A,0.9996390342712402,0.00033534152316860855,2.1437666873680428e-05,4.221326889819466e-06,0.019332975534780417
Cosmos2.5_0058,8,13,"8,9,10,11,12,13",A,0.999139666557312,0.0007095634355209768,0.00012330363097134978,2.7512760425452143e-05,0.05055981091572903
Cosmos2.5_0058,12,17,"12,13,14,15,16,17",A,0.99985671043396,9.60978795774281e-05,4.539342626230791e-05,1.7600941646378487e-06,0.009520246021565981
Cosmos2.5_0058,16,21,"16,17,18,19,20,21",A,0.99988853931427,7.484349043807015e-05,3.535356154316105e-05,1.209732317875023e-06,0.007398503908007115
Cosmos2.5_0058,20,25,"20,21,22,23,24,25",A,0.9995285272598267,0.0002611353702377528,0.00020337244495749474,6.959021902730456e-06,0.03408991519791016
Cosmos2.5_0058,24,29,"24,25,26,27,28,29",A,0.9995830655097961,0.00020338353351689875,0.00020338353351689875,1.0125869266630616e-05,0.031520116954197874
Cosmos2.5_0058,28,33,"28,29,30,31,32,33",A,0.9991990923881531,0.0004303975438233465,0.00033519393764436245,3.532918344717473e-05,0.05857218930032104
Cosmos2.5_0058,32,37,"32,33,34,35,36,37",A,0.9989243149757385,0.00033510179491713643,0.0007094104657880962,3.116932202829048e-05,0.09081306852749549
Cosmos2.5_0058,36,41,"36,37,38,39,40,41",A,0.9969262480735779,0.0005513842916116118,0.0024711331352591515,5.128673365106806e-05,0.27981120147160254
Cosmos2.5_0058,40,45,"40,41,42,43,44,45",A,0.9960711002349854,0.0007073841989040375,0.0031702760607004166,5.12427395733539e-05,0.3575210899725789
Cosmos2.5_0058,44,49,"44,45,46,47,48,49",A,0.9958266615867615,0.0009080764139071107,0.003169498173519969,9.571055124979466e-05,0.3719246931723319
Cosmos2.5_0058,48,53,"48,49,50,51,52,53",A,0.9819720387458801,0.0031254019122570753,0.014007078483700752,0.0008954426157288253,1.6465222055558115
Cosmos2.5_0058,52,57,"52,53,54,55,56,57",A,0.9666028618812561,0.003076485125347972,0.02918887883424759,0.0011317755561321974,3.1858896953053772
Cosmos2.5_0058,56,61,"56,57,58,59,60,61",A,0.993421733379364,0.0011631771922111511,0.005212998948991299,0.00020212990057189018,0.5996717445668764
Cosmos2.5_0058,60,65,"60,61,62,63,64,65",A,0.9802435636520386,0.0014737366000190377,0.017953788861632347,0.0003288350999355316,1.9019492261577398
Cosmos2.5_0058,64,69,"64,65,66,67,68,69",A,0.9357914924621582,0.0029784191865473986,0.05982314795255661,0.001406905590556562,6.271926313638687
Cosmos2.5_0058,68,73,"68,69,70,71,72,73",A,0.9466536045074463,0.0038687570486217737,0.04713110625743866,0.002346519846469164,5.141200462821871
Cosmos2.5_0058,72,77,"72,73,74,75,76,77",A,0.9739879965782166,0.002414274960756302,0.022906003519892693,0.000691701308824122,2.4804842309094965
Cosmos2.5_0058,76,81,"76,77,78,79,80,81",A,0.9967633485794067,0.0007078758208081126,0.0024707294069230556,5.8105983043788e-05,0.28827733003709
Cosmos2.5_0058,80,85,"80,81,82,83,84,85",A,0.9978029131889343,0.00026068452280014753,0.0019262128043919802,1.0107836715178564e-05,0.20666629025072325
Cosmos2.5_0058,84,89,"84,85,86,87,88,89",A,0.9986196756362915,0.00020318751921877265,0.0011692633852362633,7.878435098973569e-06,0.12787355799446232
Cosmos2.5_0058,88,92,"88,89,90,91,92",A,0.9994552731513977,0.00020335752924438566,0.0003352798812557012,6.140865480119828e-06,0.044309951135801384
Cosmos2.5_0060,0,5,"0,1,2,3,4,5",A,0.9996777772903442,0.00015841025742702186,0.00015841025742702186,5.420501111075282e-06,0.024303588725160807
Cosmos2.5_0060,4,9,"4,5,6,7,8,9",A,0.9992214441299438,0.0003352014464326203,0.0004304071771912277,1.2997170415474102e-05,0.06110050708230119
Cosmos2.5_0060,8,13,"8,9,10,11,12,13",A,0.9998063445091248,9.609304106561467e-05,9.609304106561467e-05,1.5531993540207623e-06,0.014569276095244277
Cosmos2.5_0060,12,17,"12,13,14,15,16,17",A,0.9996397495269775,9.607702668290585e-05,0.0002611644158605486,2.901275138356141e-06,0.03121042043403577
Cosmos2.5_0060,16,21,"16,17,18,19,20,21",A,0.9930047392845154,0.0002594309626147151,0.0066908132284879684,4.508234633249231e-05,0.6865611056127818
Cosmos2.5_0060,20,25,"20,21,22,23,24,25",A,0.9162381291389465,0.0048079765401780605,0.07520940154790878,0.0037444557528942823,8.13578455708921
Cosmos2.5_0060,24,29,"24,25,26,27,28,29",A,0.9751253128051758,0.0014660415472462773,0.0229327492415905,0.00047595406067557633,2.4141724075889215
Cosmos2.5_0060,28,33,"28,29,30,31,32,33",A,0.9886347055435181,0.00033164999331347644,0.010982740670442581,5.086017699795775e-05,1.1199425844097277
Cosmos2.5_0060,32,37,"32,33,34,35,36,37",A,0.9881823658943176,0.0007017818279564381,0.010977715253829956,0.0001381890324410051,1.146679520024918
Cosmos2.5_0060,36,41,"36,37,38,39,40,41",A,0.9519289135932922,0.0005264970241114497,0.04739375039935112,0.00015084391634445637,4.78078428277513
Cosmos2.5_0060,40,45,"40,41,42,43,44,45",A,0.9618492126464844,0.0006830806378275156,0.037294939160346985,0.0001727098278934136,3.7809189307154156
Cosmos2.5_0060,44,49,"44,45,46,47,48,49",A,0.9228190779685974,0.0010805099736899137,0.07574959844350815,0.00035079027293249965,7.6640643703285605
Cosmos2.5_0060,48,53,"48,49,50,51,52,53",A,0.9759333729743958,0.0008899360545910895,0.022951753810048103,0.0002250110701425001,2.362173290748615
Cosmos2.5_0060,52,57,"52,53,54,55,56,57",A,0.9491299390792847,0.003020872827619314,0.047254398465156555,0.0005948450416326523,4.9359679920598865
Cosmos2.5_0060,56,61,"56,57,58,59,60,61",A,0.8467745780944824,0.004443465266376734,0.14714734256267548,0.0016346594784408808,15.100373467430472
Cosmos2.5_0060,60,65,"60,61,62,63,64,65",A,0.9814085364341736,0.0005428016884252429,0.017975125461816788,7.346022903220728e-05,1.8319986535061616
Cosmos2.5_0060,64,69,"64,65,66,67,68,69",A,0.9690278768539429,0.0014568744227290154,0.029262106865644455,0.00025316679966636,3.0243710876675323
Cosmos2.5_0060,68,73,"68,69,70,71,72,73",A,0.9193921089172363,0.0037573454901576042,0.07546830177307129,0.0013822501059621572,7.872922462411225
Cosmos2.5_0060,72,77,"72,73,74,75,76,77",A,0.8482576012611389,0.002699818229302764,0.14740505814552307,0.0016375224804505706,15.039248974062502
Cosmos2.5_0060,76,81,"76,77,78,79,80,81",A,0.9185683727264404,0.003753978991881013,0.07540068030357361,0.002276903484016657,7.955457328353077
Cosmos2.5_0060,80,85,"80,81,82,83,84,85",A,0.8148465156555176,0.0025934779550880194,0.18181684613227844,0.0007430438417941332,18.38566289516166
Cosmos2.5_0060,84,89,"84,85,86,87,88,89",A,0.7741361856460571,0.0031637176871299744,0.2217937409877777,0.0009064202895388007,22.42820201208815
Cosmos2.5_0060,88,92,"88,89,90,91,92",A,0.9515108466148376,0.0008676655706949532,0.047372933477163315,0.00024859033874236047,4.805535660125315
Cosmos2.5_0064,0,5,"0,1,2,3,4,5",A,0.99587482213974,4.521264781942591e-05,1.0088304406963289e-05,0.00406991271302104,0.4102607341337716
Cosmos2.5_0064,4,9,"4,5,6,7,8,9",A,0.9703711271286011,0.0002535177336540073,7.263405859703198e-05,0.029302669689059258,2.9502062614483293
Cosmos2.5_0064,8,13,"8,9,10,11,12,13",A,0.6212964653968811,0.0009340813849121332,0.0009340813849121332,0.37683534622192383,37.8236468299292
Cosmos2.5_0064,12,17,"12,13,14,15,16,17",A,0.6215826272964478,0.00020851774024777114,0.0011999367270618677,0.37700891494750977,37.83131105446955
Cosmos2.5_0064,16,21,"16,17,18,19,20,21",D,0.3765043020248413,0.00020823863451369107,0.002536865882575512,0.6207506060600281,62.33915912598604
Cosmos2.5_0064,20,25,"20,21,22,23,24,25",A,0.8797670006752014,0.00013940903590992093,0.0010301012080162764,0.11906351149082184,12.016331721679308
Cosmos2.5_0064,24,29,"24,25,26,27,28,29",A,0.72870272397995,0.0002444525307510048,0.002978041535243392,0.26807478070259094,27.117504850320984
Cosmos2.5_0064,28,33,"28,29,30,31,32,33",A,0.6739402413368225,0.00022608177096117288,0.007486800663173199,0.31834685802459717,32.594669957325095
Cosmos2.5_0064,32,37,"32,33,34,35,36,37",A,0.7716842889785767,0.0005480304243974388,0.006676377262920141,0.22109125554561615,22.8041648020735
Cosmos2.5_0064,36,41,"36,37,38,39,40,41",A,0.7701041102409363,0.0007022440549917519,0.008555084466934204,0.22063852846622467,22.954473496065475
Cosmos2.5_0064,40,45,"40,41,42,43,44,45",A,0.6072351932525635,0.0009129411773756146,0.02354506216943264,0.3683067560195923,39.23082887777127
Cosmos2.5_0064,44,49,"44,45,46,47,48,49",A,0.6650108695030212,0.0007786476635374129,0.020081588998436928,0.31412890553474426,33.45998183649499
Cosmos2.5_0064,48,53,"48,49,50,51,52,53",A,0.7140023708343506,0.0017698350129649043,0.021561002358794212,0.26266682147979736,28.511274134507403
