case,best_violation_score,best_violation_pred,best_violation_frames,max_dup_score,max_dup_frames,max_disappear_score,max_disappear_frames
Cosmos2.5_0016,99.3199598735373,C,"36,37,38,39,40,41",99.22866821289062,"36,37,38,39,40,41",0.6689270026981831,"16,17,18,19,20,21"
Cosmos2.5_0058,6.271926313638687,A,"64,65,66,67,68,69",5.982314795255661,"64,65,66,67,68,69",0.2346519846469164,"68,69,70,71,72,73"
Cosmos2.5_0060,22.42820201208815,A,"84,85,86,87,88,89",22.17937409877777,"84,85,86,87,88,89",0.37444557528942823,"20,21,22,23,24,25"
Cosmos2.5_0064,62.33915912598604,D,"16,17,18,19,20,21",44.61406171321869,"80,81,82,83,84,85",62.07506060600281,"16,17,18,19,20,21"
Cosmos3_seed101_0003,0.2232033381005749,A,"108,109,110,111,112,113",0.07078050985001028,"96,97,98,99,100,101",0.015795737272128463,"164,165,166,167,168,169"
Cosmos3_seed101_0010,99.99540374457183,C,"76,77,78,79,80,81",99.99512434005737,"76,77,78,79,80,81",11.3495834171772,"148,149,150,151,152,153"
Cosmos3_seed101_0012,98.87526851089206,C,"92,93,94,95,96,97",98.7860381603241,"92,93,94,95,96,97",4.372616112232208,"124,125,126,127,128,129"
Cosmos3_seed101_0017,92.41139704463421,C,"144,145,146,147,148,149",92.40595698356628,"144,145,146,147,148,149",6.105872988700867,"160,161,162,163,164,165"
Cosmos3_seed101_0020,99.9999438183691,C,"184,185,186,187,188",99.9998927116394,"184,185,186,187,188",0.09110267274081707,"16,17,18,19,20,21"
Cosmos3_seed101_0027,9.92715829052031,A,"180,181,182,183,184,185",9.468763321638107,"180,181,182,183,184,185",0.22268397733569145,"180,181,182,183,184,185"
Cosmos3_seed101_0036,99.99999230995658,C,"132,133,134,135,136,137",99.99998807907104,"132,133,134,135,136,137",0.6234826054424047,"168,169,170,171,172,173"
Cosmos3_seed101_0054,0.7192500634118915,A,"132,133,134,135,136,137",0.4046760033816099,"132,133,134,135,136,137",0.11611850932240486,"184,185,186,187,188"
Cosmos3_seed101_0055,0.6144679966382682,A,"48,49,50,51,52,53",0.14877652283757925,"48,49,50,51,52,53",0.03761659609153867,"48,49,50,51,52,53"
Cosmos3_seed101_0065,99.99951592258185,C,"180,181,182,183,184,185",99.99849796295166,"180,181,182,183,184,185",1.3639693148434162,"144,145,146,147,148,149"
LVP_0004,0.5075651512015611,A,"40,41,42,43,44,45",0.31642476096749306,"40,41,42,43,44,45",0.11640615994110703,"40,41,42,43,44,45"
LVP_0030,99.99414296034672,C,"44,45,46,47,48",99.99388456344604,"44,45,46,47,48",0.027335420600138605,"40,41,42,43,44,45"
LVP_0053,6.819871533662081,A,"20,21,22,23,24,25",3.570994734764099,"20,21,22,23,24,25",2.1659178659319878,"20,21,22,23,24,25"
LVP_0054,0.04561145724437665,A,"40,41,42,43,44,45",0.01584087876835838,"20,21,22,23,24,25",0.0021429699700092897,"40,41,42,43,44,45"
LVP_0055,0.064323958940804,A,"40,41,42,43,44,45",0.02609977964311838,"40,41,42,43,44,45",0.0027508969651535153,"40,41,42,43,44,45"
LVP_0056,0.06371585113811307,A,"28,29,30,31,32,33",0.026099939714185894,"28,29,30,31,32,33",0.0021424137230496854,"28,29,30,31,32,33"
