case,max_loss_score,max_loss_pred,max_loss_center,max_loss_before,max_loss_after
Cosmos2.5_0016,1.6013751737773418,A,14,"8,10,12","16,18,20"
Cosmos2.5_0058,0.16681029665051028,A,58,"52,54,56","60,62,64"
Cosmos2.5_0060,0.2602251333883032,A,74,"68,70,72","76,78,80"
Cosmos2.5_0064,99.89587084855884,C,14,"8,10,12","16,18,20"
Cosmos3_seed101_0003,24.36981350183487,A,118,"112,114,116","120,122,124"
Cosmos3_seed101_0010,93.53674347512424,C,94,"88,90,92","96,98,100"
Cosmos3_seed101_0012,87.4751421622932,C,70,"64,66,68","72,74,76"
Cosmos3_seed101_0017,67.45811365544796,C,154,"148,150,152","156,158,160"
Cosmos3_seed101_0020,95.12061476707458,C,138,"132,134,136","140,142,144"
Cosmos3_seed101_0027,0.0012522465112851933,A,14,"8,10,12","16,18,20"
Cosmos3_seed101_0036,22.323341871378943,A,126,"120,122,124","128,130,132"
Cosmos3_seed101_0054,0.042873399797827005,A,10,"4,6,8","12,14,16"
Cosmos3_seed101_0055,0.018756800818664487,A,6,"0,2,4","8,10,12"
Cosmos3_seed101_0065,38.3493522182107,A,14,"8,10,12","16,18,20"
LVP_0004,0.5188449285924435,A,14,"8,10,12","16,18,20"
LVP_0030,0.03833530172414612,A,42,"36,38,40","44,46,48"
LVP_0053,0.33859172981465235,A,42,"36,38,40","44,46,48"
LVP_0054,0.00046068010419730854,A,10,"4,6,8","12,14,16"
LVP_0055,0.003147999859720585,A,42,"36,38,40","44,46,48"
LVP_0056,0.0009019397680276597,A,22,"16,18,20","24,26,28"
