case,dataset,video_path,human_identity_gt,human_note
Cosmos2.5_0036,Cosmos2.5,/shared/ssd_30T/zhuoyingyang/physact/cosmos_predict25/native_outputs/robowm_68_full/0036.mp4,,
Cosmos2.5_0057,Cosmos2.5,/shared/ssd_30T/zhuoyingyang/physact/cosmos_predict25/native_outputs/robowm_68_full/0057.mp4,,
Cosmos2.5_0009,Cosmos2.5,/shared/ssd_30T/zhuoyingyang/physact/cosmos_predict25/native_outputs/robowm_68_full/0009.mp4,,
Cosmos2.5_0039,Cosmos2.5,/shared/ssd_30T/zhuoyingyang/physact/cosmos_predict25/native_outputs/robowm_68_full/0039.mp4,,
Cosmos2.5_0042,Cosmos2.5,/shared/ssd_30T/zhuoyingyang/physact/cosmos_predict25/native_outputs/robowm_68_full/0042.mp4,,
Cosmos2.5_0015,Cosmos2.5,/shared/ssd_30T/zhuoyingyang/physact/cosmos_predict25/native_outputs/robowm_68_full/0015.mp4,,
Cosmos2.5_0029,Cosmos2.5,/shared/ssd_30T/zhuoyingyang/physact/cosmos_predict25/native_outputs/robowm_68_full/0029.mp4,,
Cosmos2.5_0000,Cosmos2.5,/shared/ssd_30T/zhuoyingyang/physact/cosmos_predict25/native_outputs/robowm_68_full/0000.mp4,,
Cosmos3_seed101_0039,Cosmos3_seed101,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0039.mp4,,
Cosmos3_seed101_0049,Cosmos3_seed101,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0049.mp4,,
Cosmos3_seed101_0030,Cosmos3_seed101,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0030.mp4,,
Cosmos3_seed101_0002,Cosmos3_seed101,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0002.mp4,,
Cosmos3_seed101_0031,Cosmos3_seed101,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0031.mp4,,
Cosmos3_seed101_0040,Cosmos3_seed101,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0040.mp4,,
Cosmos3_seed101_0047,Cosmos3_seed101,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0047.mp4,,
Cosmos3_seed101_0021,Cosmos3_seed101,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0021.mp4,,
Cosmos3_seed101_0014,Cosmos3_seed101,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0014.mp4,,
Cosmos3_seed101_0019,Cosmos3_seed101,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0019.mp4,,
Cosmos3_seed101_0058,Cosmos3_seed101,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0058.mp4,,
Cosmos3_seed101_0063,Cosmos3_seed101,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0063.mp4,,
Cosmos3_seed101_0066,Cosmos3_seed101,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0066.mp4,,
Cosmos3_seed101_0018,Cosmos3_seed101,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0018.mp4,,
Cosmos3_seed101_0004,Cosmos3_seed101,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0004.mp4,,
Cosmos3_seed101_0043,Cosmos3_seed101,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0043.mp4,,
Cosmos3_seed101_0053,Cosmos3_seed101,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0053.mp4,,
Cosmos3_seed101_0035,Cosmos3_seed101,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0035.mp4,,
Cosmos3_seed101_0015,Cosmos3_seed101,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0015.mp4,,
Cosmos3_seed101_0033,Cosmos3_seed101,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0033.mp4,,
LVP_0062,LVP,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/videos/0062.mp4,,
