case,frame,gt,qwen_frame_score,best_pair,best_pred,best_pA,best_pB,best_pC
Cosmos2.5_0016,33,TRUE_DUP,99.99946925937024,1-2,C,4.78508991363924e-06,1.0676977808543597e-06,0.999994158744812
Cosmos2.5_0016,60,TRUE_DUP,99.9980934835321,1-2,C,1.670134224696085e-05,4.785014880326344e-06,0.9999785423278809
Cosmos3_seed101_0003,30,NO_DUP,4.74861513794167,1-2,A,0.9524472951889038,0.0001331917883362621,0.047419555485248566
Cosmos3_seed101_0003,54,NO_DUP,9.539463655164582,2-3,A,0.9045495390892029,0.00011163028102600947,0.09533882141113281
Cosmos3_seed101_0003,99,NO_DUP,18.25690573605243,1-3,A,0.8172048926353455,0.0004519832436926663,0.18234306573867798
Cosmos3_seed101_0003,123,NO_DUP,56.21170030499343,1-3,C,0.437404602766037,0.0009568187524564564,0.561638593673706
Cosmos3_seed101_0003,144,TRUE_DUP,3.7573098292341456,1-2,A,0.9621607065200806,0.0005321560311131179,0.0373070202767849
Cosmos3_seed101_0003,156,TRUE_DUP,9.542392421280965,1-3,A,0.9044840335845947,0.0001840338809415698,0.09533190727233887
Cosmos3_seed101_0003,162,TRUE_DUP,14.826001724577509,1-2,A,0.8514377474784851,0.0006046692724339664,0.1479576826095581
Cosmos3_seed101_0003,168,TRUE_DUP,6.0225309018278494,1-2,A,0.9396170377731323,0.00031520641641691327,0.06006770581007004
LVP_0004,12,NO_DUP,4.753847495885566,1-3,A,0.9523370862007141,0.00024880620185285807,0.04741407185792923
LVP_0004,15,NO_DUP,1.1427569057559595,2-3,A,0.9881219863891602,0.0009010505746118724,0.010977043770253658
LVP_0004,18,NO_DUP,18.30678089754656,1-3,A,0.8159209489822388,0.0020224659238010645,0.18205657601356506
LVP_0004,30,NO_DUP,32.105592475272715,1-3,A,0.6782893538475037,0.001309406477957964,0.32040122151374817
