case,frame,gt,rank_a,rank_b,old_source_sim_a,old_source_sim_b,qwen_pred,qwen_score,pA,pB,pC,crop_a,crop_b
Cosmos2.5_0016,33,TRUE_DUP,1,2,0.9407789707183838,0.8169512748718262,C,99.99946925937024,4.78508991363924e-06,1.0676977808543597e-06,0.999994158744812,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos2.5_0016/frame_0033_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos2.5_0016/frame_0033_rank_02.png
Cosmos2.5_0016,60,TRUE_DUP,1,2,0.9555574059486388,0.8881466388702393,C,99.9980934835321,1.670134224696085e-05,4.785014880326344e-06,0.9999785423278809,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos2.5_0016/frame_0060_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos2.5_0016/frame_0060_rank_02.png
Cosmos2.5_0016,60,TRUE_DUP,1,3,0.9555574059486388,0.8450977206230164,C,99.99625338577971,3.53561008523684e-05,4.222683855914511e-06,0.9999604225158691,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos2.5_0016/frame_0060_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos2.5_0016/frame_0060_rank_03.png
Cosmos2.5_0016,60,TRUE_DUP,2,3,0.8881466388702393,0.8450977206230164,A,26.90056274732342,0.730855405330658,0.00027781931567005813,0.26886671781539917,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos2.5_0016/frame_0060_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos2.5_0016/frame_0060_rank_03.png
Cosmos3_seed101_0003,144,TRUE_DUP,1,2,0.8270624876022339,0.7379939556121826,A,3.7573098292341456,0.9621607065200806,0.0005321560311131179,0.0373070202767849,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0144_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0144_rank_02.png
Cosmos3_seed101_0003,144,TRUE_DUP,1,3,0.8270624876022339,0.733513593673706,A,3.7476254219654948,0.9623622894287109,0.00032283656764775515,0.03731483593583107,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0144_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0144_rank_03.png
Cosmos3_seed101_0003,144,TRUE_DUP,2,3,0.7379939556121826,0.733513593673706,A,2.9465451909345575,0.9703717827796936,0.00032552346237935126,0.0293026901781559,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0144_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0144_rank_03.png
Cosmos3_seed101_0003,156,TRUE_DUP,1,2,0.8285282850265503,0.8283078670501709,A,2.303488083271077,0.9769048690795898,0.00012055963452439755,0.02297460101544857,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0156_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0156_rank_02.png
Cosmos3_seed101_0003,156,TRUE_DUP,1,3,0.8285282850265503,0.5838828086853027,A,9.542392421280965,0.9044840335845947,0.0001840338809415698,0.09533190727233887,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0156_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0156_rank_03.png
Cosmos3_seed101_0003,156,TRUE_DUP,2,3,0.8283078670501709,0.5838828086853027,A,4.763620020821691,0.9521315097808838,0.0004647308960556984,0.047403834760189056,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0156_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0156_rank_03.png
Cosmos3_seed101_0003,162,TRUE_DUP,1,2,0.83326256275177,0.8286688923835754,A,14.826001724577509,0.8514377474784851,0.0006046692724339664,0.1479576826095581,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0162_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0162_rank_02.png
Cosmos3_seed101_0003,162,TRUE_DUP,1,3,0.83326256275177,0.5857996940612793,A,0.5256964846921619,0.994705855846405,7.445555820595473e-05,0.005219737067818642,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0162_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0162_rank_03.png
Cosmos3_seed101_0003,162,TRUE_DUP,2,3,0.8286688923835754,0.5857996940612793,A,0.5267427575745387,0.9946848750114441,9.560080798109993e-05,0.005219627171754837,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0162_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0162_rank_03.png
Cosmos3_seed101_0003,168,TRUE_DUP,1,2,0.8233646750450134,0.7963961958885193,A,6.0225309018278494,0.9396170377731323,0.00031520641641691327,0.06006770581007004,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0168_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_identity_pilot/crops/Cosmos3_seed101_0003/frame_0168_rank_02.png
