case,frame,n_crops,n_pairs,n_distinct_pairs,frame_score,best_pair,best_containment,best_iou
Cosmos2.5_0058,0,1,0,0,0.0,,,
Cosmos2.5_0058,3,1,0,0,0.0,,,
Cosmos2.5_0058,6,1,0,0,0.0,,,
Cosmos2.5_0058,9,1,0,0,0.0,,,
Cosmos2.5_0058,12,1,0,0,0.0,,,
Cosmos2.5_0058,15,2,1,1,0.3202137053012848,1-2,0.0,0.0
Cosmos2.5_0058,18,2,1,1,0.35818129777908325,1-2,0.0,0.0
Cosmos2.5_0058,21,2,1,1,0.293891966342926,1-2,0.0,0.0
Cosmos2.5_0058,24,2,1,1,0.5355935096740723,1-2,0.0,0.0
Cosmos2.5_0058,27,2,1,1,0.6120738387107849,1-2,0.0,0.0
Cosmos2.5_0058,30,2,1,1,0.5706413984298706,1-2,0.0,0.0
Cosmos2.5_0058,33,2,1,1,0.5898227095603943,1-2,0.0,0.0
Cosmos2.5_0058,36,2,1,1,0.5941936373710632,1-2,0.0,0.0
Cosmos2.5_0058,39,3,3,1,0.4889046251773834,1-2,0.0,0.0
Cosmos2.5_0058,42,3,3,2,0.5019891262054443,1-2,0.0,0.0
Cosmos2.5_0058,45,3,3,2,0.5478748083114624,1-2,0.0,0.0
Cosmos2.5_0058,48,3,3,2,0.591279923915863,1-2,0.0,0.0
Cosmos2.5_0058,51,3,3,2,0.5646776556968689,1-2,0.0,0.0
Cosmos2.5_0058,54,3,3,2,0.5948339700698853,1-2,0.0,0.0
Cosmos2.5_0058,57,3,3,2,0.5532741546630859,1-2,0.0,0.0
Cosmos2.5_0058,60,3,3,2,0.552005410194397,1-2,0.0,0.0
Cosmos2.5_0058,63,3,3,2,0.502679705619812,1-2,0.0,0.0
Cosmos2.5_0058,66,3,3,2,0.5115256905555725,1-2,0.0,0.0
Cosmos2.5_0058,69,3,3,2,0.5634219646453857,1-2,0.0,0.0
Cosmos2.5_0058,72,3,3,2,0.5421697497367859,1-2,0.0,0.0
Cosmos2.5_0058,75,3,3,2,0.5564413070678711,1-2,0.0,0.0
Cosmos2.5_0058,78,3,3,2,0.5597051978111267,1-2,0.0,0.0
Cosmos2.5_0058,81,3,3,2,0.46127408742904663,1-2,0.0,0.0
Cosmos2.5_0058,84,3,3,2,0.6044607758522034,1-2,0.0,0.0
Cosmos2.5_0058,87,3,3,2,0.6373960375785828,1-2,0.0,0.0
Cosmos2.5_0058,90,3,3,2,0.5525942444801331,1-2,0.0,0.0
Cosmos2.5_0058,92,3,3,2,0.5619940161705017,1-2,0.0,0.0
Cosmos2.5_0060,0,1,0,0,0.0,,,
Cosmos2.5_0060,3,1,0,0,0.0,,,
Cosmos2.5_0060,6,2,1,1,0.5453292727470398,1-2,0.0,0.0
Cosmos2.5_0060,9,2,1,1,0.5677007436752319,1-2,0.0,0.0
Cosmos2.5_0060,12,2,1,1,0.6749167442321777,1-2,0.0,0.0
Cosmos2.5_0060,15,2,1,1,0.6480138897895813,1-2,0.0,0.0
Cosmos2.5_0060,18,2,1,1,0.6983115077018738,1-2,0.0,0.0
Cosmos2.5_0060,21,2,1,1,0.6802295446395874,1-2,0.0,0.0
Cosmos2.5_0060,24,2,1,1,0.655958890914917,1-2,0.0,0.0
Cosmos2.5_0060,27,2,1,1,0.7254334092140198,1-2,0.0,0.0
Cosmos2.5_0060,30,2,1,1,0.6630113124847412,1-2,0.0,0.0
Cosmos2.5_0060,33,3,3,2,0.6596873998641968,1-2,0.0,0.0
Cosmos2.5_0060,36,3,3,2,0.60459965467453,1-2,0.0,0.0
Cosmos2.5_0060,39,3,3,2,0.6117847561836243,1-2,0.0,0.0
Cosmos2.5_0060,42,3,3,2,0.5602625608444214,1-3,0.0,0.0
Cosmos2.5_0060,45,3,3,2,0.6055601835250854,1-3,0.0,0.0
Cosmos2.5_0060,48,3,3,2,0.5942495465278625,1-3,0.0,0.0
Cosmos2.5_0060,51,3,3,2,0.5564867854118347,1-3,0.0,0.0
Cosmos2.5_0060,54,3,3,2,0.5108333230018616,1-3,0.0,0.0
Cosmos2.5_0060,57,3,3,2,0.4991750717163086,1-3,0.0,0.0
Cosmos2.5_0060,60,3,3,2,0.5301798582077026,1-3,0.0,0.0
Cosmos2.5_0060,63,3,3,2,0.5695029497146606,1-3,0.0,0.0
Cosmos2.5_0060,66,3,3,2,0.5031800866127014,1-3,0.0,0.0
Cosmos2.5_0060,69,3,3,2,0.5170426368713379,1-3,0.0,0.0
Cosmos2.5_0060,72,3,3,2,0.4712449312210083,1-2,0.0,0.0
Cosmos2.5_0060,75,3,3,2,0.47949573397636414,1-3,0.0,0.0
Cosmos2.5_0060,78,3,3,2,0.4579198658466339,2-3,0.0,0.0
Cosmos2.5_0060,81,3,3,2,0.5086994767189026,1-3,0.0,0.0
Cosmos2.5_0060,84,3,3,2,0.4825931489467621,1-3,0.0,0.0
Cosmos2.5_0060,87,3,3,2,0.4955480992794037,1-3,0.0,0.0
Cosmos2.5_0060,90,3,3,2,0.503384530544281,1-3,0.0,0.0
Cosmos2.5_0060,92,3,3,2,0.4174918532371521,2-3,0.0,0.0
Cosmos3_seed101_0010,0,2,1,1,0.6769579648971558,1-2,0.0,0.0
Cosmos3_seed101_0010,3,2,1,1,0.6597524881362915,1-2,0.0,0.0
Cosmos3_seed101_0010,6,2,1,1,0.6620730757713318,1-2,0.0,0.0
Cosmos3_seed101_0010,9,2,1,1,0.6711921691894531,1-2,0.0,0.0
Cosmos3_seed101_0010,12,2,1,1,0.6313107013702393,1-2,0.0,0.0
Cosmos3_seed101_0010,15,2,1,1,0.6422126293182373,1-2,0.0,0.0
Cosmos3_seed101_0010,18,2,1,1,0.6558204889297485,1-2,0.0,0.0
Cosmos3_seed101_0010,21,2,1,1,0.6229061484336853,1-2,0.0,0.0
Cosmos3_seed101_0010,24,2,1,1,0.6265775561332703,1-2,0.0,0.0
Cosmos3_seed101_0010,27,2,1,1,0.6550332903862,1-2,0.0,0.0
Cosmos3_seed101_0010,30,2,1,1,0.6777582764625549,1-2,0.0,0.0
Cosmos3_seed101_0010,33,2,1,1,0.6861192584037781,1-2,0.0,0.0
Cosmos3_seed101_0010,36,2,1,1,0.6609539985656738,1-2,0.0,0.0
Cosmos3_seed101_0010,39,2,1,1,0.6714869141578674,1-2,0.0,0.0
Cosmos3_seed101_0010,42,2,1,1,0.6784253120422363,1-2,0.0,0.0
Cosmos3_seed101_0010,45,2,1,1,0.6703090667724609,1-2,0.0,0.0
Cosmos3_seed101_0010,48,2,1,1,0.6667760610580444,1-2,0.0,0.0
Cosmos3_seed101_0010,51,2,1,1,0.6941468715667725,1-2,0.0,0.0
Cosmos3_seed101_0010,54,2,1,1,0.6568631529808044,1-2,0.0,0.0
Cosmos3_seed101_0010,57,2,1,1,0.687995970249176,1-2,0.0,0.0
Cosmos3_seed101_0010,60,3,3,3,0.695614755153656,1-2,0.0,0.0
Cosmos3_seed101_0010,63,3,3,3,0.6805768013000488,1-2,0.0,0.0
Cosmos3_seed101_0010,66,3,3,3,0.7018935084342957,2-3,0.0,0.0
Cosmos3_seed101_0010,69,3,3,3,0.6968802809715271,1-2,0.0,0.0
