case,frame,rank_a,rank_b,pair_similarity,iou,containment,nested,gdino_a,gdino_b,siglip_source_a,siglip_source_b,sam_a,sam_b,crop_a,crop_b
Cosmos2.5_0058,15,1,2,0.3202137053012848,0.0,0.0,False,0.7501586079597473,0.1008836403489112,0.941791296005249,0.6894094944000244,0.9765625,0.96875,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0015_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0015_rank_02.png
Cosmos2.5_0058,18,1,2,0.35818129777908325,0.0,0.0,False,0.677425742149353,0.1662404537200927,0.9598249197006226,0.6821339130401611,0.9765625,0.96875,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0018_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0018_rank_02.png
Cosmos2.5_0058,21,1,2,0.293891966342926,0.0,0.0,False,0.6472281217575073,0.2198399752378463,0.9631750583648682,0.7821406126022339,0.9765625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0021_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0021_rank_02.png
Cosmos2.5_0058,24,1,2,0.5355935096740723,0.0,0.0,False,0.6335161924362183,0.2345937192440033,0.961132287979126,0.858683168888092,0.9765625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0024_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0024_rank_02.png
Cosmos2.5_0058,27,1,2,0.6120738387107849,0.0,0.0,False,0.5975310206413269,0.2604678273200989,0.9632647633552552,0.8597110509872437,0.9765625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0027_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0027_rank_02.png
Cosmos2.5_0058,30,1,2,0.5706413984298706,0.0,0.0,False,0.6122204661369324,0.2600313127040863,0.9552976489067078,0.8640377521514893,0.97265625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0030_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0030_rank_02.png
Cosmos2.5_0058,33,1,2,0.5898227095603943,0.0,0.0,False,0.6123799085617065,0.2327474951744079,0.950898051261902,0.7780967354774475,0.9765625,0.96875,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0033_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0033_rank_02.png
Cosmos2.5_0058,36,1,2,0.5941936373710632,0.0,0.0,False,0.6704424619674683,0.1570647805929184,0.9489369988441468,0.8099867105484009,0.9765625,0.96875,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0036_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0036_rank_02.png
Cosmos2.5_0058,39,1,2,0.4889046251773834,0.0,0.0,False,0.5624645948410034,0.3182624280452728,0.9621942043304444,0.8470611572265625,0.9765625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0039_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0039_rank_02.png
Cosmos2.5_0058,39,1,3,0.13809451460838318,0.012262900916355254,1.0,True,0.5624645948410034,0.1003346890211105,0.9621942043304444,0.5482431650161743,0.9765625,0.98828125,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0039_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0039_rank_03.png
