case,frame,n_crops,n_pairs,n_distinct_pairs,frame_score,best_pair,best_containment,best_iou
Cosmos2.5_0036,0,3,3,3,0.5720272660255432,2-3,0.07743611859654169,0.027001827737116728
Cosmos2.5_0036,3,3,3,3,0.32972222566604614,2-3,0.0,0.0
Cosmos2.5_0036,6,3,3,3,0.269420325756073,2-3,0.0,0.0
Cosmos2.5_0036,9,3,3,1,0.2018338292837143,1-2,0.0,0.0
Cosmos2.5_0036,12,3,3,1,0.15918755531311035,1-2,0.0,0.0
Cosmos2.5_0036,15,3,3,3,0.2598312199115753,2-3,0.0,0.0
Cosmos2.5_0036,18,3,3,1,0.050221413373947144,1-2,0.0,0.0
Cosmos2.5_0036,21,3,3,1,0.030303768813610077,1-2,0.0,0.0
Cosmos2.5_0036,24,3,3,2,0.19316823780536652,1-3,0.0,0.0
Cosmos2.5_0036,27,3,3,1,0.03296366333961487,1-2,0.0,0.0
Cosmos2.5_0036,30,3,3,3,0.42925769090652466,2-3,0.0,0.0
Cosmos2.5_0036,33,3,3,1,0.07163501530885696,1-3,0.0,0.0
Cosmos2.5_0036,36,3,3,2,0.26720720529556274,2-3,0.0,0.0
Cosmos2.5_0036,39,3,3,3,0.41300222277641296,2-3,0.0,0.0
Cosmos2.5_0036,42,3,3,1,0.08526492118835449,1-2,0.0,0.0
Cosmos2.5_0036,45,3,3,3,0.5103691816329956,2-3,0.0,0.0
Cosmos2.5_0036,48,3,3,1,0.1221863329410553,1-3,0.0,0.0
Cosmos2.5_0036,51,3,3,0,0.0,,,
Cosmos2.5_0036,54,3,3,0,0.0,,,
Cosmos2.5_0036,57,3,3,2,0.3014637529850006,2-3,0.0,0.0
Cosmos2.5_0036,60,3,3,0,0.0,,,
Cosmos2.5_0036,63,3,3,2,0.16259092092514038,1-3,0.0,0.0
Cosmos2.5_0036,66,3,3,0,0.0,,,
Cosmos2.5_0036,69,3,3,2,0.16184884309768677,1-3,0.0,0.0
Cosmos2.5_0036,72,3,3,1,0.11698129773139954,1-3,0.0,0.0
Cosmos2.5_0036,75,3,3,1,0.14479587972164154,1-3,0.0,0.0
Cosmos2.5_0036,78,3,3,2,0.17043785750865936,1-3,0.0,0.0
Cosmos2.5_0036,81,3,3,2,0.15686820447444916,2-3,0.0,0.0
Cosmos2.5_0036,84,3,3,0,0.0,,,
Cosmos2.5_0036,87,3,3,2,0.11774390190839767,1-3,0.0,0.0
Cosmos2.5_0036,90,3,3,2,0.2590674161911011,1-3,0.0,0.0
Cosmos2.5_0036,92,3,3,2,0.1634063571691513,2-3,0.8475065051628756,0.07839343675934754
Cosmos2.5_0057,0,3,3,3,0.6069058179855347,2-3,0.0,0.0
Cosmos2.5_0057,3,3,3,2,0.38258251547813416,1-2,0.0,0.0
Cosmos2.5_0057,6,3,3,3,0.3086158335208893,1-2,0.0,0.0
Cosmos2.5_0057,9,3,3,2,0.28637540340423584,1-3,0.0,0.0
Cosmos2.5_0057,12,3,3,2,0.27007463574409485,1-2,0.0,0.0
Cosmos2.5_0057,15,3,3,2,0.3155059814453125,1-2,0.0,0.0
Cosmos2.5_0057,18,3,3,3,0.47306305170059204,2-3,0.0,0.0
Cosmos2.5_0057,21,3,3,3,0.4196019470691681,2-3,0.0,0.0
Cosmos2.5_0057,24,3,3,3,0.42714741826057434,2-3,0.0,0.0
Cosmos2.5_0057,27,3,3,2,0.43461874127388,2-3,0.0,0.0
Cosmos2.5_0057,30,3,3,2,0.35359540581703186,2-3,0.0,0.0
Cosmos2.5_0057,33,3,3,3,0.5915255546569824,2-3,0.0,0.0
Cosmos2.5_0057,36,3,3,2,0.27511870861053467,2-3,0.0,0.0
Cosmos2.5_0057,39,3,3,2,0.37165406346321106,1-3,0.0,0.0
Cosmos2.5_0057,42,3,3,2,0.38497963547706604,2-3,0.0,0.0
Cosmos2.5_0057,45,3,3,3,0.4526140093803406,1-3,0.0,0.0
Cosmos2.5_0057,48,3,3,3,0.42016956210136414,1-2,0.0,0.0
Cosmos2.5_0057,51,3,3,3,0.4784708321094513,1-2,0.0,0.0
Cosmos2.5_0057,54,3,3,3,0.5464495420455933,2-3,0.0,0.0
Cosmos2.5_0057,57,3,3,2,0.5864885449409485,1-3,0.0,0.0
Cosmos2.5_0057,60,3,3,2,0.6517044901847839,2-3,0.0,0.0
Cosmos2.5_0057,63,3,3,2,0.6432172656059265,1-3,0.0,0.0
Cosmos2.5_0057,66,3,3,2,0.5627763867378235,1-2,0.0,0.0
Cosmos2.5_0057,69,3,3,2,0.5688475370407104,1-2,0.0,0.0
Cosmos2.5_0057,72,3,3,2,0.5993306636810303,1-2,0.0,0.0
Cosmos2.5_0057,75,3,3,2,0.699872612953186,1-2,0.0,0.0
Cosmos2.5_0057,78,3,3,2,0.6416063904762268,1-2,0.0,0.0
Cosmos2.5_0057,81,3,3,2,0.6513806581497192,1-3,0.0,0.0
Cosmos2.5_0057,84,3,3,2,0.5337362289428711,1-2,0.0,0.0
Cosmos2.5_0057,87,3,3,2,0.572774350643158,1-2,0.0,0.0
Cosmos2.5_0057,90,3,3,2,0.22893871366977692,1-2,0.0,0.0
Cosmos2.5_0057,92,3,3,2,0.21193021535873413,2-3,0.0,0.0
Cosmos3_seed101_0039,0,3,3,2,0.20526023209095,1-3,0.0,0.0
Cosmos3_seed101_0039,3,3,3,2,0.23491817712783813,1-2,0.0,0.0
Cosmos3_seed101_0039,6,3,3,2,0.2678459882736206,1-2,0.0,0.0
Cosmos3_seed101_0039,9,3,3,2,0.2882987856864929,1-2,0.0,0.0
Cosmos3_seed101_0039,12,3,3,2,0.2783217430114746,1-3,0.0,0.0
Cosmos3_seed101_0039,15,3,3,2,0.25126025080680847,1-2,0.0,0.0
Cosmos3_seed101_0039,18,3,3,2,0.2617623805999756,1-2,0.0,0.0
Cosmos3_seed101_0039,21,3,3,2,0.2575884759426117,1-3,0.0,0.0
Cosmos3_seed101_0039,24,3,3,2,0.2516272962093353,1-2,0.0,0.0
Cosmos3_seed101_0039,27,3,3,2,0.21580253541469574,1-2,0.0,0.0
Cosmos3_seed101_0039,30,3,3,2,0.27852317690849304,1-2,0.0,0.0
Cosmos3_seed101_0039,33,3,3,2,0.2812086343765259,1-2,0.0,0.0
Cosmos3_seed101_0039,36,3,3,3,0.29651838541030884,2-3,0.0,0.0
Cosmos3_seed101_0039,39,3,3,2,0.3078276813030243,1-2,0.0,0.0
Cosmos3_seed101_0039,42,3,3,3,0.3420473635196686,2-3,0.08831017664565055,0.019056628095427335
Cosmos3_seed101_0039,45,3,3,2,0.2550356686115265,1-2,0.0,0.0
Cosmos3_seed101_0039,48,3,3,3,0.26976367831230164,1-2,0.0,0.0
Cosmos3_seed101_0039,51,3,3,3,0.33211299777030945,2-3,0.0,0.0
Cosmos3_seed101_0039,54,3,3,3,0.3404901623725891,2-3,0.0,0.0
Cosmos3_seed101_0039,57,3,3,3,0.28692588210105896,2-3,0.0,0.0
Cosmos3_seed101_0039,60,3,3,3,0.3367559015750885,2-3,0.0,0.0
Cosmos3_seed101_0039,63,3,3,3,0.3508031368255615,2-3,0.09939801004891213,0.02418783540189096
Cosmos3_seed101_0039,66,3,3,2,0.21555249392986298,1-2,0.0,0.0
Cosmos3_seed101_0039,69,3,3,3,0.29061833024024963,2-3,0.0,0.0
Cosmos3_seed101_0039,72,3,3,3,0.26919519901275635,2-3,0.0,0.0
Cosmos3_seed101_0039,75,3,3,3,0.3158651888370514,2-3,0.0,0.0
Cosmos3_seed101_0039,78,3,3,2,0.24822713434696198,1-2,0.0,0.0
Cosmos3_seed101_0039,81,3,3,2,0.283338338136673,1-2,0.0,0.0
Cosmos3_seed101_0039,84,3,3,2,0.24327999353408813,1-2,0.0,0.0
Cosmos3_seed101_0039,87,3,3,2,0.2858947217464447,1-2,0.0,0.0
Cosmos3_seed101_0039,90,3,3,3,0.4018934369087219,2-3,0.08144481725893538,0.020141989665638113
Cosmos3_seed101_0039,93,3,3,2,0.3061671853065491,1-2,0.0,0.0
Cosmos3_seed101_0039,96,3,3,2,0.304523229598999,1-2,0.0,0.0
Cosmos3_seed101_0039,99,3,3,2,0.3003197908401489,1-2,0.0,0.0
Cosmos3_seed101_0039,102,3,3,3,0.2816668450832367,2-3,0.0,0.0
Cosmos3_seed101_0039,105,3,3,2,0.2968757450580597,1-2,0.0,0.0
Cosmos3_seed101_0039,108,3,3,2,0.30390337109565735,1-2,0.0,0.0
Cosmos3_seed101_0039,111,3,3,2,0.2900809347629547,1-2,0.0,0.0
Cosmos3_seed101_0039,114,3,3,2,0.28607556223869324,1-2,0.0,0.0
Cosmos3_seed101_0039,117,3,3,2,0.28696200251579285,1-2,0.0,0.0
Cosmos3_seed101_0039,120,3,3,2,0.2615549564361572,1-2,0.0,0.0
Cosmos3_seed101_0039,123,3,3,2,0.2819153070449829,1-2,0.0,0.0
Cosmos3_seed101_0039,126,3,3,2,0.30504313111305237,1-2,0.0,0.0
Cosmos3_seed101_0039,129,3,3,3,0.33000001311302185,1-2,0.0,0.0
Cosmos3_seed101_0039,132,3,3,3,0.3223586678504944,2-3,0.0,0.0
Cosmos3_seed101_0039,135,3,3,3,0.4332292377948761,1-2,0.5243465800380835,0.34174042482418493
Cosmos3_seed101_0039,138,3,3,3,0.4860439896583557,1-2,0.3712188513706086,0.19891994847523478
Cosmos3_seed101_0039,141,3,3,3,0.5426754355430603,1-2,0.23311841013328527,0.11645969580501764
Cosmos3_seed101_0039,144,3,3,1,0.503678023815155,2-3,0.10040839781750593,0.046038959205562224
Cosmos3_seed101_0039,147,3,3,1,0.4074817895889282,1-3,0.08413820234064044,0.036023476888474466
Cosmos3_seed101_0039,150,3,3,3,0.4636731445789337,1-2,0.04562205360103142,0.01861926620715378
Cosmos3_seed101_0039,153,3,3,3,0.4372251033782959,1-2,0.0,0.0
Cosmos3_seed101_0039,156,3,3,3,0.4062637388706207,1-2,0.0,0.0
