case,frame,prompt,raw_detections,count_012,count_020,count_030,max_score
Cosmos2.5_0058,0,white cup,1,1,1,1,0.8660951852798462
Cosmos2.5_0058,3,white cup,1,1,1,1,0.8538597822189331
Cosmos2.5_0058,6,white cup,1,1,1,1,0.8425318598747253
Cosmos2.5_0058,9,white cup,1,1,1,1,0.8292736411094666
Cosmos2.5_0058,12,white cup,1,1,1,1,0.8279156684875488
Cosmos2.5_0058,15,white cup,2,1,1,1,0.7501586079597473
Cosmos2.5_0058,18,white cup,2,2,1,1,0.677425742149353
Cosmos2.5_0058,21,white cup,2,2,2,1,0.6472281217575073
Cosmos2.5_0058,24,white cup,2,2,2,1,0.6335161924362183
Cosmos2.5_0058,27,white cup,2,2,2,1,0.5975310206413269
Cosmos2.5_0058,30,white cup,2,2,2,1,0.6122204661369324
Cosmos2.5_0058,33,white cup,2,2,2,1,0.6123799085617065
Cosmos2.5_0058,36,white cup,2,2,1,1,0.6704424619674683
Cosmos2.5_0058,39,white cup,3,2,2,2,0.5624645948410034
Cosmos2.5_0058,42,white cup,3,2,2,2,0.5382283329963684
Cosmos2.5_0058,45,white cup,3,2,2,2,0.5502910614013672
Cosmos2.5_0058,48,white cup,3,2,2,2,0.538156270980835
Cosmos2.5_0058,51,white cup,4,3,2,2,0.5004051327705383
Cosmos2.5_0058,54,white cup,4,3,2,2,0.47510457038879395
Cosmos2.5_0058,57,white cup,4,3,2,2,0.47788771986961365
Cosmos2.5_0058,60,white cup,4,3,2,2,0.4938529431819916
Cosmos2.5_0058,63,white cup,4,3,2,2,0.4783101975917816
Cosmos2.5_0058,66,white cup,4,3,2,2,0.4598560631275177
Cosmos2.5_0058,69,white cup,3,3,2,2,0.4536914527416229
Cosmos2.5_0058,72,white cup,4,3,2,2,0.4602036476135254
Cosmos2.5_0058,75,white cup,3,3,2,2,0.49363481998443604
Cosmos2.5_0058,78,white cup,4,3,2,2,0.48567187786102295
Cosmos2.5_0058,81,white cup,3,3,2,2,0.48270535469055176
Cosmos2.5_0058,84,white cup,3,3,2,2,0.5468974113464355
Cosmos2.5_0058,87,white cup,3,3,2,2,0.5670052766799927
Cosmos2.5_0058,90,white cup,3,3,2,2,0.5301595330238342
Cosmos2.5_0058,92,white cup,5,4,2,2,0.47619742155075073
Cosmos2.5_0060,0,white cup,1,1,1,1,0.7965797781944275
Cosmos2.5_0060,3,white cup,1,1,1,1,0.7250688076019287
Cosmos2.5_0060,6,white cup,2,2,2,1,0.5120589733123779
Cosmos2.5_0060,9,white cup,2,2,2,1,0.5171442627906799
Cosmos2.5_0060,12,white cup,2,2,2,1,0.5547360777854919
Cosmos2.5_0060,15,white cup,2,2,2,2,0.45704421401023865
Cosmos2.5_0060,18,white cup,2,2,2,1,0.5821701884269714
Cosmos2.5_0060,21,white cup,2,2,2,1,0.6073411107063293
Cosmos2.5_0060,24,white cup,2,2,2,1,0.6531069874763489
Cosmos2.5_0060,27,white cup,2,2,2,1,0.6065166592597961
Cosmos2.5_0060,30,white cup,2,2,2,1,0.6088277101516724
Cosmos2.5_0060,33,white cup,3,2,2,1,0.5899772047996521
Cosmos2.5_0060,36,white cup,3,2,2,1,0.5770455002784729
Cosmos2.5_0060,39,white cup,3,2,2,2,0.5282092094421387
Cosmos2.5_0060,42,white cup,4,2,2,2,0.5110301375389099
Cosmos2.5_0060,45,white cup,5,3,2,2,0.4972183108329773
Cosmos2.5_0060,48,white cup,6,3,2,2,0.49225297570228577
Cosmos2.5_0060,51,white cup,4,2,2,1,0.562938392162323
Cosmos2.5_0060,54,white cup,4,2,2,1,0.5697845220565796
Cosmos2.5_0060,57,white cup,4,3,2,1,0.5639785528182983
Cosmos2.5_0060,60,white cup,4,3,2,1,0.556982696056366
Cosmos2.5_0060,63,white cup,4,3,2,1,0.5543673634529114
Cosmos2.5_0060,66,white cup,4,3,2,1,0.5521205067634583
Cosmos2.5_0060,69,white cup,6,3,2,1,0.5483742952346802
Cosmos2.5_0060,72,white cup,4,3,2,1,0.570430338382721
Cosmos2.5_0060,75,white cup,5,3,2,1,0.5486880540847778
Cosmos2.5_0060,78,white cup,6,3,2,1,0.5602083206176758
Cosmos2.5_0060,81,white cup,4,3,2,2,0.5474953651428223
Cosmos2.5_0060,84,white cup,4,3,2,2,0.5164089798927307
Cosmos2.5_0060,87,white cup,4,3,2,2,0.5292679667472839
Cosmos2.5_0060,90,white cup,6,5,2,2,0.45269447565078735
Cosmos2.5_0060,92,white cup,4,2,2,2,0.5219985246658325
Cosmos3_seed101_0010,0,white cup,2,2,2,2,0.5879442095756531
Cosmos3_seed101_0010,3,white cup,2,2,2,2,0.5801275968551636
Cosmos3_seed101_0010,6,white cup,2,2,2,2,0.5979622006416321
Cosmos3_seed101_0010,9,white cup,2,2,2,2,0.6225875616073608
Cosmos3_seed101_0010,12,white cup,2,2,2,2,0.5397029519081116
Cosmos3_seed101_0010,15,white cup,2,2,2,2,0.625860869884491
Cosmos3_seed101_0010,18,white cup,2,2,2,2,0.6577567458152771
Cosmos3_seed101_0010,21,white cup,2,2,2,2,0.6202250719070435
Cosmos3_seed101_0010,24,white cup,2,2,2,2,0.6024268865585327
Cosmos3_seed101_0010,27,white cup,2,2,2,2,0.549601137638092
Cosmos3_seed101_0010,30,white cup,2,2,2,2,0.591838538646698
Cosmos3_seed101_0010,33,white cup,2,2,2,2,0.6513411998748779
Cosmos3_seed101_0010,36,white cup,2,2,2,2,0.5186107158660889
Cosmos3_seed101_0010,39,white cup,2,2,2,2,0.6157688498497009
Cosmos3_seed101_0010,42,white cup,2,2,2,2,0.5793766379356384
Cosmos3_seed101_0010,45,white cup,2,2,2,2,0.6100451946258545
Cosmos3_seed101_0010,48,white cup,2,2,2,2,0.6752666234970093
Cosmos3_seed101_0010,51,white cup,2,2,2,2,0.6426315307617188
Cosmos3_seed101_0010,54,white cup,2,2,2,2,0.6028095483779907
Cosmos3_seed101_0010,57,white cup,2,2,2,2,0.6097625494003296
Cosmos3_seed101_0010,60,white cup,3,2,2,2,0.5696214437484741
Cosmos3_seed101_0010,63,white cup,3,3,3,2,0.5274062156677246
Cosmos3_seed101_0010,66,white cup,3,3,3,3,0.47029006481170654
Cosmos3_seed101_0010,69,white cup,3,3,3,3,0.47971832752227783
Cosmos3_seed101_0010,72,white cup,3,3,3,3,0.46012696623802185
Cosmos3_seed101_0010,75,white cup,3,3,3,3,0.44010597467422485
Cosmos3_seed101_0010,78,white cup,3,3,3,3,0.46250516176223755
Cosmos3_seed101_0010,81,white cup,3,3,3,3,0.4553234577178955
Cosmos3_seed101_0010,84,white cup,3,3,3,3,0.4510003328323364
Cosmos3_seed101_0010,87,white cup,3,3,3,3,0.4403197765350342
Cosmos3_seed101_0010,90,white cup,3,3,3,3,0.44684168696403503
Cosmos3_seed101_0010,93,white cup,3,3,3,3,0.49145233631134033
Cosmos3_seed101_0010,96,white cup,3,3,3,2,0.5073562860488892
Cosmos3_seed101_0010,99,white cup,2,2,2,2,0.6806739568710327
Cosmos3_seed101_0010,102,white cup,2,2,2,2,0.6409730911254883
Cosmos3_seed101_0010,105,white cup,2,2,2,2,0.6205117702484131
Cosmos3_seed101_0010,108,white cup,2,2,2,2,0.6396287083625793
Cosmos3_seed101_0010,111,white cup,2,2,2,2,0.7214541435241699
Cosmos3_seed101_0010,114,white cup,2,2,2,2,0.6713359355926514
Cosmos3_seed101_0010,117,white cup,2,2,2,2,0.671203076839447
Cosmos3_seed101_0010,120,white cup,2,2,2,2,0.605822741985321
Cosmos3_seed101_0010,123,white cup,2,2,2,2,0.670113742351532
Cosmos3_seed101_0010,126,white cup,2,2,2,2,0.7414374947547913
Cosmos3_seed101_0010,129,white cup,2,2,2,2,0.6956761479377747
Cosmos3_seed101_0010,132,white cup,4,2,2,1,0.7729888558387756
Cosmos3_seed101_0010,135,white cup,4,3,2,1,0.716145396232605
Cosmos3_seed101_0010,138,white cup,2,2,2,1,0.8264628648757935
Cosmos3_seed101_0010,141,white cup,3,3,2,2,0.6553428769111633
Cosmos3_seed101_0010,144,white cup,3,2,2,2,0.6821056008338928
Cosmos3_seed101_0010,147,white cup,2,2,2,2,0.6401799321174622
Cosmos3_seed101_0010,150,white cup,2,2,2,2,0.5353527665138245
Cosmos3_seed101_0010,153,white cup,2,2,2,2,0.5399974584579468
Cosmos3_seed101_0010,156,white cup,2,2,2,1,0.5751307606697083
Cosmos3_seed101_0010,159,white cup,2,2,2,2,0.5610066056251526
Cosmos3_seed101_0010,162,white cup,2,2,2,2,0.5589179992675781
Cosmos3_seed101_0010,165,white cup,2,2,2,2,0.5456503033638
Cosmos3_seed101_0010,168,white cup,2,2,2,2,0.47746917605400085
Cosmos3_seed101_0010,171,white cup,2,2,2,2,0.5064414739608765
Cosmos3_seed101_0010,174,white cup,2,2,2,2,0.4904942810535431
Cosmos3_seed101_0010,177,white cup,2,2,2,2,0.5391911864280701
Cosmos3_seed101_0010,180,white cup,2,2,2,2,0.489254891872406
Cosmos3_seed101_0010,183,white cup,2,2,2,2,0.48688986897468567
Cosmos3_seed101_0010,186,white cup,2,2,2,2,0.538415789604187
Cosmos3_seed101_0010,188,white cup,2,2,2,2,0.6284610629081726
Cosmos3_seed101_0020,0,banana,1,1,1,1,0.8148337006568909
Cosmos3_seed101_0020,3,banana,1,1,1,1,0.8143229484558105
Cosmos3_seed101_0020,6,banana,1,1,1,1,0.8263135552406311
Cosmos3_seed101_0020,9,banana,1,1,1,1,0.8271018862724304
Cosmos3_seed101_0020,12,banana,1,1,1,1,0.8252668380737305
Cosmos3_seed101_0020,15,banana,1,1,1,1,0.826762855052948
Cosmos3_seed101_0020,18,banana,1,1,1,1,0.8161069750785828
Cosmos3_seed101_0020,21,banana,1,1,1,1,0.8154270648956299
Cosmos3_seed101_0020,24,banana,1,1,1,1,0.7924802303314209
Cosmos3_seed101_0020,27,banana,1,1,1,1,0.7938094735145569
Cosmos3_seed101_0020,30,banana,1,1,1,1,0.787860631942749
Cosmos3_seed101_0020,33,banana,1,1,1,1,0.8085039258003235
Cosmos3_seed101_0020,36,banana,1,1,1,1,0.8101990222930908
Cosmos3_seed101_0020,39,banana,1,1,1,1,0.8139018416404724
Cosmos3_seed101_0020,42,banana,1,1,1,1,0.8048195838928223
Cosmos3_seed101_0020,45,banana,3,1,1,1,0.7332890033721924
Cosmos3_seed101_0020,48,banana,1,1,1,1,0.7575954794883728
Cosmos3_seed101_0020,51,banana,1,1,1,1,0.7756151556968689
Cosmos3_seed101_0020,54,banana,2,1,1,1,0.762395441532135
Cosmos3_seed101_0020,57,banana,3,1,1,1,0.7571291327476501
Cosmos3_seed101_0020,60,banana,3,1,1,1,0.7604239583015442
Cosmos3_seed101_0020,63,banana,3,1,1,1,0.757662296295166
Cosmos3_seed101_0020,66,banana,2,1,1,1,0.7727444767951965
Cosmos3_seed101_0020,69,banana,1,1,1,1,0.795490026473999
Cosmos3_seed101_0020,72,banana,1,1,1,1,0.7829504013061523
Cosmos3_seed101_0020,75,banana,1,1,1,1,0.7749795317649841
Cosmos3_seed101_0020,78,banana,1,1,1,1,0.7638283967971802
Cosmos3_seed101_0020,81,banana,1,1,1,1,0.750764787197113
Cosmos3_seed101_0020,84,banana,2,1,1,1,0.7456871867179871
Cosmos3_seed101_0020,87,banana,2,1,1,1,0.7488604784011841
Cosmos3_seed101_0020,90,banana,2,1,1,1,0.7514563798904419
Cosmos3_seed101_0020,93,banana,3,2,1,1,0.6986969113349915
Cosmos3_seed101_0020,96,banana,4,2,1,1,0.6430429220199585
Cosmos3_seed101_0020,99,banana,7,3,2,1,0.5900546908378601
Cosmos3_seed101_0020,102,banana,9,5,2,1,0.5600612759590149
Cosmos3_seed101_0020,105,banana,10,4,3,1,0.4373064339160919
Cosmos3_seed101_0020,108,banana,10,3,2,1,0.5275864601135254
Cosmos3_seed101_0020,111,banana,10,3,2,2,0.4346906542778015
Cosmos3_seed101_0020,114,banana,4,3,1,1,0.6574190855026245
Cosmos3_seed101_0020,117,banana,6,4,2,1,0.6011683344841003
Cosmos3_seed101_0020,120,banana,7,3,2,1,0.5823046565055847
Cosmos3_seed101_0020,123,banana,2,1,1,1,0.7396268248558044
Cosmos3_seed101_0020,126,banana,4,4,1,1,0.6520406007766724
Cosmos3_seed101_0020,129,banana,11,6,2,2,0.374165415763855
Cosmos3_seed101_0020,132,banana,4,4,3,3,0.4865565598011017
Cosmos3_seed101_0020,135,banana,4,3,3,3,0.4543643295764923
Cosmos3_seed101_0020,138,banana,3,3,3,2,0.6113098859786987
Cosmos3_seed101_0020,141,banana,2,2,2,2,0.7018239498138428
Cosmos3_seed101_0020,144,banana,2,2,2,2,0.7028675079345703
Cosmos3_seed101_0020,147,banana,2,2,2,2,0.7056401968002319
Cosmos3_seed101_0020,150,banana,2,2,2,2,0.7177008986473083
Cosmos3_seed101_0020,153,banana,3,2,2,2,0.6811231374740601
Cosmos3_seed101_0020,156,banana,3,3,2,2,0.6781014204025269
Cosmos3_seed101_0020,159,banana,3,3,2,2,0.6538090109825134
Cosmos3_seed101_0020,162,banana,3,3,2,2,0.6990194320678711
Cosmos3_seed101_0020,165,banana,3,3,2,2,0.6546856760978699
Cosmos3_seed101_0020,168,banana,6,4,3,2,0.5826320052146912
Cosmos3_seed101_0020,171,banana,7,5,3,2,0.6284170746803284
Cosmos3_seed101_0020,174,banana,3,2,2,2,0.6976128816604614
Cosmos3_seed101_0020,177,banana,2,2,2,2,0.7040438652038574
Cosmos3_seed101_0020,180,banana,3,2,2,2,0.697222113609314
Cosmos3_seed101_0020,183,banana,3,2,2,2,0.6879554986953735
Cosmos3_seed101_0020,186,banana,3,2,2,2,0.690144419670105
Cosmos3_seed101_0020,188,banana,3,2,2,2,0.6928290724754333
Cosmos3_seed101_0036,0,white tape roll,7,4,1,1,0.7169114947319031
Cosmos3_seed101_0036,3,white tape roll,7,4,1,1,0.7324685454368591
Cosmos3_seed101_0036,6,white tape roll,6,5,1,1,0.7168439030647278
Cosmos3_seed101_0036,9,white tape roll,7,4,1,1,0.7151896357536316
Cosmos3_seed101_0036,12,white tape roll,8,4,1,1,0.7317349910736084
Cosmos3_seed101_0036,15,white tape roll,4,3,1,1,0.7369996309280396
Cosmos3_seed101_0036,18,white tape roll,3,3,1,1,0.7414825558662415
Cosmos3_seed101_0036,21,white tape roll,6,4,1,1,0.7264426946640015
Cosmos3_seed101_0036,24,white tape roll,7,5,1,1,0.6902309060096741
Cosmos3_seed101_0036,27,white tape roll,6,4,1,1,0.708381712436676
Cosmos3_seed101_0036,30,white tape roll,6,3,1,1,0.7232589721679688
Cosmos3_seed101_0036,33,white tape roll,6,2,1,1,0.6891391277313232
Cosmos3_seed101_0036,36,white tape roll,5,2,1,1,0.7030346989631653
Cosmos3_seed101_0036,39,white tape roll,5,4,1,1,0.6964224576950073
Cosmos3_seed101_0036,42,white tape roll,8,5,2,1,0.6812334060668945
Cosmos3_seed101_0036,45,white tape roll,7,5,2,1,0.6819252371788025
Cosmos3_seed101_0036,48,white tape roll,9,7,2,1,0.6672379970550537
