case,frame,prompt,rank,gdino_score,phrase,x1,y1,x2,y2
Cosmos2.5_0058,0,white cup,1,0.8660951852798462,white cup,679.26806640625,353.4386291503906,741.68359375,446.3162536621094
Cosmos2.5_0058,3,white cup,1,0.8538597822189331,white cup,679.1644287109375,354.04345703125,741.4375,446.453125
Cosmos2.5_0058,6,white cup,1,0.8425318598747253,white cup,680.6239624023438,353.218505859375,742.9662475585938,446.2255859375
Cosmos2.5_0058,9,white cup,1,0.8292736411094666,white cup,680.0580444335938,352.80718994140625,742.4959106445312,445.1708984375
Cosmos2.5_0058,12,white cup,1,0.8279156684875488,white cup,680.2588500976562,352.6474914550781,742.5757446289062,445.0315856933594
Cosmos2.5_0058,15,white cup,1,0.7501586079597473,white cup,681.546875,352.7757568359375,742.48095703125,444.74053955078125
Cosmos2.5_0058,15,white cup,2,0.10088364034891129,cup,575.5178833007812,278.248291015625,661.2055053710938,379.7955322265625
Cosmos2.5_0058,18,white cup,1,0.677425742149353,white cup,680.9671020507812,352.64788818359375,742.4157104492188,444.6298828125
Cosmos2.5_0058,18,white cup,2,0.16624045372009277,white cup,562.8232421875,301.7691650390625,644.1568603515625,399.33001708984375
Cosmos2.5_0058,21,white cup,1,0.6472281217575073,white cup,680.2836303710938,353.01123046875,742.5845336914062,444.88092041015625
Cosmos2.5_0058,21,white cup,2,0.21983997523784637,white cup,553.4901123046875,310.9324645996094,635.2933349609375,413.4245910644531
Cosmos2.5_0058,24,white cup,1,0.6335161924362183,white cup,680.9072265625,352.9319152832031,742.62451171875,444.6297912597656
Cosmos2.5_0058,24,white cup,2,0.2345937192440033,white cup,544.481689453125,322.6597900390625,625.3460693359375,425.63092041015625
Cosmos2.5_0058,27,white cup,1,0.5975310206413269,white cup,681.0498046875,353.0436096191406,742.2686767578125,444.6363830566406
Cosmos2.5_0058,27,white cup,2,0.2604678273200989,white cup,536.4375610351562,331.5683288574219,618.3840942382812,437.6033630371094
Cosmos2.5_0058,30,white cup,1,0.6122204661369324,white cup,679.8628540039062,352.77899169921875,742.8200073242188,444.28192138671875
Cosmos2.5_0058,30,white cup,2,0.2600313127040863,white cup,529.4744262695312,343.4374084472656,610.0513305664062,449.8315124511719
Cosmos2.5_0058,33,white cup,1,0.6123799085617065,white cup,680.871826171875,353.12451171875,742.7572021484375,444.3150634765625
Cosmos2.5_0058,33,white cup,2,0.23274749517440796,white cup,518.711181640625,358.0445861816406,600.9210205078125,463.8477478027344
Cosmos2.5_0058,36,white cup,1,0.6704424619674683,white cup,680.7454223632812,353.09490966796875,742.7411499023438,444.46051025390625
Cosmos2.5_0058,36,white cup,2,0.1570647805929184,white cup,511.3998718261719,364.7414855957031,594.9918823242188,472.8073425292969
Cosmos2.5_0058,39,white cup,1,0.5624645948410034,white cup,680.7042846679688,353.37542724609375,742.6488647460938,444.20782470703125
Cosmos2.5_0058,39,white cup,2,0.3182624280452728,white cup,511.2687683105469,372.1953125,591.9576416015625,479.93206787109375
Cosmos2.5_0058,39,white cup,3,0.10033468902111053,cup,420.01483154296875,100.35403442382812,1189.386474609375,696.7225341796875
Cosmos2.5_0058,42,white cup,1,0.5382283329963684,white cup,680.6062622070312,353.2677917480469,742.5975952148438,444.1590881347656
