case,frame,prompt,raw_detections,count_012,count_020,count_030,max_score
Cosmos2.5_0016,0,white cup,1,1,1,1,0.8165262937545776
Cosmos2.5_0016,3,white cup,1,1,1,1,0.8094646334648132
Cosmos2.5_0016,6,white cup,1,1,1,1,0.7998452186584473
Cosmos2.5_0016,9,white cup,1,1,1,1,0.7827167510986328
Cosmos2.5_0016,12,white cup,1,1,1,1,0.7807667851448059
Cosmos2.5_0016,15,white cup,1,1,1,1,0.7747596502304077
Cosmos2.5_0016,18,white cup,1,1,1,1,0.7666375637054443
Cosmos2.5_0016,21,white cup,1,1,1,1,0.7653262615203857
Cosmos2.5_0016,24,white cup,1,1,1,1,0.7562420964241028
Cosmos2.5_0016,27,white cup,2,2,1,1,0.7492033243179321
Cosmos2.5_0016,30,white cup,2,2,2,1,0.6590383648872375
Cosmos2.5_0016,33,white cup,2,2,2,1,0.6490628719329834
Cosmos2.5_0016,36,white cup,2,2,2,1,0.6177801489830017
Cosmos2.5_0016,39,white cup,2,2,2,1,0.6449744701385498
Cosmos2.5_0016,42,white cup,2,2,2,1,0.5890177488327026
Cosmos2.5_0016,45,white cup,3,2,2,1,0.5944617390632629
Cosmos2.5_0016,48,white cup,3,2,2,1,0.6077234148979187
Cosmos2.5_0016,51,white cup,3,2,2,1,0.6022229790687561
Cosmos2.5_0016,54,white cup,2,2,2,1,0.6161583065986633
Cosmos2.5_0016,57,white cup,2,2,2,1,0.6264023780822754
Cosmos2.5_0016,60,white cup,3,2,2,1,0.6273821592330933
Cosmos2.5_0016,63,white cup,3,2,2,1,0.6339930295944214
Cosmos2.5_0016,66,white cup,2,2,2,1,0.6403065919876099
Cosmos2.5_0016,69,white cup,2,2,2,1,0.6531891822814941
Cosmos2.5_0016,72,white cup,2,2,2,1,0.658069372177124
Cosmos2.5_0016,75,white cup,2,2,2,1,0.6492694616317749
Cosmos2.5_0016,78,white cup,2,2,2,1,0.6369165778160095
Cosmos2.5_0016,81,white cup,4,2,2,2,0.5956379175186157
Cosmos2.5_0016,84,white cup,2,2,2,1,0.621330976486206
Cosmos2.5_0016,87,white cup,3,3,2,2,0.5916089415550232
Cosmos2.5_0016,90,white cup,3,3,2,2,0.5613473653793335
Cosmos2.5_0016,92,white cup,3,3,2,2,0.5691589117050171
Cosmos3_seed101_0003,0,yellow cube,5,4,1,1,0.644767701625824
Cosmos3_seed101_0003,3,yellow cube,5,3,1,1,0.666580319404602
Cosmos3_seed101_0003,6,yellow cube,4,3,1,1,0.6716439127922058
Cosmos3_seed101_0003,9,yellow cube,4,3,1,1,0.6650769114494324
Cosmos3_seed101_0003,12,yellow cube,4,3,1,1,0.655994176864624
Cosmos3_seed101_0003,15,yellow cube,4,3,1,1,0.6634717583656311
Cosmos3_seed101_0003,18,yellow cube,5,3,1,1,0.6830011606216431
Cosmos3_seed101_0003,21,yellow cube,6,4,1,1,0.6700562238693237
Cosmos3_seed101_0003,24,yellow cube,5,5,1,1,0.6463056206703186
Cosmos3_seed101_0003,27,yellow cube,9,5,1,1,0.641701877117157
Cosmos3_seed101_0003,30,yellow cube,8,7,1,1,0.634742259979248
Cosmos3_seed101_0003,33,yellow cube,9,6,1,1,0.6034863591194153
Cosmos3_seed101_0003,36,yellow cube,11,7,2,1,0.5748650431632996
Cosmos3_seed101_0003,39,yellow cube,11,7,1,1,0.5448557138442993
Cosmos3_seed101_0003,42,yellow cube,13,7,4,1,0.4976402223110199
Cosmos3_seed101_0003,45,yellow cube,13,7,5,1,0.4739440083503723
Cosmos3_seed101_0003,48,yellow cube,18,7,4,1,0.396342396736145
Cosmos3_seed101_0003,51,yellow cube,18,9,5,1,0.3483121693134308
Cosmos3_seed101_0003,54,yellow cube,19,7,5,1,0.3602890968322754
