case,frame,prompt,raw_detections,count_012,count_020,count_030,max_score
Cosmos2.5_0036,0,white tape roll,6,3,1,1,0.7974219918251038
Cosmos2.5_0036,3,white tape roll,6,5,1,1,0.7855073809623718
Cosmos2.5_0036,6,white tape roll,7,3,1,1,0.7590517401695251
Cosmos2.5_0036,9,white tape roll,7,2,1,1,0.7439025044441223
Cosmos2.5_0036,12,white tape roll,5,2,1,1,0.7442945241928101
Cosmos2.5_0036,15,white tape roll,6,5,2,1,0.7040117383003235
Cosmos2.5_0036,18,white tape roll,5,5,2,1,0.7260834574699402
Cosmos2.5_0036,21,white tape roll,5,5,2,1,0.7290360331535339
Cosmos2.5_0036,24,white tape roll,4,3,2,1,0.749562680721283
Cosmos2.5_0036,27,white tape roll,6,4,2,1,0.712012529373169
Cosmos2.5_0036,30,white tape roll,7,4,2,1,0.672636866569519
Cosmos2.5_0036,33,white tape roll,7,5,2,1,0.6586223244667053
Cosmos2.5_0036,36,white tape roll,8,6,3,1,0.6589933633804321
Cosmos2.5_0036,39,white tape roll,5,4,2,1,0.7286266088485718
Cosmos2.5_0036,42,white tape roll,5,4,1,1,0.753104567527771
Cosmos2.5_0036,45,white tape roll,5,3,2,1,0.7475442886352539
Cosmos2.5_0036,48,white tape roll,5,3,2,1,0.7405995726585388
Cosmos2.5_0036,51,white tape roll,8,4,2,1,0.7234309911727905
Cosmos2.5_0036,54,white tape roll,6,5,2,1,0.706595242023468
Cosmos2.5_0036,57,white tape roll,9,5,2,2,0.599968433380127
Cosmos2.5_0036,60,white tape roll,6,5,2,1,0.6892770528793335
Cosmos2.5_0036,63,white tape roll,5,3,2,1,0.6875145435333252
Cosmos2.5_0036,66,white tape roll,7,4,2,1,0.6824526190757751
Cosmos2.5_0036,69,white tape roll,6,4,2,1,0.6770676374435425
Cosmos2.5_0036,72,white tape roll,5,3,2,1,0.6965875029563904
Cosmos2.5_0036,75,white tape roll,5,3,2,1,0.6996020078659058
Cosmos2.5_0036,78,white tape roll,5,3,2,1,0.6959450244903564
Cosmos2.5_0036,81,white tape roll,5,3,2,1,0.6951761841773987
Cosmos2.5_0036,84,white tape roll,7,4,2,1,0.7005628943443298
Cosmos2.5_0036,87,white tape roll,6,3,3,1,0.7376825213432312
Cosmos2.5_0036,90,white tape roll,6,3,2,1,0.7074418067932129
Cosmos2.5_0036,92,white tape roll,5,3,2,1,0.7377153635025024
Cosmos2.5_0057,0,yellow cube,6,3,1,1,0.7040800452232361
Cosmos2.5_0057,3,yellow cube,7,3,1,1,0.6480932235717773
Cosmos2.5_0057,6,yellow cube,7,4,1,1,0.6168983578681946
Cosmos2.5_0057,9,yellow cube,9,7,2,1,0.5368079543113708
Cosmos2.5_0057,12,yellow cube,9,6,3,1,0.5219762325286865
Cosmos2.5_0057,15,yellow cube,11,7,2,1,0.5354510545730591
Cosmos2.5_0057,18,yellow cube,13,7,2,2,0.5175871849060059
Cosmos2.5_0057,21,yellow cube,10,6,2,1,0.5853304862976074
Cosmos2.5_0057,24,yellow cube,9,8,2,1,0.5857612490653992
Cosmos2.5_0057,27,yellow cube,11,7,2,2,0.5774920582771301
Cosmos2.5_0057,30,yellow cube,12,8,2,2,0.5349147915840149
Cosmos2.5_0057,33,yellow cube,10,7,3,2,0.4964669942855835
Cosmos2.5_0057,36,yellow cube,9,7,2,1,0.567966878414154
Cosmos2.5_0057,39,yellow cube,14,10,3,2,0.4272708296775818
Cosmos2.5_0057,42,yellow cube,17,10,5,3,0.3437798023223877
Cosmos2.5_0057,45,yellow cube,9,5,2,1,0.5702645182609558
Cosmos2.5_0057,48,yellow cube,7,5,1,1,0.5890875458717346
Cosmos2.5_0057,51,yellow cube,9,7,3,1,0.5403734445571899
Cosmos2.5_0057,54,yellow cube,11,8,3,1,0.3999250829219818
Cosmos2.5_0057,57,yellow cube,13,8,5,2,0.3477090001106262
Cosmos2.5_0057,60,yellow cube,13,8,4,1,0.4071887731552124
Cosmos2.5_0057,63,yellow cube,13,9,5,2,0.3776347041130066
Cosmos2.5_0057,66,yellow cube,14,9,5,1,0.38494694232940674
Cosmos2.5_0057,69,yellow cube,14,10,5,2,0.3805771768093109
Cosmos2.5_0057,72,yellow cube,15,8,5,1,0.4003569185733795
Cosmos2.5_0057,75,yellow cube,13,8,3,1,0.43375951051712036
Cosmos2.5_0057,78,yellow cube,13,8,4,1,0.41526487469673157
Cosmos2.5_0057,81,yellow cube,14,7,4,1,0.42729267477989197
Cosmos2.5_0057,84,yellow cube,14,8,4,1,0.4108460247516632
Cosmos2.5_0057,87,yellow cube,17,8,4,2,0.38803380727767944
Cosmos2.5_0057,90,yellow cube,14,6,4,1,0.43656685948371887
Cosmos2.5_0057,92,yellow cube,15,8,3,2,0.42453625798225403
Cosmos3_seed101_0039,0,brown cube,4,4,1,1,0.7446960210800171
Cosmos3_seed101_0039,3,brown cube,4,3,1,1,0.7401434779167175
Cosmos3_seed101_0039,6,brown cube,3,3,1,1,0.7506785988807678
Cosmos3_seed101_0039,9,brown cube,4,4,1,1,0.7365555167198181
Cosmos3_seed101_0039,12,brown cube,4,3,1,1,0.7425635457038879
Cosmos3_seed101_0039,15,brown cube,4,4,1,1,0.7293368577957153
Cosmos3_seed101_0039,18,brown cube,4,3,1,1,0.7532256841659546
Cosmos3_seed101_0039,21,brown cube,5,4,1,1,0.7500150799751282
Cosmos3_seed101_0039,24,brown cube,4,3,1,1,0.7447381615638733
Cosmos3_seed101_0039,27,brown cube,4,3,1,1,0.7480697631835938
Cosmos3_seed101_0039,30,brown cube,4,3,1,1,0.7436632513999939
Cosmos3_seed101_0039,33,brown cube,5,4,1,1,0.7511029839515686
Cosmos3_seed101_0039,36,brown cube,6,5,1,1,0.7307388186454773
Cosmos3_seed101_0039,39,brown cube,5,5,1,1,0.7331396341323853
Cosmos3_seed101_0039,42,brown cube,5,5,1,1,0.7307034134864807
Cosmos3_seed101_0039,45,brown cube,5,5,1,1,0.7342122793197632
Cosmos3_seed101_0039,48,brown cube,7,5,1,1,0.7444495558738708
Cosmos3_seed101_0039,51,brown cube,6,4,1,1,0.741654634475708
Cosmos3_seed101_0039,54,brown cube,6,3,1,1,0.7317063808441162
Cosmos3_seed101_0039,57,brown cube,6,4,1,1,0.739791989326477
Cosmos3_seed101_0039,60,brown cube,7,5,1,1,0.7365817427635193
Cosmos3_seed101_0039,63,brown cube,5,2,1,1,0.7538808584213257
Cosmos3_seed101_0039,66,brown cube,5,3,1,1,0.7467746138572693
Cosmos3_seed101_0039,69,brown cube,6,4,1,1,0.7466097474098206
Cosmos3_seed101_0039,72,brown cube,8,6,1,1,0.7274662256240845
Cosmos3_seed101_0039,75,brown cube,8,5,1,1,0.7298973202705383
Cosmos3_seed101_0039,78,brown cube,5,3,1,1,0.7367176413536072
Cosmos3_seed101_0039,81,brown cube,4,3,1,1,0.7474467754364014
Cosmos3_seed101_0039,84,brown cube,5,4,1,1,0.7390202283859253
Cosmos3_seed101_0039,87,brown cube,4,4,1,1,0.7360924482345581
Cosmos3_seed101_0039,90,brown cube,5,5,1,1,0.7123466730117798
Cosmos3_seed101_0039,93,brown cube,6,5,1,1,0.7164164781570435
Cosmos3_seed101_0039,96,brown cube,6,5,1,1,0.7098939418792725
Cosmos3_seed101_0039,99,brown cube,5,4,1,1,0.7078664898872375
Cosmos3_seed101_0039,102,brown cube,7,5,1,1,0.7068066596984863
Cosmos3_seed101_0039,105,brown cube,6,5,1,1,0.7002592086791992
Cosmos3_seed101_0039,108,brown cube,6,5,1,1,0.7151968479156494
Cosmos3_seed101_0039,111,brown cube,5,5,1,1,0.7093226909637451
Cosmos3_seed101_0039,114,brown cube,6,4,1,1,0.6968864798545837
Cosmos3_seed101_0039,117,brown cube,5,4,1,1,0.6918120384216309
Cosmos3_seed101_0039,120,brown cube,5,5,1,1,0.6811148524284363
Cosmos3_seed101_0039,123,brown cube,3,3,1,1,0.6895523071289062
Cosmos3_seed101_0039,126,brown cube,5,4,1,1,0.7020304203033447
Cosmos3_seed101_0039,129,brown cube,5,4,1,1,0.7245257496833801
Cosmos3_seed101_0039,132,brown cube,7,4,1,1,0.46462082862854004
Cosmos3_seed101_0039,135,brown cube,8,6,2,1,0.5114073753356934
Cosmos3_seed101_0039,138,brown cube,11,8,2,2,0.5546495914459229
Cosmos3_seed101_0039,141,brown cube,13,8,5,2,0.5429759621620178
Cosmos3_seed101_0039,144,brown cube,16,12,4,2,0.5229281187057495
Cosmos3_seed101_0039,147,brown cube,14,12,4,2,0.5434156060218811
Cosmos3_seed101_0039,150,brown cube,12,10,6,2,0.5378803014755249
Cosmos3_seed101_0039,153,brown cube,14,11,4,2,0.5180642008781433
Cosmos3_seed101_0039,156,brown cube,13,11,5,2,0.511189341545105
Cosmos3_seed101_0039,159,brown cube,14,12,4,2,0.4834617078304291
Cosmos3_seed101_0039,162,brown cube,15,11,4,2,0.5203485488891602
Cosmos3_seed101_0039,165,brown cube,14,11,5,2,0.5080167055130005
Cosmos3_seed101_0039,168,brown cube,12,11,6,2,0.5118289589881897
Cosmos3_seed101_0039,171,brown cube,13,11,6,2,0.5042868852615356
Cosmos3_seed101_0039,174,brown cube,12,9,6,3,0.626240611076355
Cosmos3_seed101_0039,177,brown cube,12,9,4,3,0.6447811722755432
Cosmos3_seed101_0039,180,brown cube,11,7,3,3,0.6368038058280945
Cosmos3_seed101_0039,183,brown cube,11,8,3,3,0.6189270615577698
Cosmos3_seed101_0039,186,brown cube,9,7,3,2,0.6305503249168396
Cosmos3_seed101_0039,188,brown cube,8,7,3,3,0.6246359348297119
Cosmos3_seed101_0049,0,yellow banana,1,1,1,1,0.8288022875785828
Cosmos3_seed101_0049,3,yellow banana,1,1,1,1,0.8331946730613708
Cosmos3_seed101_0049,6,yellow banana,1,1,1,1,0.8435453176498413
Cosmos3_seed101_0049,9,yellow banana,1,1,1,1,0.8383496403694153
Cosmos3_seed101_0049,12,yellow banana,1,1,1,1,0.8362666368484497
