case,frame,prompt,rank,gdino_score,phrase,x1,y1,x2,y2
Cosmos2.5_0036,0,white tape roll,1,0.7974219918251038,white tape roll,662.7784423828125,339.21063232421875,759.197265625,409.49371337890625
Cosmos2.5_0036,0,white tape roll,2,0.18048284947872162,white tape roll,488.64764404296875,145.33203125,503.56341552734375,188.96890258789062
Cosmos2.5_0036,0,white tape roll,3,0.13495773077011108,white tape roll,653.7451171875,0.976348876953125,1278.068359375,700.8338623046875
Cosmos2.5_0036,0,white tape roll,4,0.11439905315637589,white tape roll,914.031982421875,478.8466491699219,1110.7891845703125,701.31884765625
Cosmos2.5_0036,0,white tape roll,5,0.1016993448138237,roll,1015.8194580078125,189.95977783203125,1278.1575927734375,514.5381469726562
Cosmos2.5_0036,3,white tape roll,1,0.7855073809623718,white tape roll,662.78857421875,339.5564880371094,758.76513671875,410.0774841308594
Cosmos2.5_0036,3,white tape roll,2,0.15589234232902527,white tape roll,488.7621154785156,145.2169189453125,503.3866271972656,188.66281127929688
Cosmos2.5_0036,3,white tape roll,3,0.14997631311416626,white tape roll,629.9595336914062,0.63690185546875,1277.710693359375,700.8831787109375
Cosmos2.5_0036,3,white tape roll,4,0.1247299462556839,white tape roll,1131.0433349609375,646.6019897460938,1243.5626220703125,701.7483520507812
Cosmos2.5_0036,3,white tape roll,5,0.12025271356105804,white tape roll,912.0765380859375,417.2785339355469,1112.374267578125,701.41650390625
Cosmos2.5_0036,3,white tape roll,6,0.11539039015769958,white tape roll,629.86279296875,189.80767822265625,726.3614501953125,264.49139404296875
Cosmos2.5_0036,6,white tape roll,1,0.7590517401695251,white tape roll,663.8053588867188,338.09442138671875,759.9215698242188,409.11871337890625
Cosmos2.5_0036,6,white tape roll,2,0.17003223299980164,white tape roll,607.4037475585938,0.67791748046875,1257.82763671875,700.785888671875
Cosmos2.5_0036,6,white tape roll,3,0.1283225119113922,white tape roll,489.55059814453125,143.95773315429688,504.072509765625,188.06362915039062
Cosmos2.5_0036,6,white tape roll,4,0.11711226403713226,white tape roll,1131.580322265625,647.1967163085938,1243.507080078125,701.5285034179688
Cosmos2.5_0036,6,white tape roll,5,0.11512739956378937,white tape roll,606.081787109375,205.4916534423828,704.58203125,276.6165771484375
Cosmos2.5_0036,6,white tape roll,6,0.10836659371852875,white tape roll,914.3230590820312,416.9146423339844,1112.65625,701.4105224609375
Cosmos2.5_0036,9,white tape roll,1,0.7439025044441223,white tape roll,663.80615234375,338.5859375,759.018310546875,409.364990234375
Cosmos2.5_0036,9,white tape roll,2,0.1789017915725708,white tape roll,600.2064208984375,1.023834228515625,1240.14990234375,700.65478515625
Cosmos2.5_0036,9,white tape roll,3,0.10733553022146225,white tape roll,489.1656799316406,144.4453125,504.0066223144531,188.7847900390625
Cosmos2.5_0036,9,white tape roll,4,0.10516785830259323,white tape roll,1131.5787353515625,646.7760009765625,1244.1839599609375,701.6192626953125
Cosmos2.5_0036,9,white tape roll,5,0.10276917368173599,white tape roll,912.5673828125,418.0442810058594,1112.830810546875,701.5101318359375
Cosmos2.5_0036,12,white tape roll,1,0.7442945241928101,white tape roll,663.068115234375,338.14794921875,758.83349609375,409.73834228515625
Cosmos2.5_0036,12,white tape roll,2,0.16754065454006195,white tape roll,594.229248046875,1.78546142578125,1233.410888671875,700.588623046875
Cosmos2.5_0036,12,white tape roll,3,0.10382070392370224,white tape roll,488.5638122558594,145.17132568359375,503.9724426269531,189.044677734375
Cosmos2.5_0036,12,white tape roll,4,0.1014387458562851,tape roll,1131.90283203125,647.0222778320312,1243.756591796875,701.6071166992188
Cosmos2.5_0036,12,white tape roll,5,0.10001900792121887,roll,912.7899780273438,474.90985107421875,1112.9697265625,701.0945434570312
Cosmos2.5_0036,15,white tape roll,1,0.7040117383003235,white tape roll,664.450439453125,338.17779541015625,759.630126953125,408.82916259765625
Cosmos2.5_0036,15,white tape roll,2,0.22466109693050385,white tape roll,628.4888916015625,13.73968505859375,1220.6795654296875,700.0936889648438
Cosmos2.5_0036,15,white tape roll,3,0.19628192484378815,white tape roll,638.3084716796875,129.20172119140625,756.9737548828125,238.21978759765625
Cosmos2.5_0036,15,white tape roll,4,0.14484164118766785,white tape roll,1132.2518310546875,647.1989135742188,1243.1197509765625,701.7362670898438
Cosmos2.5_0036,15,white tape roll,5,0.1436752825975418,white tape roll,489.8863525390625,145.13690185546875,504.11083984375,189.16903686523438
Cosmos2.5_0036,15,white tape roll,6,0.1176283210515976,white tape roll,914.8442993164062,473.26776123046875,1113.4608154296875,701.3722534179688
Cosmos2.5_0036,18,white tape roll,1,0.7260834574699402,white tape roll,664.3270874023438,339.5688171386719,759.1170043945312,409.9363708496094
Cosmos2.5_0036,18,white tape roll,2,0.23307111859321594,white tape roll,621.8605346679688,20.79644775390625,1210.2275390625,700.6835327148438
Cosmos2.5_0036,18,white tape roll,3,0.16975544393062592,white tape roll,631.71142578125,140.35374450683594,741.40234375,260.35833740234375
