case,frame,rank_a,rank_b,pair_similarity,iou,containment,nested,gdino_a,gdino_b,siglip_source_a,siglip_source_b,sam_a,sam_b,crop_a,crop_b,track_a,track_b,birth_a,obs_a,life_a,birth_b,obs_b,life_b,first_frame,post_initial_a,post_initial_b,persistent_a,persistent_b,new_persistent_a,new_persistent_b,has_new_persistent_track,spatially_distinct,eligible,min_siglip,min_gdino,semantic_support,dup_evidence,eligible_dup_evidence
Cosmos2.5_0058,15,1,2,0.3202137053012848,0.0,0.0,False,0.7501586079597473,0.1008836403489112,0.941791296005249,0.6894094944000244,0.9765625,0.96875,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0015_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0015_rank_02.png,T00,T01,0,32,92,15,27,77,0,False,True,True,True,False,True,True,True,True,0.6894094944000244,0.1008836403489112,0.2637236043401818,0.08444791252117961,0.08444791252117961
Cosmos2.5_0058,18,1,2,0.3581812977790832,0.0,0.0,False,0.677425742149353,0.1662404537200927,0.9598249197006226,0.6821339130401611,0.9765625,0.96875,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0018_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0018_rank_02.png,T00,T01,0,32,92,15,27,77,0,False,True,True,True,False,True,True,True,True,0.6821339130401611,0.1662404537200927,0.3367465682106629,0.1206163228243478,0.1206163228243478
Cosmos2.5_0058,21,1,2,0.293891966342926,0.0,0.0,False,0.6472281217575073,0.2198399752378463,0.9631750583648682,0.7821406126022339,0.9765625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0021_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0021_rank_02.png,T00,T01,0,32,92,15,27,77,0,False,True,True,True,False,True,True,True,True,0.7821406126022339,0.2198399752378463,0.41466344534693317,0.12186625532354263,0.12186625532354263
Cosmos2.5_0058,24,1,2,0.5355935096740723,0.0,0.0,False,0.6335161924362183,0.2345937192440033,0.961132287979126,0.858683168888092,0.9765625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0024_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0024_rank_02.png,T00,T01,0,32,92,15,27,77,0,False,True,True,True,False,True,True,True,True,0.858683168888092,0.2345937192440033,0.44882254649436243,0.24038644289777006,0.24038644289777006
Cosmos2.5_0058,27,1,2,0.6120738387107849,0.0,0.0,False,0.5975310206413269,0.2604678273200989,0.9632647633552552,0.8597110509872437,0.9765625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0027_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0027_rank_02.png,T00,T01,0,32,92,15,27,77,0,False,True,True,True,False,True,True,True,True,0.8597110509872437,0.2604678273200989,0.47320932955059763,0.28963905085179115,0.28963905085179115
Cosmos2.5_0058,30,1,2,0.5706413984298706,0.0,0.0,False,0.6122204661369324,0.2600313127040863,0.9552976489067078,0.8640377521514893,0.97265625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0030_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0030_rank_02.png,T00,T01,0,32,92,15,27,77,0,False,True,True,True,False,True,True,True,True,0.8640377521514893,0.2600313127040863,0.47400091868881405,0.27048454709762826,0.27048454709762826
Cosmos2.5_0058,33,1,2,0.5898227095603943,0.0,0.0,False,0.6123799085617065,0.2327474951744079,0.950898051261902,0.7780967354774475,0.9765625,0.96875,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0033_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0033_rank_02.png,T00,T01,0,32,92,15,27,77,0,False,True,True,True,False,True,True,True,True,0.7780967354774475,0.2327474951744079,0.42555853438247454,0.25100408782602135,0.25100408782602135
Cosmos2.5_0058,36,1,2,0.5941936373710632,0.0,0.0,False,0.6704424619674683,0.1570647805929184,0.9489369988441468,0.8099867105484009,0.9765625,0.96875,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0036_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0036_rank_02.png,T00,T01,0,32,92,15,27,77,0,False,True,True,True,False,True,True,True,True,0.8099867105484009,0.1570647805929184,0.3566796671741526,0.21193678881450997,0.21193678881450997
Cosmos2.5_0058,39,1,2,0.4889046251773834,0.0,0.0,False,0.5624645948410034,0.3182624280452728,0.9621942043304444,0.8470611572265625,0.9765625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0039_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0039_rank_02.png,T00,T01,0,32,92,15,27,77,0,False,True,True,True,False,True,True,True,True,0.8470611572265625,0.3182624280452728,0.5192183939362746,0.2538482742726173,0.2538482742726173
Cosmos2.5_0058,39,1,3,0.1380945146083831,0.0122629009163552,1.0,True,0.5624645948410034,0.1003346890211105,0.9621942043304444,0.5482431650161743,0.9765625,0.98828125,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0039_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0039_rank_03.png,T00,T02,0,32,92,39,1,0,0,False,True,True,False,False,False,False,False,False,0.5482431650161743,0.1003346890211105,0.23453743298213023,0.032388332965163455,0.0
Cosmos2.5_0058,39,2,3,0.1478813290596008,0.0189463986921509,1.0,True,0.3182624280452728,0.1003346890211105,0.8470611572265625,0.5482431650161743,0.97265625,0.98828125,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0039_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0039_rank_03.png,T01,T02,15,27,77,39,1,0,0,True,True,True,False,True,False,True,False,False,0.5482431650161743,0.1003346890211105,0.23453743298213023,0.034683707303624474,0.0
Cosmos2.5_0058,42,1,2,0.5019891262054443,0.0,0.0,False,0.5382283329963684,0.3562753796577453,0.9665707349777222,0.8377852439880371,0.9765625,0.97265625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0042_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0042_rank_02.png,T00,T01,0,32,92,15,27,77,0,False,True,True,True,False,True,True,True,True,0.8377852439880371,0.3562753796577453,0.5463352961995909,0.27425437795442525,0.27425437795442525
Cosmos2.5_0058,42,1,3,0.4705824851989746,0.0,0.0,False,0.5382283329963684,0.1125428080558776,0.9665707349777222,0.7015450596809387,0.9765625,0.95703125,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0042_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_expansion6/crops/Cosmos2.5_0058/frame_0042_rank_03.png,T00,T03,0,32,92,42,18,50,0,False,True,True,True,False,True,True,True,True,0.7015450596809387,0.1125428080558776,0.28098727906120785,0.132227692089921,0.132227692089921
