case,frame,score,pair_similarity,semantic_support,min_siglip,min_gdino,rank_a,rank_b,track_a,track_b,birth_a,birth_b,obs_a,obs_b,eligible
Cosmos2.5_0036,0,0.0,0.1716467291116714,0.27076722673135595,0.6408697366714478,0.1143990531563758,1,2,T00,T01,0,0,32,6,False
Cosmos2.5_0036,3,0.0,0.2325446009635925,0.2780440537598481,0.6699734330177307,0.1153903901576995,1,2,T00,T02,0,0,32,3,False
Cosmos2.5_0036,6,0.0,0.1714977771043777,0.27180928744656213,0.6417263746261597,0.1151273995637893,1,2,T00,T02,0,0,32,3,False
Cosmos2.5_0036,9,0.0,0.2018338292837143,0.2531969607634121,0.6238125562667847,0.1027691736817359,1,2,T00,T01,0,0,32,6,False
Cosmos2.5_0036,12,0.0,0.1591875553131103,0.24865016454516642,0.6181515455245972,0.1000190079212188,1,2,T00,T01,0,0,32,6,False
Cosmos2.5_0036,15,0.07028995661817437,0.2598312199115753,0.2705215972202846,0.6221455335617065,0.1176283210515976,2,3,T04,T01,15,0,19,6,True
Cosmos2.5_0036,18,0.016426153909919753,0.0502214133739471,0.3270747039238246,0.6301881074905396,0.1697554439306259,1,2,T00,T04,0,15,32,19,True
Cosmos2.5_0036,21,0.00943053010371421,0.03030376881361,0.3111999092165321,0.6230276823043823,0.1554431468248367,1,2,T00,T04,0,15,32,19,True
Cosmos2.5_0036,24,0.04999659699301286,0.1931682378053665,0.25882410877190226,0.5788363218307495,0.1157320588827133,1,3,T00,T05,0,24,32,5,True
Cosmos2.5_0036,27,0.008584927608391333,0.0329636633396148,0.2604360904898034,0.6286239624023438,0.1078975051641464,1,2,T00,T04,0,15,32,19,True
Cosmos2.5_0036,30,0.10906190048661489,0.4292576909065246,0.25407092941373594,0.6301736235618591,0.1024353206157684,2,3,T04,T05,15,24,19,5,True
Cosmos2.5_0036,33,0.023483818506379758,0.0716350153088569,0.32782597176992906,0.606366753578186,0.1772357523441314,1,3,T00,T04,0,15,32,19,True
Cosmos2.5_0036,36,0.06866801330434248,0.2672072052955627,0.2569841379403956,0.6269925832748413,0.1053295508027076,2,3,T04,T05,15,24,19,5,True
Cosmos2.5_0036,39,0.11329209704886105,0.4130022227764129,0.2743135285985955,0.6245617866516113,0.1204811334609985,2,3,T04,T05,15,24,19,5,True
Cosmos2.5_0036,42,0.025495706911641148,0.0852649211883544,0.29901753917440305,0.6414563655853271,0.1393882632255554,1,2,T00,T04,0,15,32,19,True
Cosmos2.5_0036,45,0.13503439530228462,0.5103691816329956,0.2645817971810596,0.6136137843132019,0.1140840202569961,2,3,T04,T05,15,24,19,5,True
Cosmos2.5_0036,48,0.033689128953046085,0.1221863329410553,0.2757192898922523,0.5971245765686035,0.1273120045661926,1,3,T00,T04,0,15,32,19,True
Cosmos2.5_0036,51,0.0,0.4394977688789367,0.2804966484924774,0.662100613117218,0.1188314408063888,1,2,T00,T04,0,15,32,19,False
Cosmos2.5_0036,54,0.0,0.3714728057384491,0.26584560440671745,0.662744402885437,0.1066382229328155,1,2,T00,T04,0,15,32,19,False
Cosmos2.5_0036,57,0.07712219845279711,0.3014637529850006,0.2558257756999208,0.6353186368942261,0.1030141785740852,2,3,T04,T06,15,42,19,16,True
Cosmos2.5_0036,60,0.0,0.3107200562953949,0.25698667234641825,0.6576697826385498,0.1004184037446975,1,2,T00,T04,0,15,32,19,False
Cosmos2.5_0036,63,0.017868330895136546,0.0658372268080711,0.2714016334136668,0.5969623327255249,0.1233894377946853,2,3,T06,T07,42,63,16,2,True
Cosmos2.5_0036,66,0.0,0.240942120552063,0.2592998856293166,0.6595362424850464,0.101945012807846,1,2,T00,T04,0,15,32,19,False
Cosmos2.5_0036,69,0.020258330310535373,0.0752481818199157,0.26922019669548564,0.5800194144248962,0.1249604970216751,2,3,T06,T07,42,63,16,2,True
Cosmos2.5_0036,72,0.03019991489627524,0.1169812977313995,0.25816019724466727,0.5833439826965332,0.1142493784427642,1,3,T00,T04,0,15,32,19,True
Cosmos2.5_0036,75,0.03824731546899395,0.1447958797216415,0.2641464352612889,0.5982766151428223,0.1166238784790039,1,3,T00,T04,0,15,32,19,True
Cosmos2.5_0036,78,0.026475385372256854,0.0948985368013382,0.2789862337675528,0.5915676355361938,0.1315712928771972,2,3,T06,T08,42,78,16,1,True
Cosmos2.5_0036,81,0.03789620520452204,0.1568682044744491,0.24157990034682028,0.5679565668106079,0.1027558296918869,2,3,T06,T04,42,15,16,19,True
Cosmos2.5_0036,84,0.0,0.3790398836135864,0.26518573484560376,0.6658966541290283,0.1056071892380714,1,2,T00,T09,0,84,32,3,False
Cosmos2.5_0036,87,0.04111814411049052,0.1177439019083976,0.34921676149716535,0.6035556793212891,0.2020564973354339,1,3,T00,T09,0,84,32,3,True
Cosmos2.5_0036,90,0.06520695072989019,0.2590674161911011,0.2516987728081955,0.6194045543670654,0.1022793129086494,1,3,T00,T09,0,84,32,3,True
Cosmos2.5_0036,92,0.04143242209263962,0.1634063571691513,0.25355453000981193,0.6122708320617676,0.1050023883581161,2,3,T10,T06,90,42,2,16,True
Cosmos2.5_0057,0,0.0,0.3829540610313415,0.2828706112313492,0.7249230146408081,0.1103783175349235,1,2,T00,T01,0,0,31,6,False
Cosmos2.5_0057,3,0.0,0.3825825154781341,0.32647353251945993,0.6925212144851685,0.1539085954427719,1,2,T00,T02,0,0,31,30,False
Cosmos2.5_0057,6,0.0,0.3086158335208893,0.37364898869855157,0.7556853890419006,0.1847509145736694,1,2,T00,T02,0,0,31,30,False
Cosmos2.5_0057,9,0.0,0.2512901127338409,0.37365257671001695,0.7831746339797974,0.178269624710083,1,2,T00,T01,0,0,31,6,False
Cosmos2.5_0057,12,0.0,0.2700746357440948,0.41098095603194934,0.7828365564346313,0.2157606780529022,1,2,T02,T00,0,0,30,31,False
Cosmos2.5_0057,15,0.0,0.3155059814453125,0.36479783229250456,0.7726529836654663,0.172234445810318,1,2,T00,T02,0,0,31,30,False
Cosmos2.5_0057,18,0.16407024776187776,0.473063051700592,0.3468253273471039,0.7204992175102234,0.1669506430625915,2,3,T02,T03,0,18,30,7,True
Cosmos2.5_0057,21,0.1354116101719333,0.4196019470691681,0.3227144466744139,0.7327797412872314,0.14212267100811,2,3,T02,T03,0,18,30,7,True
Cosmos2.5_0057,24,0.1429798685571414,0.4271474182605743,0.33473190389253127,0.7534147500991821,0.1487168222665786,2,3,T02,T03,0,18,30,7,True
Cosmos2.5_0057,27,0.12091736475850148,0.43461874127388,0.2782147967298631,0.7543339729309082,0.1026116758584976,2,3,T03,T02,18,0,7,30,True
