case,frame,rank_a,rank_b,pair_similarity,iou,containment,nested,gdino_a,gdino_b,siglip_source_a,siglip_source_b,sam_a,sam_b,crop_a,crop_b,track_a,track_b,birth_a,obs_a,life_a,birth_b,obs_b,life_b,first_frame,post_initial_a,post_initial_b,persistent_a,persistent_b,new_persistent_a,new_persistent_b,has_new_persistent_track,spatially_distinct,eligible,min_siglip,min_gdino,semantic_support,dup_evidence,eligible_dup_evidence
Cosmos2.5_0036,0,1,2,0.1716467291116714,0.0,0.0,False,0.7974219918251038,0.1143990531563758,0.9353830814361572,0.6408697366714478,0.97265625,0.9296875,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0000_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0000_rank_02.png,T00,T01,0,32,92,0,6,15,0,False,False,True,True,False,False,False,True,False,0.6408697366714478,0.1143990531563758,0.27076722673135595,0.046476308819075565,0.0
Cosmos2.5_0036,0,1,3,0.1514617651700973,0.0,0.0,False,0.7974219918251038,0.1016993448138237,0.9353830814361572,0.6119279861450195,0.97265625,0.9765625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0000_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0000_rank_03.png,T00,T02,0,32,92,0,3,6,0,False,False,True,True,False,False,False,True,False,0.6119279861450195,0.1016993448138237,0.24946477760235225,0.03778437556341802,0.0
Cosmos2.5_0036,0,2,3,0.5720272660255432,0.0270018277371167,0.0774361185965416,False,0.1143990531563758,0.1016993448138237,0.6408697366714478,0.6119279861450195,0.9296875,0.9765625,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0000_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0000_rank_03.png,T01,T02,0,6,15,0,3,6,0,False,False,True,True,False,False,False,True,False,0.6119279861450195,0.1016993448138237,0.24946477760235225,0.14270065470154372,0.0
Cosmos2.5_0036,3,1,2,0.2325446009635925,0.0,0.0,False,0.7855073809623718,0.1153903901576995,0.8663011789321899,0.6699734330177307,0.96875,0.9609375,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0003_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0003_rank_02.png,T00,T02,0,32,92,0,3,6,0,False,False,True,True,False,False,False,True,False,0.6699734330177307,0.1153903901576995,0.2780440537598481,0.06465764353188354,0.0
Cosmos2.5_0036,3,1,3,0.176313430070877,0.0,0.0,False,0.7855073809623718,0.120252713561058,0.8663011789321899,0.6099838614463806,0.96875,0.9375,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0003_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0003_rank_03.png,T00,T01,0,32,92,0,6,15,0,False,False,True,True,False,False,False,True,False,0.6099838614463806,0.120252713561058,0.27083613969959713,0.04775204877759119,0.0
Cosmos2.5_0036,3,2,3,0.3297222256660461,0.0,0.0,False,0.1153903901576995,0.120252713561058,0.6699734330177307,0.6099838614463806,0.9609375,0.9375,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0003_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0003_rank_03.png,T02,T01,0,3,6,0,6,15,0,False,False,True,True,False,False,False,True,False,0.6099838614463806,0.1153903901576995,0.26530411938414744,0.08747666472171149,0.0
Cosmos2.5_0036,6,1,2,0.1714977771043777,0.0,0.0,False,0.7590517401695251,0.1151273995637893,0.8501127362251282,0.6417263746261597,0.96875,0.953125,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0006_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0006_rank_02.png,T00,T02,0,32,92,0,3,6,0,False,False,True,True,False,False,False,True,False,0.6417263746261597,0.1151273995637893,0.27180928744656213,0.04661468859341024,0.0
Cosmos2.5_0036,6,1,3,0.1726054847240448,0.0,0.0,False,0.7590517401695251,0.1083665937185287,0.8501127362251282,0.6224497556686401,0.96875,0.9296875,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0006_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0006_rank_03.png,T00,T01,0,32,92,0,6,15,0,False,False,True,True,False,False,False,True,False,0.6224497556686401,0.1083665937185287,0.25971669138263137,0.044828525407024235,0.0
Cosmos2.5_0036,6,2,3,0.269420325756073,0.0,0.0,False,0.1151273995637893,0.1083665937185287,0.6417263746261597,0.6224497556686401,0.953125,0.9296875,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0006_rank_02.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0006_rank_03.png,T02,T01,0,3,6,0,6,15,0,False,False,True,True,False,False,False,True,False,0.6224497556686401,0.1083665937185287,0.25971669138263137,0.06997295559659802,0.0
Cosmos2.5_0036,9,1,2,0.2018338292837143,0.0,0.0,False,0.7439025044441223,0.1027691736817359,0.7763060331344604,0.6238125562667847,0.97265625,0.9296875,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0009_rank_01.png,/shared/ssd_30T/zhuoyingyang/physact/sam3_robowm/identity_v1/sam_masked_negative6/crops/Cosmos2.5_0036/frame_0009_rank_02.png,T00,T01,0,32,92,0,6,15,0,False,False,True,True,False,False,False,True,False,0.6238125562667847,0.1027691736817359,0.2531969607634121,0.05110371215387782,0.0
