case,dataset,gt
Cosmos2.5_0016,Cosmos2.5,1
Cosmos2.5_0058,Cosmos2.5,1
Cosmos2.5_0060,Cosmos2.5,1
Cosmos2.5_0064,Cosmos2.5,1
Cosmos3_seed101_0003,Cosmos3_seed101,1
Cosmos3_seed101_0010,Cosmos3_seed101,1
Cosmos3_seed101_0012,Cosmos3_seed101,1
Cosmos3_seed101_0017,Cosmos3_seed101,1
Cosmos3_seed101_0020,Cosmos3_seed101,1
Cosmos3_seed101_0027,Cosmos3_seed101,1
Cosmos3_seed101_0036,Cosmos3_seed101,1
Cosmos3_seed101_0054,Cosmos3_seed101,1
Cosmos3_seed101_0055,Cosmos3_seed101,1
Cosmos3_seed101_0065,Cosmos3_seed101,1
LVP_0004,LVP,1
LVP_0030,LVP,1
LVP_0053,LVP,1
LVP_0054,LVP,1
LVP_0055,LVP,1
LVP_0056,LVP,1
