case,dataset,gt,video_path
Cosmos2.5_0016,Cosmos2.5,1,/shared/ssd_30T/zhuoyingyang/physact/cosmos_predict25/native_outputs/robowm_68_full/0016.mp4
Cosmos2.5_0058,Cosmos2.5,1,/shared/ssd_30T/zhuoyingyang/physact/cosmos_predict25/native_outputs/robowm_68_full/0058.mp4
Cosmos2.5_0060,Cosmos2.5,1,/shared/ssd_30T/zhuoyingyang/physact/cosmos_predict25/native_outputs/robowm_68_full/0060.mp4
Cosmos2.5_0064,Cosmos2.5,1,/shared/ssd_30T/zhuoyingyang/physact/cosmos_predict25/native_outputs/robowm_68_full/0064.mp4
Cosmos3_seed101_0003,Cosmos3_seed101,1,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0003.mp4
Cosmos3_seed101_0010,Cosmos3_seed101,1,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0010.mp4
Cosmos3_seed101_0012,Cosmos3_seed101,1,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0012.mp4
Cosmos3_seed101_0017,Cosmos3_seed101,1,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0017.mp4
Cosmos3_seed101_0020,Cosmos3_seed101,1,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0020.mp4
Cosmos3_seed101_0027,Cosmos3_seed101,1,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0027.mp4
Cosmos3_seed101_0036,Cosmos3_seed101,1,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0036.mp4
Cosmos3_seed101_0054,Cosmos3_seed101,1,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0054.mp4
Cosmos3_seed101_0055,Cosmos3_seed101,1,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0055.mp4
Cosmos3_seed101_0065,Cosmos3_seed101,1,/shared/ssd_30T/zhuoyingyang/physact/cosmos3/export_robowm68_3seeds/seed101/0065.mp4
LVP_0004,LVP,1,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/videos/0004.mp4
LVP_0030,LVP,1,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/videos/0030.mp4
LVP_0053,LVP,1,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/videos/0053.mp4
LVP_0054,LVP,1,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/videos/0054.mp4
LVP_0055,LVP,1,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/videos/0055.mp4
LVP_0056,LVP,1,/shared/ssd_30T/zhuoyingyang/physact/evaluation_results/robowm_lvp_68_numbered/videos/0056.mp4
