case,frame,n_proposals,top1_similarity,top2_similarity
Cosmos2.5_0016,0,1,0.9339950680732727,nan
Cosmos2.5_0016,3,1,0.9297871589660645,nan
Cosmos2.5_0016,6,1,0.9360541105270386,nan
Cosmos2.5_0016,9,1,0.9330607056617737,nan
Cosmos2.5_0016,12,1,0.9407641887664795,nan
Cosmos2.5_0016,15,1,0.9475892782211304,nan
Cosmos2.5_0016,18,1,0.9419491291046143,nan
Cosmos2.5_0016,21,1,0.9295712113380432,nan
Cosmos2.5_0016,24,1,0.9048671722412109,nan
Cosmos2.5_0016,27,2,0.9370424747467041,0.8297962546348572
Cosmos2.5_0016,30,2,0.9367454051971436,0.850929319858551
Cosmos2.5_0016,33,2,0.9407789707183838,0.8169512748718262
Cosmos2.5_0016,36,2,0.9424401521682739,0.8662275075912476
Cosmos2.5_0016,39,2,0.9347144365310669,0.8923736214637756
Cosmos2.5_0016,42,2,0.9336470365524292,0.847588062286377
Cosmos2.5_0016,45,2,0.9316742420196533,0.8693366050720215
Cosmos2.5_0016,48,2,0.9398305416107178,0.8818948268890381
Cosmos2.5_0016,51,2,0.9401363730430603,0.8619810938835144
Cosmos2.5_0016,54,2,0.9454519748687744,0.880511999130249
Cosmos2.5_0016,57,2,0.953837513923645,0.8829357028007507
Cosmos2.5_0016,60,3,0.9555574059486389,0.8881466388702393
Cosmos2.5_0016,63,3,0.9483418464660645,0.8897230625152588
Cosmos2.5_0016,66,2,0.9416457414627075,0.8918532133102417
Cosmos2.5_0016,69,2,0.9375835061073303,0.895344078540802
Cosmos2.5_0016,72,2,0.9388000965118408,0.8800718188285828
Cosmos2.5_0016,75,2,0.9374879598617554,0.873066782951355
Cosmos2.5_0016,78,2,0.9439752101898193,0.8931925296783447
Cosmos2.5_0016,81,3,0.9414305686950684,0.892268180847168
Cosmos2.5_0016,84,2,0.9382525682449341,0.8770197629928589
Cosmos2.5_0016,87,3,0.9399097561836243,0.8909803628921509
Cosmos2.5_0016,90,3,0.9350996017456055,0.873197615146637
Cosmos2.5_0016,92,3,0.9305161833763123,0.8786731958389282
Cosmos3_seed101_0003,0,5,0.9835569858551025,0.655956506729126
Cosmos3_seed101_0003,3,5,0.9881759881973267,0.6172686219215393
Cosmos3_seed101_0003,6,4,0.985902726650238,0.5930382013320923
Cosmos3_seed101_0003,9,4,0.9831904172897339,0.5920537710189819
Cosmos3_seed101_0003,12,4,0.9744834899902344,0.573721170425415
