case,track_id,birth_frame,birth_rank,source_similarity,gdino_score,most_similar_existing_track,similarity_to_existing,last_frame,n_observations,lifespan_frames,median_source_similarity,median_gdino_score
Cosmos2.5_0058,T00,0,1,0.969267964363098,0.8660951852798462,,,92,32,92,0.9580395817756654,0.5381923019886017
Cosmos2.5_0058,T01,15,2,0.6894094944000244,0.1008836403489112,T00,0.3202139139175415,92,27,77,0.8025610446929932,0.3943619132041931
Cosmos2.5_0058,T02,39,3,0.5482431650161743,0.1003346890211105,T01,0.14788134396076202,39,1,0,0.5482431650161743,0.1003346890211105
Cosmos2.5_0058,T03,42,3,0.7015450596809387,0.1125428080558776,T01,0.554800271987915,92,18,50,0.693411111831665,0.15135791152715677
Cosmos2.5_0060,T00,0,1,0.9544080495834352,0.7965797781944275,,,92,32,92,0.9366774559020996,0.29764583706855774
Cosmos2.5_0060,T01,6,2,0.8147038221359253,0.2673339247703552,T00,0.5453294515609741,92,30,86,0.812113344669342,0.550404280424118
Cosmos2.5_0060,T02,33,3,0.7105646133422852,0.1144014000892639,T01,0.47367414832115173,72,14,39,0.9255589246749878,0.1054797992110252
Cosmos2.5_0060,T03,75,2,0.918374240398407,0.1050635278224945,T00,0.47529059648513794,92,7,17,0.927969455718994,0.1086012944579124
Cosmos3_seed101_0010,T00,0,1,0.987101912498474,0.5879442095756531,,,188,64,188,0.943490594625473,0.5898913741111755
Cosmos3_seed101_0010,T01,0,2,0.8445106744766235,0.4246306419372558,,,96,33,96,0.8282756805419922,0.4281988739967346
Cosmos3_seed101_0010,T02,60,3,0.6370819807052612,0.1029413044452667,T00,0.1870126873254776,188,44,128,0.7332611680030823,0.3917824625968933
Cosmos3_seed101_0010,T03,132,3,0.6201977133750916,0.1162803024053573,T02,0.3522292971611023,144,4,12,0.6717051863670349,0.1214043870568275
Cosmos3_seed101_0020,T00,0,1,0.9625452756881714,0.8148337006568909,,,188,64,188,0.9187789857387543,0.7254949510097504
Cosmos3_seed101_0020,T01,45,2,0.6656653881072998,0.1188755333423614,T00,0.3161371052265167,45,1,0,0.6656653881072998,0.1188755333423614
Cosmos3_seed101_0020,T02,45,3,0.6194734573364258,0.1022461727261543,T00,0.14297804236412048,45,1,0,0.6194734573364258,0.1022461727261543
Cosmos3_seed101_0020,T03,54,2,0.6659348011016846,0.1163641661405563,T00,0.2665862441062927,66,5,12,0.6707316637039185,0.1134975776076316
Cosmos3_seed101_0020,T04,57,3,0.6190899610519409,0.1027587801218032,T03,0.4267980456352234,63,3,6,0.618881106376648,0.1027587801218032
Cosmos3_seed101_0020,T05,84,2,0.6129205822944641,0.1052027940750122,T00,0.23546172678470612,99,6,15,0.62378990650177,0.12899664789438245
Cosmos3_seed101_0020,T06,96,3,0.5748634338378906,0.1071779355406761,T05,0.7124809622764587,117,7,21,0.8095439076423645,0.1106502711772918
Cosmos3_seed101_0020,T07,102,2,0.8158514499664307,0.1061053648591041,T00,0.705784797668457,108,3,6,0.7926019430160522,0.1086196899414062
Cosmos3_seed101_0020,T08,111,3,0.6303796768188477,0.1936117708683014,T06,0.2528408467769623,138,9,27,0.7266496419906616,0.1735933423042297
Cosmos3_seed101_0020,T09,114,2,0.6279540061950684,0.1871153563261032,T08,0.660650372505188,114,1,0,0.6279540061950684,0.1871153563261032
Cosmos3_seed101_0020,T10,120,2,0.6502785682678223,0.1054091453552246,T00,0.3761634826660156,188,23,68,0.916271448135376,0.6559144258499146
Cosmos3_seed101_0020,T11,123,2,0.6172463893890381,0.1156341210007667,T00,0.18780332803726196,123,1,0,0.6172463893890381,0.1156341210007667
Cosmos3_seed101_0020,T12,156,3,0.8550606966018677,0.1405311822891235,T00,0.7922393083572388,188,11,32,0.8589173555374146,0.1263731867074966
Cosmos3_seed101_0036,T00,0,1,0.98137229681015,0.7169114947319031,,,132,44,132,0.855981320142746,0.6118768453598022
Cosmos3_seed101_0036,T01,0,2,0.622111976146698,0.1322802603244781,,,6,3,6,0.6091910600662231,0.1322802603244781
Cosmos3_seed101_0036,T02,0,3,0.6084364652633667,0.104328766465187,,,45,13,45,0.6253290176391602,0.1133821457624435
Cosmos3_seed101_0036,T03,3,3,0.6048508882522583,0.1321384012699127,T01,0.2514166831970215,18,4,15,0.6077523529529572,0.13322614133358
Cosmos3_seed101_0036,T04,12,2,0.6482915878295898,0.1014652773737907,T02,0.38364362716674805,12,1,0,0.6482915878295898,0.1014652773737907
Cosmos3_seed101_0036,T05,18,3,0.5669352412223816,0.152625173330307,T00,0.12800392508506775,18,1,0,0.5669352412223816,0.152625173330307
Cosmos3_seed101_0036,T06,21,3,0.6234792470932007,0.1047561764717102,T02,0.24275478720664978,30,3,9,0.6234792470932007,0.1047561764717102
Cosmos3_seed101_0036,T07,24,2,0.6755380630493164,0.121747963130474,T06,0.33971601724624634,27,2,3,0.680395781993866,0.11204626783728594
Cosmos3_seed101_0036,T08,33,3,0.6139092445373535,0.1991778016090393,T02,0.348905086517334,39,3,6,0.6190755367279053,0.1984517127275467
Cosmos3_seed101_0036,T09,42,2,0.663739025592804,0.1062544211745262,T02,0.3081554174423218,129,30,87,0.6803805828094482,0.14028548449277875
Cosmos3_seed101_0036,T10,48,3,0.6419058442115784,0.1274187266826629,T09,0.2018270492553711,63,5,15,0.6350023746490479,0.1378577351570129
Cosmos3_seed101_0036,T11,60,3,0.634068489074707,0.1521485298871994,T00,0.29837238788604736,108,15,48,0.772330105304718,0.1457183957099914
Cosmos3_seed101_0036,T12,78,3,0.6305088996887207,0.1647254973649978,T00,0.293117880821228,78,1,0,0.6305088996887207,0.1647254973649978
Cosmos3_seed101_0036,T13,111,1,0.7601147890090942,0.4427159428596496,T00,0.41044163703918457,188,27,77,0.957016944885254,0.5582616329193115
Cosmos3_seed101_0036,T14,120,3,0.6662517786026001,0.1384268701076507,T09,0.36875098943710327,120,1,0,0.6662517786026001,0.1384268701076507
Cosmos3_seed101_0036,T15,132,1,0.9613475799560548,0.650569498538971,T13,0.9157556295394897,188,20,56,0.8544877171516418,0.5554351806640625
Cosmos3_seed101_0036,T16,135,3,0.6241747140884399,0.1637714654207229,T15,0.06762713193893433,135,1,0,0.6241747140884399,0.1637714654207229
Cosmos3_seed101_0036,T17,138,3,0.626450777053833,0.1573997884988784,T15,0.1896975338459015,141,2,3,0.6290514171123505,0.14018264412879938
Cosmos3_seed101_0036,T18,144,3,0.6192859411239624,0.1309595108032226,T15,0.34309929609298706,153,4,9,0.6270832419395447,0.14374727010726923
Cosmos3_seed101_0036,T19,156,3,0.6623371839523315,0.1646220982074737,T15,0.2954472601413727,180,8,24,0.6587221026420593,0.15884144604206085
Cosmos3_seed101_0036,T20,174,3,0.6521949768066406,0.1180104166269302,T15,0.21305686235427856,174,1,0,0.6521949768066406,0.1180104166269302
Cosmos3_seed101_0036,T21,183,3,0.6158734560012817,0.1462054252624511,T13,0.04002660512924194,186,2,3,0.6180826425552368,0.1400103718042373
Cosmos3_seed101_0036,T22,188,3,0.6614951491355896,0.1061195507645607,T13,0.20758402347564697,188,1,0,0.6614951491355896,0.1061195507645607
LVP_0030,T00,0,1,0.8798332214355469,0.771060049533844,,,48,17,48,0.8803309202194214,0.680604100227356
LVP_0030,T01,0,2,0.679524302482605,0.1380990445613861,,,18,7,18,0.6463642120361328,0.1532501131296157
LVP_0030,T02,18,2,0.6381252408027649,0.1076406463980674,T00,0.1856936812400818,21,2,3,0.6384002268314362,0.1068336069583892
LVP_0030,T03,21,3,0.6104346513748169,0.147084042429924,T00,0.4648019075393677,24,2,3,0.6021287143230438,0.15606014430522916
LVP_0030,T04,24,2,0.6030968427658081,0.1038088798522949,T00,0.3101513087749481,24,1,0,0.6030968427658081,0.1038088798522949
LVP_0030,T05,27,2,0.6458797454833984,0.181780144572258,T00,0.2092146873474121,48,7,21,0.6458797454833984,0.1580385565757751
LVP_0030,T06,39,2,0.7303248047828674,0.1628020405769348,T00,0.42828357219696045,48,4,9,0.7852130234241486,0.3598271608352661
LVP_0030,T07,45,3,0.8207007050514221,0.1150830760598182,T06,0.8308625221252441,45,1,0,0.8207007050514221,0.1150830760598182
