case,track_id,birth_frame,last_frame,n_observations,lifespan_frames,median_source_similarity,median_gdino_score,birth_existing_track,birth_existing_similarity
Cosmos2.5_0058,T00,0,92,32,92,0.9580395817756654,0.5381923019886017,,
Cosmos2.5_0058,T01,15,92,27,77,0.8025610446929932,0.3943619132041931,T00,0.3202139139175415
Cosmos2.5_0058,T02,39,39,1,0,0.5482431650161743,0.1003346890211105,T01,0.14788134396076202
Cosmos2.5_0058,T03,42,92,18,50,0.693411111831665,0.15135791152715677,T01,0.554800271987915
Cosmos2.5_0060,T00,0,92,32,92,0.9366774559020996,0.29764583706855774,,
Cosmos2.5_0060,T01,6,92,30,86,0.812113344669342,0.550404280424118,T00,0.5453294515609741
Cosmos2.5_0060,T02,33,72,14,39,0.9255589246749878,0.1054797992110252,T01,0.47367414832115173
Cosmos2.5_0060,T03,75,92,7,17,0.927969455718994,0.1086012944579124,T00,0.47529059648513794
Cosmos3_seed101_0010,T00,0,188,64,188,0.943490594625473,0.5898913741111755,,
Cosmos3_seed101_0010,T01,0,96,33,96,0.8282756805419922,0.4281988739967346,,
Cosmos3_seed101_0010,T02,60,188,44,128,0.7332611680030823,0.3917824625968933,T00,0.1870126873254776
Cosmos3_seed101_0010,T03,132,144,4,12,0.6717051863670349,0.1214043870568275,T02,0.3522292971611023
Cosmos3_seed101_0020,T00,0,188,64,188,0.9187789857387543,0.7254949510097504,,
Cosmos3_seed101_0020,T01,45,45,1,0,0.6656653881072998,0.1188755333423614,T00,0.3161371052265167
Cosmos3_seed101_0020,T02,45,45,1,0,0.6194734573364258,0.1022461727261543,T00,0.14297804236412048
Cosmos3_seed101_0020,T03,54,66,5,12,0.6707316637039185,0.1134975776076316,T00,0.2665862441062927
Cosmos3_seed101_0020,T04,57,63,3,6,0.618881106376648,0.1027587801218032,T03,0.4267980456352234
Cosmos3_seed101_0020,T05,84,99,6,15,0.62378990650177,0.12899664789438245,T00,0.23546172678470612
Cosmos3_seed101_0020,T06,96,117,7,21,0.8095439076423645,0.1106502711772918,T05,0.7124809622764587
Cosmos3_seed101_0020,T07,102,108,3,6,0.7926019430160522,0.1086196899414062,T00,0.705784797668457
Cosmos3_seed101_0020,T08,111,138,9,27,0.7266496419906616,0.1735933423042297,T06,0.2528408467769623
Cosmos3_seed101_0020,T09,114,114,1,0,0.6279540061950684,0.1871153563261032,T08,0.660650372505188
Cosmos3_seed101_0020,T10,120,188,23,68,0.916271448135376,0.6559144258499146,T00,0.3761634826660156
Cosmos3_seed101_0020,T11,123,123,1,0,0.6172463893890381,0.1156341210007667,T00,0.18780332803726196
Cosmos3_seed101_0020,T12,156,188,11,32,0.8589173555374146,0.1263731867074966,T00,0.7922393083572388
